time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,黔东南州,113.26,1.28,48.24,18.47,113.21,85.24,25.05
2017-01-02,黔东南州,130.62,1.2,41.77,19.95,129.45,99.1,12.8
2017-01-03,黔东南州,145.98,1.39,42.19,14.88,145.21,110.73,14.21
2017-01-04,黔东南州,130.96,1.64,42.56,3.95,139.53,99.67,13.21
2017-01-05,黔东南州,34.54,0.9,28.6,21.35,36.23,23.88,7.33
2017-01-06,黔东南州,66.17,1.52,28.48,10.02,65.42,47.77,9.71
2017-01-07,黔东南州,27.67,1.81,22.67,12.98,24.48,17.33,6.8
2017-01-08,黔东南州,29.33,1.36,23.35,22.25,27.62,18.79,6.92
2017-01-09,黔东南州,29.76,1.23,26.13,16.28,27.7,19.26,7.3
2017-01-10,黔东南州,24.83,1.27,24.38,21.73,22.17,16.04,6.79
2017-01-11,黔东南州,20.25,1.03,23.48,31.73,16.97,12.71,7.62
2017-01-12,黔东南州,29.38,1.03,25.96,20.67,28.77,18.56,8.25
2017-01-13,黔东南州,43.92,1.02,24.65,22.9,39.56,30.46,11.19
2017-01-14,黔东南州,52.38,0.92,23.92,22.96,49.58,36.69,9.33
2017-01-15,黔东南州,71.15,0.95,26.56,32.71,64.85,51.62,10.56
2017-01-16,黔东南州,95.27,1.04,26.6,28.31,96.02,70.94,11.08
2017-01-17,黔东南州,61.04,1.03,29.27,24.21,55.8,43.96,8.19
2017-01-18,黔东南州,37.9,1.07,30.12,21.12,32.65,26.33,7.48
2017-01-19,黔东南州,41.35,0.9,24.75,26.38,37.11,28.85,6.9
2017-01-20,黔东南州,102.25,1.0,25.48,41.6,95.42,76.52,11.02
2017-01-21,黔东南州,110.77,1.12,36.83,38.27,104.75,83.33,10.23
2017-01-22,黔东南州,107.29,1.28,44.58,18.6,104.54,80.33,16.71
2017-01-23,黔东南州,83.69,1.1,46.08,23.25,85.42,61.71,22.65
2017-01-24,黔东南州,83.08,0.97,28.85,40.67,82.56,61.17,22.98
2017-01-25,黔东南州,95.96,1.06,29.31,38.85,98.25,71.42,16.06
2017-01-26,黔东南州,119.88,1.32,45.41,12.26,119.79,90.59,18.38
2017-01-27,黔东南州,118.17,1.15,22.83,31.46,114.98,89.04,17.56
2017-01-28,黔东南州,107.94,0.94,10.52,51.85,98.07,83.94,15.02
2017-01-29,黔东南州,73.78,1.08,12.8,37.91,57.81,53.91,8.98
2017-01-30,黔东南州,102.5,1.18,15.25,33.6,101.9,76.5,10.85
2017-01-31,黔东南州,168.08,1.46,21.81,32.62,166.0,127.23,17.29
2017-02-01,黔东南州,56.06,1.3,16.77,24.0,64.84,40.69,6.42
2017-02-02,黔东南州,38.38,1.18,17.98,21.35,33.46,26.12,5.88
2017-02-03,黔东南州,22.42,1.31,19.94,13.79,19.17,14.94,6.94
2017-02-04,黔东南州,44.89,1.42,27.39,16.59,43.63,29.65,11.28
2017-02-05,黔东南州,54.12,1.49,31.29,11.05,52.83,36.75,8.71
2017-02-06,黔东南州,47.46,1.27,23.52,22.74,44.7,32.44,10.27
2017-02-07,黔东南州,27.96,1.45,18.43,8.26,23.79,18.41,8.3
2017-02-08,黔东南州,29.04,1.27,17.1,29.67,26.61,18.04,8.0
2017-02-09,黔东南州,61.48,1.13,20.62,37.0,54.06,43.96,12.75
