time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,黔南州,99.58,0.54,30.37,32.42,116.42,72.05,30.16
2017-01-02,黔南州,112.85,0.73,23.7,38.95,111.05,84.9,36.85
2017-01-03,黔南州,111.83,0.95,28.96,20.29,107.92,84.25,36.21
2017-01-04,黔南州,51.38,0.81,18.92,20.54,46.09,36.04,26.54
2017-01-05,黔南州,18.88,0.26,7.62,41.04,16.29,8.91,4.08
2017-01-06,黔南州,24.79,0.25,8.67,43.25,22.52,13.83,6.21
2017-01-07,黔南州,27.78,0.95,12.57,30.13,27.0,17.0,30.17
2017-01-08,黔南州,27.04,0.99,12.71,37.83,24.83,14.78,31.38
2017-01-09,黔南州,25.17,0.82,15.3,24.26,22.63,14.48,38.35
2017-01-10,黔南州,19.04,0.91,13.58,29.25,17.76,10.43,21.04
2017-01-11,黔南州,17.29,0.86,12.42,46.88,11.36,7.71,24.04
2017-01-12,黔南州,26.75,0.62,11.67,38.75,24.32,15.42,27.08
2017-01-13,黔南州,35.83,0.63,13.79,42.12,34.08,21.58,19.54
2017-01-14,黔南州,44.08,0.62,14.67,34.25,44.39,28.67,9.21
2017-01-15,黔南州,44.83,0.55,12.17,51.54,44.73,31.42,8.42
2017-01-16,黔南州,59.33,0.71,18.33,32.46,57.65,42.42,5.71
2017-01-17,黔南州,36.29,0.68,12.54,42.33,33.0,25.08,5.0
2017-01-18,黔南州,21.46,0.71,14.17,34.08,19.35,13.58,7.58
2017-01-19,黔南州,29.29,0.5,9.88,44.12,29.78,19.04,6.67
2017-01-20,黔南州,77.83,0.59,11.67,66.92,72.17,57.42,11.79
2017-01-21,黔南州,81.58,0.74,18.33,59.62,72.74,59.88,8.54
2017-01-22,黔南州,85.67,0.84,22.29,45.83,89.75,63.29,21.21
2017-01-23,黔南州,65.12,0.58,16.54,64.21,72.0,45.46,20.67
2017-01-24,黔南州,83.75,0.72,19.88,52.83,84.38,61.75,28.71
2017-01-25,黔南州,86.25,0.69,12.17,67.08,92.58,63.79,18.83
2017-01-26,黔南州,95.18,0.81,15.88,52.12,89.94,70.76,23.65
2017-01-27,黔南州,88.54,0.8,13.96,35.17,77.5,65.46,14.83
2017-01-28,黔南州,82.04,0.49,5.57,71.04,72.0,60.09,7.09
2017-01-29,黔南州,42.83,0.62,6.17,61.83,38.83,29.09,7.83
2017-01-30,黔南州,75.75,0.71,6.42,47.88,72.92,54.96,5.33
2017-01-31,黔南州,120.42,0.91,10.96,39.46,125.38,90.42,14.83
2017-02-01,黔南州,63.92,1.07,6.58,34.54,64.65,46.38,3.29
2017-02-02,黔南州,16.04,0.8,6.38,34.0,10.94,8.46,2.08
2017-02-03,黔南州,13.75,0.74,5.12,26.33,9.82,7.75,2.88
2017-02-04,黔南州,31.22,0.63,10.35,32.39,30.05,20.7,8.61
2017-02-05,黔南州,35.08,0.58,13.83,30.17,31.92,23.21,7.17
2017-02-06,黔南州,33.38,0.29,6.38,48.83,29.74,22.54,4.71
2017-02-07,黔南州,28.22,0.67,16.43,18.78,26.95,17.3,10.04
2017-02-08,黔南州,19.96,0.49,5.54,37.25,16.78,13.37,4.58
