time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,丹东,165.58,2.71,48.28,18.37,168.35,128.47,75.46
2017-01-01,大连,214.88,1.77,58.17,53.05,222.33,167.48,65.28
2017-01-01,抚顺,138.33,1.66,50.39,35.26,146.99,104.92,62.29
2017-01-01,朝阳,240.54,3.33,56.16,12.32,246.62,195.46,106.16
2017-01-01,本溪,160.93,1.6,36.96,37.79,164.88,122.29,65.6
2017-01-01,沈阳,220.42,1.9,53.9,31.05,227.1,174.85,74.21
2017-01-01,瓦房店,274.08,1.81,59.0,27.87,214.82,224.08,55.83
2017-01-01,盘锦,245.47,2.42,45.14,45.0,278.45,195.65,31.32
2017-01-01,营口,237.04,1.47,40.64,44.68,238.12,187.09,26.67
2017-01-01,葫芦岛,357.0,6.65,108.66,11.47,417.24,315.76,104.76
2017-01-01,辽阳,179.43,1.48,46.09,44.95,177.32,138.92,44.13
2017-01-01,铁岭,215.07,1.59,55.62,29.75,194.25,169.04,47.39
2017-01-01,锦州,357.38,5.58,110.59,11.32,382.56,312.05,185.92
2017-01-01,阜新,348.35,5.22,102.35,14.35,383.6,285.36,143.68
2017-01-01,鞍山,226.24,1.85,56.02,37.14,253.92,172.68,87.55
2017-01-02,丹东,106.9,1.62,35.1,44.34,105.84,79.69,44.83
2017-01-02,大连,143.09,1.98,52.11,46.9,147.21,110.04,39.76
2017-01-02,抚顺,104.08,1.45,45.02,33.95,128.84,71.29,39.48
2017-01-02,朝阳,94.53,1.51,34.37,37.7,104.5,63.99,60.38
2017-01-02,本溪,109.33,1.45,35.3,40.58,121.21,79.77,41.77
2017-01-02,沈阳,98.04,1.21,45.31,36.2,103.68,70.95,57.93
2017-01-02,瓦房店,123.19,1.19,42.83,30.53,114.5,92.78,37.43
2017-01-02,盘锦,121.27,2.39,62.05,38.7,137.84,89.48,52.53
2017-01-02,营口,138.3,1.95,57.02,31.1,162.06,108.06,41.49
2017-01-02,葫芦岛,220.95,4.64,81.78,28.98,247.17,188.57,206.51
2017-01-02,辽阳,106.29,1.31,37.83,45.38,117.65,78.81,27.77
2017-01-02,铁岭,124.1,1.1,36.54,41.61,133.1,91.5,20.29
2017-01-02,锦州,204.23,3.27,85.84,25.75,183.84,161.27,145.54
2017-01-02,阜新,124.46,2.11,40.95,47.42,126.33,90.85,74.61
2017-01-02,鞍山,113.07,1.7,40.89,42.82,139.02,80.54,42.53
2017-01-03,丹东,77.42,1.69,39.44,31.44,80.86,56.49,57.55
2017-01-03,大连,140.03,1.99,58.33,44.98,144.27,106.42,47.22
2017-01-03,抚顺,131.13,2.42,70.11,21.13,147.93,98.47,56.76
2017-01-03,朝阳,109.99,1.88,38.71,31.22,115.76,79.46,68.82
2017-01-03,本溪,89.52,1.8,48.8,31.85,93.22,63.07,56.15
2017-01-03,沈阳,161.13,2.57,79.11,20.61,173.08,124.38,88.25
2017-01-03,瓦房店,131.94,1.7,61.46,23.37,154.85,99.4,65.94
2017-01-03,盘锦,139.21,3.05,76.26,34.35,146.41,106.21,30.78
2017-01-03,营口,131.19,1.84,53.93,29.64,146.33,103.03,26.99
