time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,大连,214.88,1.77,58.17,53.05,222.33,167.48,65.28
2017-01-02,大连,143.09,1.98,52.11,46.9,147.21,110.04,39.76
2017-01-03,大连,140.03,1.99,58.33,44.98,144.27,106.42,47.22
2017-01-04,大连,124.46,2.04,54.75,44.51,133.75,94.21,32.48
2017-01-05,大连,90.13,1.64,62.41,31.65,100.02,66.2,49.63
2017-01-06,大连,92.92,1.52,57.59,34.69,103.31,67.13,44.01
2017-01-07,大连,102.58,1.42,48.65,28.05,104.22,76.43,28.88
2017-01-08,大连,106.7,1.16,35.48,53.34,95.67,80.35,28.44
2017-01-09,大连,33.86,0.71,23.33,63.42,30.52,18.65,23.18
2017-01-10,大连,35.69,0.77,24.88,56.79,34.74,18.14,24.01
2017-01-11,大连,54.94,1.1,38.87,50.33,58.12,35.82,32.06
2017-01-12,大连,70.59,1.29,45.55,36.19,74.74,49.6,41.85
2017-01-13,大连,36.87,0.77,23.24,56.11,35.56,19.7,27.82
2017-01-14,大连,44.13,0.73,21.26,54.86,46.99,17.71,30.66
2017-01-15,大连,42.87,0.92,29.35,45.23,43.86,25.92,37.91
2017-01-16,大连,57.72,1.18,40.6,34.54,61.44,39.36,47.14
2017-01-17,大连,109.08,1.32,44.07,30.14,112.46,82.29,53.61
2017-01-18,大连,130.43,1.52,41.08,36.34,128.6,98.35,44.81
2017-01-19,大连,65.0,1.01,35.4,39.3,67.36,44.33,40.45
2017-01-20,大连,39.46,0.58,15.74,63.91,40.46,16.87,22.4
2017-01-21,大连,48.89,0.94,32.99,53.78,52.03,30.58,37.84
2017-01-22,大连,38.74,0.56,15.17,68.6,39.86,15.18,22.52
2017-01-23,大连,41.33,0.81,33.95,50.79,41.59,26.18,37.14
2017-01-24,大连,40.35,0.83,34.3,58.28,38.3,26.72,42.12
2017-01-25,大连,87.6,1.39,45.07,57.73,87.43,64.6,49.4
2017-01-26,大连,102.58,1.13,26.1,78.75,103.05,73.7,31.4
2017-01-27,大连,30.23,0.55,14.05,73.12,26.07,11.6,23.37
2017-01-28,大连,78.84,0.62,18.05,69.95,82.98,59.19,31.12
2017-01-29,大连,58.22,0.79,14.74,64.34,58.22,38.94,16.88
