time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,抚顺,138.33,1.66,50.39,35.26,146.99,104.92,62.29
2017-01-02,抚顺,104.08,1.45,45.02,33.95,128.84,71.29,39.48
2017-01-03,抚顺,131.13,2.42,70.11,21.13,147.93,98.47,56.76
2017-01-04,抚顺,118.24,1.74,58.35,26.81,141.32,84.9,37.36
2017-01-05,抚顺,68.44,0.93,43.96,38.43,76.99,44.05,38.51
2017-01-06,抚顺,99.42,1.7,64.51,32.46,119.08,70.51,66.63
2017-01-07,抚顺,158.38,2.05,76.67,15.11,177.14,122.79,58.01
2017-01-08,抚顺,274.35,2.47,91.38,12.69,305.05,224.32,105.19
2017-01-09,抚顺,79.54,0.93,40.14,45.31,90.32,49.93,40.27
2017-01-10,抚顺,45.98,0.75,31.7,45.52,48.78,23.52,33.37
2017-01-11,抚顺,92.48,1.44,58.77,26.28,110.39,62.13,54.69
2017-01-12,抚顺,63.47,1.1,44.01,30.84,74.98,41.82,41.39
2017-01-13,抚顺,76.85,1.03,39.08,33.19,96.0,37.15,34.88
2017-01-14,抚顺,67.72,1.09,39.31,28.82,83.15,40.26,31.01
2017-01-15,抚顺,131.41,1.88,63.93,18.92,158.6,95.76,84.44
2017-01-16,抚顺,101.98,1.54,54.31,23.38,112.91,73.75,49.79
2017-01-17,抚顺,153.36,2.16,74.46,18.14,165.19,116.4,83.15
2017-01-18,抚顺,166.94,1.89,68.43,20.06,173.37,127.32,56.65
2017-01-19,抚顺,128.22,1.25,45.94,26.37,126.52,95.52,41.33
2017-01-20,抚顺,55.36,0.71,27.3,40.22,58.34,30.58,29.43
2017-01-21,抚顺,96.73,1.13,34.8,34.83,118.11,49.94,46.04
2017-01-22,抚顺,100.84,1.06,32.87,33.94,93.01,73.2,26.31
2017-01-23,抚顺,148.32,1.64,56.79,22.26,152.05,117.43,53.04
2017-01-24,抚顺,157.24,2.18,67.41,20.58,163.94,119.56,82.56
2017-01-25,抚顺,129.76,2.14,60.13,29.75,143.51,96.39,70.07
2017-01-26,抚顺,137.98,0.92,29.51,62.3,179.05,56.74,46.08
2017-01-27,抚顺,99.69,0.81,32.69,45.09,116.44,51.03,41.28
2017-01-28,抚顺,112.68,1.07,30.51,45.51,85.64,84.42,53.43
2017-01-29,抚顺,60.29,0.65,17.52,55.51,53.71,39.1,18.49
2017-01-30,抚顺,90.17,1.08,37.49,36.03,89.0,64.03,45.97
2017-01-31,抚顺,112.89,1.81,50.38,28.94,111.14,83.79,58.36
2017-02-01,抚顺,52.15,0.69,22.28,53.11,53.37,25.33,29.28
2017-02-02,抚顺,121.35,2.05,61.5,26.84,123.62,89.11,59.92
2017-02-03,抚顺,124.99,2.25,65.83,38.71,130.4,92.72,62.04
2017-02-04,抚顺,137.1,1.65,51.98,57.96,139.22,103.0,44.77
2017-02-05,抚顺,104.73,1.14,31.88,60.98,110.98,75.1,24.6
2017-02-06,抚顺,42.72,0.68,23.01,54.98,40.59,23.5,16.16
2017-02-07,抚顺,75.7,1.08,52.96,29.33,75.51,51.91,49.46
2017-02-08,抚顺,88.38,0.94,36.71,38.84,94.47,52.4,26.24
2017-02-09,抚顺,45.02,0.54,18.8,51.06,47.11,18.33,19.53
2017-02-10,抚顺,44.55,0.6,24.13,43.64,44.65,25.03,20.15
2017-02-11,抚顺,86.55,1.03,52.78,24.61,99.72,56.34,90.79
2017-02-12,抚顺,150.79,1.39,54.11,31.06,135.7,114.8,48.92
2017-02-13,抚顺,103.99,1.3,48.53,39.35,107.43,75.19,34.42
2017-02-14,抚顺,101.78,1.24,54.01,46.25,103.23,74.22,37.61
2017-02-15,抚顺,115.38,1.22,44.36,62.57,111.32,85.73,44.4
2017-02-16,抚顺,94.87,0.73,31.58,63.7,113.31,49.89,33.1
2017-02-17,抚顺,51.77,0.55,18.98,65.29,52.97,23.82,18.16
2017-02-18,抚顺,84.54,0.99,39.44,43.34,79.52,59.35,30.81
2017-02-19,抚顺,94.53,0.98,27.45,56.37,124.39,47.46,28.98
2017-02-20,抚顺,56.86,0.78,21.87,58.42,50.29,36.95,13.96
2017-02-21,抚顺,80.26,1.12,44.44,47.08,78.6,56.32,37.6
2017-02-22,抚顺,72.94,1.25,41.5,45.27,69.38,49.2,34.0
2017-02-23,抚顺,54.61,0.72,30.89,55.86,52.95,30.45,28.04
2017-02-24,抚顺,118.04,1.24,62.97,38.59,114.74,86.78,48.75
2017-02-25,抚顺,111.14,1.33,56.68,39.09,105.74,79.84,48.34
2017-02-26,抚顺,127.85,1.32,65.08,32.67,128.69,92.76,56.74
2017-02-27,抚顺,85.32,1.14,41.78,53.24,88.07,58.71,45.36
2017-02-28,抚顺,112.27,1.17,43.01,60.96,106.6,82.32,36.41
2017-03-01,抚顺,39.36,0.43,17.28,60.69,39.05,15.75,13.44
2017-03-02,抚顺,68.69,0.78,38.92,41.28,79.24,40.26,31.15
2017-03-03,抚顺,83.56,0.99,45.67,42.06,93.65,56.55,37.02
2017-03-04,抚顺,72.57,0.71,36.44,60.62,77.66,48.3,33.09
2017-03-05,抚顺,60.42,0.5,22.27,61.37,55.69,40.24,14.88
2017-03-06,抚顺,61.03,0.55,27.25,52.38,65.67,35.61,17.55
2017-03-07,抚顺,61.57,0.6,33.98,47.69,71.35,29.9,40.63
2017-03-08,抚顺,81.39,0.81,41.41,45.7,103.43,48.15,45.45
2017-03-09,抚顺,81.09,0.94,44.72,45.78,95.66,50.36,43.6
2017-03-10,抚顺,109.77,1.21,57.27,44.63,126.81,78.39,44.75
2017-03-11,抚顺,128.37,1.54,54.17,60.94,151.78,94.76,51.81
2017-03-12,抚顺,74.6,0.59,23.43,70.78,87.97,33.64,17.12
2017-03-13,抚顺,87.1,0.72,37.94,54.94,93.8,57.58,22.9
2017-03-14,抚顺,130.51,0.88,44.92,56.99,137.56,96.6,20.79
2017-03-15,抚顺,114.99,0.84,50.95,59.49,120.99,84.2,38.7
2017-03-16,抚顺,108.44,1.08,54.19,63.24,122.68,77.74,36.56
2017-03-17,抚顺,139.86,1.24,53.51,71.73,169.79,103.15,40.8
2017-03-18,抚顺,178.05,1.32,59.08,68.86,190.09,134.92,66.32
2017-03-19,抚顺,194.89,1.5,71.15,57.94,219.28,149.7,58.43
2017-03-20,抚顺,104.99,0.83,41.79,50.71,112.12,68.15,19.25
2017-03-21,抚顺,83.31,0.78,43.53,46.18,101.06,53.97,23.22
2017-03-22,抚顺,84.25,0.86,38.46,56.91,98.41,56.3,32.75
2017-03-23,抚顺,91.23,0.71,37.94,57.29,95.17,63.24,17.1
2017-03-24,抚顺,92.26,0.77,38.6,60.7,99.14,63.47,25.15
2017-03-25,抚顺,109.64,0.86,44.55,71.29,113.04,79.36,33.53
2017-03-26,抚顺,154.39,1.14,55.61,61.76,159.77,115.57,32.71
2017-03-27,抚顺,153.03,1.05,50.62,61.25,160.07,114.76,26.33
2017-03-28,抚顺,136.12,1.04,47.1,62.56,166.21,92.08,28.91
2017-03-29,抚顺,114.73,1.06,39.27,78.8,144.41,79.4,36.72
2017-03-30,抚顺,119.93,0.83,34.08,75.05,133.34,87.46,17.76
2017-03-31,抚顺,101.66,0.69,38.76,67.14,105.72,72.44,15.62
2017-04-01,抚顺,101.25,0.9,43.57,60.8,116.15,70.53,22.45
2017-04-02,抚顺,102.42,1.05,44.14,69.41,123.51,70.8,30.19
2017-04-03,抚顺,135.31,1.62,49.04,87.27,159.96,98.21,46.69
2017-04-04,抚顺,115.78,1.03,34.88,109.68,144.35,80.19,23.67
2017-04-05,抚顺,85.09,0.83,27.88,113.11,89.82,56.77,20.27
2017-04-06,抚顺,117.75,1.03,40.4,45.59,121.47,87.1,19.49
2017-04-07,抚顺,129.06,1.05,31.26,74.39,138.17,95.88,19.46
2017-04-08,抚顺,73.14,0.63,21.93,72.32,81.92,37.36,11.41
2017-04-09,抚顺,68.54,0.58,28.43,61.45,82.63,33.9,9.76
2017-04-10,抚顺,93.4,0.96,39.88,71.81,118.87,59.41,28.67
2017-04-11,抚顺,71.47,0.5,16.48,76.63,90.85,21.24,10.13
2017-04-12,抚顺,57.38,0.47,23.23,63.09,66.67,20.62,9.35
2017-04-13,抚顺,90.56,0.8,33.67,75.19,118.17,46.8,19.65
2017-04-14,抚顺,94.41,0.99,24.39,124.6,109.57,66.25,21.1
2017-04-15,抚顺,93.51,1.04,31.63,99.06,113.15,65.03,22.51
2017-04-16,抚顺,108.12,0.92,37.25,67.61,131.21,64.64,15.33
2017-04-17,抚顺,80.38,0.91,33.64,77.17,86.85,52.76,19.15
2017-04-18,抚顺,55.33,0.49,15.3,74.57,61.44,16.33,7.9
2017-04-19,抚顺,55.19,0.68,28.66,59.99,61.53,26.78,19.75
2017-04-20,抚顺,88.88,0.75,27.13,66.06,127.31,39.12,16.37
2017-04-21,抚顺,69.69,0.63,30.13,63.73,86.52,38.86,11.46
2017-04-22,抚顺,81.17,0.77,30.36,81.21,108.1,34.54,21.56
2017-04-23,抚顺,44.54,0.65,17.42,77.62,47.25,17.51,14.27
2017-04-24,抚顺,40.42,0.67,23.53,63.74,38.96,21.44,9.85
2017-04-25,抚顺,44.35,0.54,25.39,50.22,46.51,20.31,9.47
2017-04-26,抚顺,52.47,0.58,32.33,45.84,59.31,26.65,15.67
2017-04-27,抚顺,62.74,0.65,37.67,50.46,77.31,29.35,16.65
2017-04-28,抚顺,63.31,0.69,36.11,55.69,76.2,30.4,16.63
2017-04-29,抚顺,79.57,0.81,33.26,68.29,110.11,34.72,18.42
2017-04-30,抚顺,143.72,0.42,15.67,79.55,196.31,33.43,7.72
2017-05-01,抚顺,55.04,0.59,29.66,69.86,60.4,23.65,12.54
2017-05-02,抚顺,65.03,0.57,26.15,92.54,78.93,30.07,14.86
2017-05-03,抚顺,62.38,0.52,23.37,110.37,71.04,32.66,12.94
2017-05-04,抚顺,57.17,0.65,24.68,86.53,56.29,35.9,13.88
2017-05-05,抚顺,139.9,0.62,22.43,63.79,192.15,50.69,11.11
2017-05-06,抚顺,278.67,0.39,15.3,64.56,388.11,45.85,7.42
2017-05-07,抚顺,108.33,0.68,29.9,66.17,157.76,39.22,15.36
2017-05-08,抚顺,71.37,1.03,37.19,83.6,85.15,40.17,16.13
