time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,朝阳,240.54,3.33,56.16,12.32,246.62,195.46,106.16
2017-01-02,朝阳,94.53,1.51,34.37,37.7,104.5,63.99,60.38
2017-01-03,朝阳,109.99,1.88,38.71,31.22,115.76,79.46,68.82
2017-01-04,朝阳,130.36,2.02,46.02,18.48,156.43,93.73,143.35
2017-01-05,朝阳,153.11,2.11,49.52,17.14,169.65,115.3,133.52
2017-01-06,朝阳,165.39,2.54,48.65,20.84,185.8,128.27,124.15
2017-01-07,朝阳,155.85,2.15,38.6,27.89,161.38,116.61,118.21
2017-01-08,朝阳,70.43,0.97,24.49,45.98,56.66,48.68,47.47
2017-01-09,朝阳,52.43,0.77,21.02,48.6,48.21,29.93,50.01
2017-01-10,朝阳,48.64,0.77,20.99,49.1,45.64,26.45,53.49
2017-01-11,朝阳,83.25,1.48,34.97,31.89,87.61,57.35,85.41
2017-01-12,朝阳,96.73,1.5,36.57,25.92,103.36,66.4,95.72
2017-01-13,朝阳,66.53,0.54,12.71,60.04,87.74,11.74,38.59
2017-01-14,朝阳,69.85,0.87,23.48,48.21,68.37,37.61,89.95
2017-01-15,朝阳,109.74,1.93,38.55,23.43,108.71,80.45,73.78
2017-01-16,朝阳,172.37,2.56,47.89,16.55,187.48,133.21,163.75
2017-01-17,朝阳,204.73,2.66,48.21,14.05,197.98,161.96,141.67
2017-01-18,朝阳,176.66,2.34,40.16,22.68,171.5,136.78,98.19
2017-01-19,朝阳,74.69,1.17,26.25,30.45,81.71,46.01,155.96
2017-01-20,朝阳,51.19,0.8,14.67,56.32,41.06,31.73,32.26
2017-01-21,朝阳,77.81,0.77,16.34,53.38,92.14,30.7,31.09
2017-01-22,朝阳,50.67,0.69,16.05,53.62,51.58,26.86,47.51
2017-01-23,朝阳,106.34,1.64,30.72,27.95,98.28,78.25,58.11
2017-01-24,朝阳,119.4,1.94,32.51,30.64,109.7,88.23,66.49
2017-01-25,朝阳,162.14,2.44,41.07,40.79,157.06,124.42,74.47
2017-01-26,朝阳,230.15,2.1,31.85,72.04,225.36,162.82,58.74
2017-01-27,朝阳,53.39,0.74,12.27,70.54,55.53,29.2,35.21
2017-01-28,朝阳,210.88,1.47,24.1,59.64,265.17,173.53,67.6
2017-01-29,朝阳,85.67,0.79,15.47,61.13,91.66,48.5,75.82
2017-01-30,朝阳,41.86,0.64,11.23,69.81,37.26,21.82,29.86
2017-01-31,朝阳,43.91,0.81,15.16,68.31,43.9,22.9,37.78
