time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,瓦房店,274.08,1.81,59.0,27.87,214.82,224.08,55.83
2017-01-02,瓦房店,123.19,1.19,42.83,30.53,114.5,92.78,37.43
2017-01-03,瓦房店,131.94,1.7,61.46,23.37,154.85,99.4,65.94
2017-01-04,瓦房店,156.92,2.16,65.46,20.27,157.2,121.5,87.48
2017-01-05,瓦房店,153.67,2.02,72.85,9.81,160.93,117.23,90.38
2017-01-06,瓦房店,135.88,1.55,56.25,19.08,135.66,103.48,30.45
2017-01-07,瓦房店,129.37,1.39,56.65,14.07,182.59,98.61,37.43
2017-01-08,瓦房店,150.71,1.06,45.15,27.13,139.7,114.19,35.23
2017-01-09,瓦房店,42.39,0.42,28.13,35.11,38.87,26.76,34.22
2017-01-10,瓦房店,39.55,0.49,24.59,33.0,48.21,24.36,26.45
2017-01-11,瓦房店,92.71,1.3,57.5,16.07,101.55,64.38,62.72
2017-01-12,瓦房店,66.48,0.79,36.58,25.19,61.25,46.92,57.32
2017-01-13,瓦房店,45.75,0.39,22.25,32.04,52.79,20.67,41.75
2017-01-14,瓦房店,45.67,0.47,20.27,29.9,51.42,20.1,40.94
2017-01-15,瓦房店,38.67,0.62,29.0,23.27,37.16,22.81,66.92
2017-01-16,瓦房店,88.12,1.27,58.52,10.33,94.63,62.25,113.46
2017-01-17,瓦房店,156.42,1.68,69.9,8.95,140.73,121.21,108.79
2017-01-18,瓦房店,118.54,1.13,42.08,20.62,97.89,89.35,63.21
2017-01-19,瓦房店,94.04,1.11,44.92,16.11,94.26,69.85,96.77
2017-01-20,瓦房店,44.52,0.33,20.42,28.23,44.48,25.29,51.08
2017-01-21,瓦房店,86.27,0.98,32.77,24.98,93.68,52.38,52.94
2017-01-22,瓦房店,40.67,0.37,19.33,29.75,40.79,20.54,47.77
2017-01-23,瓦房店,49.79,0.62,31.27,22.73,46.05,32.1,84.29
2017-01-24,瓦房店,73.76,1.19,45.7,19.58,76.62,52.15,79.96
2017-01-25,瓦房店,106.94,1.55,47.46,23.7,104.74,80.17,51.52
2017-01-26,瓦房店,131.85,1.14,37.0,27.82,147.18,85.59,48.97
2017-01-27,瓦房店,75.7,0.45,19.37,35.93,109.05,40.39,70.3
2017-01-28,瓦房店,252.53,0.87,34.41,26.17,1199.43,296.75,113.62
2017-01-29,瓦房店,76.93,0.46,17.72,31.43,83.21,51.39,27.07
2017-01-30,瓦房店,46.02,0.46,19.81,31.56,45.07,25.67,61.31
2017-01-31,瓦房店,89.84,1.22,41.58,20.89,80.8,66.39,94.79
2017-02-01,瓦房店,52.12,0.53,20.71,21.0,57.63,32.25,37.33
2017-02-02,瓦房店,71.58,1.25,50.12,14.29,81.29,51.29,94.71
2017-02-03,瓦房店,137.75,1.81,58.0,12.04,138.42,104.5,53.79
2017-02-04,瓦房店,198.81,1.62,40.58,21.03,175.59,151.42,20.17
2017-02-05,瓦房店,125.35,1.04,29.79,29.58,108.46,93.6,38.96
2017-02-06,瓦房店,52.1,0.38,19.73,36.85,51.02,32.38,38.46
2017-02-07,瓦房店,89.15,0.92,42.7,18.98,100.86,64.39,70.37
2017-02-08,瓦房店,94.27,0.66,27.52,25.98,96.65,59.5,50.33
2017-02-09,瓦房店,46.48,0.29,14.98,35.46,50.53,17.21,27.02
2017-02-10,瓦房店,45.06,0.32,16.54,32.58,49.71,20.94,27.1
2017-02-11,瓦房店,63.1,0.44,22.73,30.15,70.37,35.04,46.15
2017-02-12,瓦房店,179.41,1.34,48.85,22.16,261.71,113.76,103.52
2017-02-13,瓦房店,155.19,1.23,43.83,33.04,164.64,114.69,73.33
2017-02-14,瓦房店,145.31,1.17,52.81,27.98,152.89,100.73,88.54
2017-02-15,瓦房店,121.27,0.95,44.56,30.85,95.0,89.08,27.48
2017-02-16,瓦房店,91.17,0.66,31.57,37.62,98.03,58.02,25.64
2017-02-17,瓦房店,61.0,0.31,13.85,38.83,44.85,38.1,25.65
2017-02-18,瓦房店,78.19,0.96,36.98,27.53,72.17,53.33,55.52
2017-02-19,瓦房店,88.23,0.66,29.46,32.58,102.84,51.04,20.46
2017-02-20,瓦房店,66.77,0.28,13.71,39.42,83.74,18.9,21.33
2017-02-21,瓦房店,72.33,0.79,33.87,29.77,71.62,50.26,47.15
2017-02-22,瓦房店,61.83,0.74,28.19,33.58,52.24,43.52,42.25
2017-02-23,瓦房店,31.6,0.33,19.04,38.23,25.78,16.2,46.15
2017-02-24,瓦房店,60.48,0.84,35.82,27.45,60.32,41.2,51.34
2017-02-25,瓦房店,78.38,0.91,46.31,23.4,68.8,56.15,83.6
2017-02-26,瓦房店,83.1,1.05,40.69,28.38,76.79,59.98,57.46
2017-02-27,瓦房店,86.08,0.85,40.48,25.56,81.85,63.02,28.56
2017-02-28,瓦房店,131.4,0.9,37.85,27.5,119.36,98.79,20.12
2017-03-01,瓦房店,85.65,0.61,25.62,29.49,85.18,41.79,29.5
2017-03-02,瓦房店,69.38,0.64,32.93,29.93,72.76,32.36,51.29
2017-03-03,瓦房店,119.65,1.04,46.91,26.89,129.89,90.11,53.93
2017-03-04,瓦房店,131.96,0.99,35.06,35.06,120.73,99.73,25.65
2017-03-05,瓦房店,72.79,0.45,21.25,34.83,88.21,37.94,30.31
2017-03-06,瓦房店,48.67,0.47,24.81,29.67,49.98,28.52,40.75
2017-03-07,瓦房店,43.98,0.29,15.88,33.83,43.17,16.23,31.79
2017-03-08,瓦房店,58.91,0.56,26.84,30.32,61.66,26.02,50.55
2017-03-09,瓦房店,60.21,0.6,29.04,27.67,69.46,27.52,35.35
2017-03-10,瓦房店,99.85,1.12,53.96,21.38,112.21,71.46,61.38
2017-03-11,瓦房店,150.52,1.13,49.98,24.25,135.27,114.06,29.6
2017-03-12,瓦房店,74.1,0.42,18.73,40.35,89.75,24.42,15.88
2017-03-13,瓦房店,50.19,0.41,21.15,38.46,54.23,23.31,20.9
2017-03-14,瓦房店,64.92,0.51,28.48,45.08,64.56,41.19,33.96
2017-03-15,瓦房店,70.53,0.66,35.93,50.47,76.36,47.2,44.64
2017-03-16,瓦房店,139.48,1.15,57.98,58.63,143.47,104.83,57.02
2017-03-17,瓦房店,183.5,0.86,65.19,61.38,166.49,140.48,60.07
2017-03-18,瓦房店,147.15,0.71,52.85,79.0,129.5,111.92,45.23
2017-03-19,瓦房店,143.85,0.77,52.33,79.7,134.57,108.7,43.48
2017-03-20,瓦房店,120.77,0.6,43.27,61.21,129.13,73.9,35.83
2017-03-21,瓦房店,52.25,0.32,26.48,54.96,57.52,23.08,22.69
2017-03-22,瓦房店,87.75,0.69,48.25,55.19,99.19,63.92,46.67
2017-03-23,瓦房店,78.29,0.57,38.25,54.65,74.18,52.12,34.08
2017-03-24,瓦房店,72.75,0.51,40.94,53.46,81.88,50.79,34.0
2017-03-25,瓦房店,70.77,0.39,30.0,68.31,66.26,51.4,19.81
2017-03-26,瓦房店,108.46,0.66,37.77,64.1,93.7,80.44,22.42
2017-03-27,瓦房店,75.85,0.49,36.0,59.59,82.43,53.15,20.54
2017-03-28,瓦房店,89.27,0.54,42.69,63.81,96.37,60.33,24.9
2017-03-29,瓦房店,76.73,0.37,29.35,77.56,77.87,56.06,22.5
2017-03-30,瓦房店,91.1,0.47,35.42,68.1,95.89,65.0,20.19
2017-03-31,瓦房店,70.44,0.46,31.85,68.31,84.79,44.94,24.12
2017-04-01,瓦房店,62.85,0.44,36.07,62.74,72.98,39.61,23.41
2017-04-02,瓦房店,69.4,0.44,38.69,64.75,79.48,43.08,25.85
2017-04-03,瓦房店,106.07,0.71,55.54,75.74,127.28,77.46,33.09
2017-04-04,瓦房店,126.48,0.54,31.43,87.26,112.65,95.87,9.83
2017-04-05,瓦房店,47.02,0.31,24.48,73.12,52.12,31.17,6.29
2017-04-06,瓦房店,64.78,0.42,25.61,79.5,70.51,46.26,6.11
2017-04-07,瓦房店,99.92,0.65,33.1,57.92,102.65,74.56,7.52
2017-04-08,瓦房店,68.46,0.38,19.48,75.1,92.87,23.19,5.04
2017-04-09,瓦房店,67.15,0.34,20.85,72.35,84.15,18.62,9.25
2017-04-10,瓦房店,77.56,0.5,39.6,65.35,91.84,50.67,12.25
2017-04-11,瓦房店,98.98,0.31,20.98,74.21,137.66,25.5,10.62
2017-04-12,瓦房店,73.17,0.32,28.62,59.96,96.52,25.98,9.54
2017-04-13,瓦房店,113.8,0.54,40.85,87.28,132.05,79.67,15.11
2017-04-14,瓦房店,84.73,0.47,29.12,91.15,79.31,62.4,7.58
2017-04-15,瓦房店,93.81,0.47,26.83,100.65,93.86,69.69,6.02
2017-04-16,瓦房店,93.02,0.48,27.77,92.88,109.48,66.38,7.08
2017-04-17,瓦房店,61.6,0.34,24.54,87.12,52.89,42.12,6.0
2017-04-18,瓦房店,140.0,0.18,16.04,87.22,196.86,20.76,2.63
2017-04-19,瓦房店,59.33,0.28,27.77,71.92,70.48,27.44,8.08
2017-04-20,瓦房店,107.48,0.56,40.42,75.42,143.4,60.67,13.04
2017-04-21,瓦房店,77.85,0.37,27.69,80.58,106.25,30.1,8.83
2017-04-22,瓦房店,71.43,0.34,27.43,92.78,94.93,30.98,9.57
2017-04-23,瓦房店,81.17,0.42,28.35,89.79,97.67,48.98,11.35
2017-04-24,瓦房店,65.08,0.41,27.81,81.38,68.03,43.15,3.48
2017-04-25,瓦房店,48.73,0.35,27.81,60.12,52.27,20.46,3.21
