time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,盘锦,245.47,2.42,45.14,45.0,278.45,195.65,31.32
2017-01-02,盘锦,121.27,2.39,62.05,38.7,137.84,89.48,52.53
2017-01-03,盘锦,139.21,3.05,76.26,34.35,146.41,106.21,30.78
2017-01-04,盘锦,119.56,2.49,67.46,25.51,122.89,89.67,71.68
2017-01-05,盘锦,87.85,1.04,47.6,40.31,85.87,64.58,48.01
2017-01-06,盘锦,117.28,1.68,57.79,32.46,125.27,86.07,41.83
2017-01-07,盘锦,104.84,1.3,45.2,35.72,112.8,78.77,44.87
2017-01-08,盘锦,77.62,0.99,41.36,52.31,81.1,54.97,43.96
2017-01-09,盘锦,42.75,0.66,29.33,60.36,44.73,19.61,32.99
2017-01-10,盘锦,40.69,0.74,37.5,47.88,40.19,21.74,36.12
2017-01-11,盘锦,91.08,1.83,69.29,15.35,87.4,66.15,64.29
2017-01-12,盘锦,59.58,0.95,41.09,42.67,54.07,39.38,43.78
2017-01-13,盘锦,78.25,0.75,33.5,44.58,103.15,27.07,36.0
2017-01-14,盘锦,51.72,0.75,28.78,46.75,51.77,27.54,27.53
2017-01-15,盘锦,100.71,1.62,55.6,26.51,98.24,72.15,67.61
2017-01-16,盘锦,146.33,1.83,68.15,25.65,150.54,111.94,74.86
2017-01-17,盘锦,188.1,2.47,78.67,16.83,197.92,148.36,73.04
2017-01-18,盘锦,92.86,1.38,46.03,32.38,101.61,64.51,48.89
2017-01-19,盘锦,98.58,1.45,46.32,27.62,112.24,68.22,47.78
2017-01-20,盘锦,48.38,0.7,25.14,53.24,50.57,25.47,37.97
2017-01-21,盘锦,80.69,0.95,32.42,48.78,112.71,29.68,34.93
2017-01-22,盘锦,45.25,0.7,22.76,57.96,42.19,25.97,29.68
2017-01-23,盘锦,78.72,1.4,51.46,33.74,81.93,53.64,52.85
2017-01-24,盘锦,94.11,1.44,57.53,33.57,101.13,68.26,81.64
2017-01-25,盘锦,100.67,1.95,47.28,44.04,109.78,74.76,60.03
2017-01-26,盘锦,139.2,1.25,22.86,68.78,176.39,71.76,30.76
2017-01-27,盘锦,46.89,0.69,14.67,65.94,55.0,18.88,25.44
2017-01-28,盘锦,74.18,0.79,13.11,64.83,82.02,51.62,20.02
2017-01-29,盘锦,67.11,0.82,12.62,63.02,73.19,38.38,18.45
2017-01-30,盘锦,42.32,0.71,12.77,69.93,38.8,25.78,21.57
2017-01-31,盘锦,96.56,1.55,34.17,62.12,97.68,71.42,32.01
2017-02-01,盘锦,63.67,0.84,15.07,81.27,59.88,40.6,19.73
2017-02-02,盘锦,108.11,2.15,36.92,53.23,102.35,79.24,23.24
2017-02-03,盘锦,151.92,2.19,40.01,67.49,147.41,117.04,32.42
2017-02-04,盘锦,178.01,1.82,34.43,71.59,172.65,135.16,25.09
2017-02-05,盘锦,103.58,1.13,27.29,62.17,117.62,70.88,33.32
2017-02-06,盘锦,61.71,0.68,27.99,61.62,54.02,37.62,32.75
2017-02-07,盘锦,94.33,1.07,42.39,41.17,99.25,69.55,43.09
2017-02-08,盘锦,72.49,0.72,27.78,52.96,86.37,34.74,35.1
2017-02-09,盘锦,50.31,0.54,19.93,65.24,54.57,20.04,30.92
2017-02-10,盘锦,52.88,0.69,26.93,57.2,42.55,29.48,32.72
2017-02-11,盘锦,59.82,0.92,37.27,53.08,62.95,36.89,33.41
2017-02-12,盘锦,88.46,1.03,39.01,55.36,74.08,63.5,49.33
2017-02-13,盘锦,148.51,1.49,51.28,54.65,145.43,111.09,49.02
2017-02-14,盘锦,165.79,1.58,51.33,63.36,162.83,128.9,46.46
2017-02-15,盘锦,134.86,1.2,27.42,81.43,131.1,101.83,28.35
2017-02-16,盘锦,91.06,0.85,20.7,85.46,113.36,41.4,24.39
2017-02-17,盘锦,37.18,0.69,16.08,76.41,35.62,16.15,21.18
2017-02-18,盘锦,82.62,1.04,31.1,69.36,78.74,57.47,38.94
2017-02-19,盘锦,100.36,1.05,25.08,67.61,134.24,49.61,29.47
2017-02-20,盘锦,57.15,0.82,18.06,75.36,64.82,24.38,22.28
2017-02-21,盘锦,72.96,1.2,33.11,56.43,78.62,48.83,26.9
2017-02-22,盘锦,39.88,0.97,17.88,80.92,36.83,22.5,31.85
2017-02-23,盘锦,30.58,0.66,22.31,74.07,23.97,12.96,24.17
2017-02-24,盘锦,37.31,0.81,29.17,59.12,33.44,21.42,25.26
2017-02-25,盘锦,44.03,0.93,36.79,49.44,38.08,25.25,31.08
2017-02-26,盘锦,59.78,1.06,45.97,46.93,55.75,39.97,74.0
2017-02-27,盘锦,76.76,1.3,44.42,56.61,77.15,54.86,37.47
2017-02-28,盘锦,140.29,1.23,37.12,63.12,131.22,105.18,33.88
2017-03-01,盘锦,42.54,0.52,11.11,75.93,43.64,12.72,18.18
2017-03-02,盘锦,60.25,1.11,41.1,41.25,70.38,34.94,41.29
2017-03-03,盘锦,68.85,0.82,26.47,69.35,72.67,46.06,25.92
2017-03-04,盘锦,115.49,1.12,44.75,63.62,128.97,77.22,45.94
2017-03-05,盘锦,45.26,0.65,12.61,73.93,45.67,26.78,20.18
2017-03-06,盘锦,45.93,0.75,30.33,52.88,44.9,26.19,27.65
2017-03-07,盘锦,40.94,0.62,17.14,66.57,41.66,14.93,21.21
2017-03-08,盘锦,45.83,0.68,24.88,65.88,47.93,16.93,23.61
2017-03-09,盘锦,43.68,0.78,33.71,58.4,44.33,20.14,24.29
2017-03-10,盘锦,61.4,1.0,40.82,66.35,56.05,39.93,30.44
2017-03-11,盘锦,146.83,1.64,52.35,73.31,141.67,110.89,31.9
2017-03-12,盘锦,56.54,0.72,21.79,73.47,69.8,16.67,25.85
2017-03-13,盘锦,49.74,0.75,24.1,73.19,40.49,25.75,24.79
2017-03-14,盘锦,55.78,0.9,40.22,59.29,57.41,33.83,30.15
2017-03-15,盘锦,80.65,1.04,51.0,61.07,83.95,56.29,39.64
