time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,营口,237.04,1.47,40.64,44.68,238.12,187.09,26.67
2017-01-02,营口,138.3,1.95,57.02,31.1,162.06,108.06,41.49
2017-01-03,营口,131.19,1.84,53.93,29.64,146.33,103.03,26.99
2017-01-04,营口,199.41,3.16,73.97,14.31,210.88,157.41,48.38
2017-01-05,营口,146.49,1.36,61.62,18.75,133.2,113.01,62.89
2017-01-06,营口,132.78,1.63,60.72,26.91,147.16,101.73,43.11
2017-01-07,营口,183.48,1.93,56.73,20.28,182.22,142.87,43.53
2017-01-08,营口,137.23,1.0,42.65,40.57,135.44,103.98,22.36
2017-01-09,营口,45.77,0.66,36.38,40.17,43.32,31.52,27.07
2017-01-10,营口,38.95,0.68,40.86,44.17,37.26,23.89,29.72
2017-01-11,营口,111.98,1.98,67.43,20.49,115.82,83.1,59.16
2017-01-12,营口,88.21,1.17,50.99,36.76,92.1,65.39,54.54
2017-01-13,营口,60.29,0.77,39.04,45.75,61.52,36.61,45.37
2017-01-14,营口,42.37,0.57,22.99,57.63,41.47,22.84,28.07
2017-01-15,营口,127.51,1.84,57.33,29.14,129.84,99.35,66.26
2017-01-16,营口,165.4,2.13,75.15,24.23,162.38,127.49,108.27
2017-01-17,营口,196.07,2.79,80.73,17.72,193.31,153.73,78.08
2017-01-18,营口,175.25,2.09,63.2,32.05,185.92,138.04,57.01
2017-01-19,营口,160.55,2.12,56.39,32.72,168.6,125.04,71.99
2017-01-20,营口,46.41,0.53,27.46,58.79,46.19,31.09,28.89
2017-01-21,营口,52.74,0.61,29.04,60.93,55.77,29.64,22.58
2017-01-22,营口,55.2,0.61,25.06,58.93,59.23,29.68,29.71
2017-01-23,营口,107.0,1.64,52.03,34.34,111.59,81.29,52.77
2017-01-24,营口,114.46,1.47,62.03,37.61,113.42,86.4,52.65
2017-01-25,营口,106.47,1.53,46.46,54.22,103.21,79.78,43.54
2017-01-26,营口,109.91,0.95,28.01,73.72,115.12,77.56,27.66
2017-01-27,营口,33.83,0.29,15.45,73.84,32.67,13.56,18.06
2017-01-28,营口,81.99,0.52,23.11,70.88,81.42,59.98,31.8
2017-01-29,营口,57.8,0.42,15.33,70.72,60.67,33.47,16.85
2017-01-30,营口,40.98,0.46,16.3,68.69,41.96,20.9,17.99
2017-01-31,营口,62.02,1.31,31.84,50.5,62.41,43.6,20.9
2017-02-01,营口,44.17,0.36,14.66,78.32,42.62,29.07,19.88
2017-02-02,营口,74.31,1.43,35.14,57.96,76.47,53.61,20.83
2017-02-03,营口,144.61,1.54,39.15,80.68,140.03,109.67,31.4
2017-02-04,营口,167.3,1.21,33.11,88.92,152.93,127.07,26.5
2017-02-05,营口,119.42,0.91,25.82,66.48,118.99,91.27,22.46
2017-02-06,营口,72.16,0.52,24.12,68.48,71.44,51.43,21.83
2017-02-07,营口,208.7,1.4,49.97,37.05,202.85,165.07,40.6
2017-02-08,营口,84.44,0.64,27.39,58.67,87.99,61.26,20.78
2017-02-09,营口,54.34,0.4,18.11,72.2,59.92,34.3,13.78
2017-02-10,营口,48.53,0.49,21.84,66.83,49.24,31.78,21.99
2017-02-11,营口,81.71,0.69,37.17,58.17,81.4,59.53,36.74
2017-02-12,营口,78.1,0.91,40.07,55.31,78.27,56.57,24.43
2017-02-13,营口,251.48,2.88,66.53,50.3,267.2,206.17,55.34
2017-02-14,营口,192.26,1.64,59.72,58.91,197.63,155.52,40.55
2017-02-15,营口,129.48,0.92,39.64,84.5,126.73,97.46,28.76
