time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,葫芦岛,357.0,6.65,108.66,11.47,417.24,315.76,104.76
2017-01-02,葫芦岛,220.95,4.64,81.78,28.98,247.17,188.57,206.51
2017-01-03,葫芦岛,172.46,3.57,81.79,27.89,187.86,136.86,141.46
2017-01-04,葫芦岛,189.99,3.21,77.81,19.92,216.54,149.89,227.83
2017-01-05,葫芦岛,119.2,1.86,50.86,34.98,127.47,90.42,130.73
2017-01-06,葫芦岛,127.55,3.69,71.26,18.99,137.45,96.65,123.76
2017-01-07,葫芦岛,127.83,2.83,48.18,36.88,139.96,96.48,99.15
2017-01-08,葫芦岛,68.61,1.41,31.42,53.3,60.67,47.68,62.7
2017-01-09,葫芦岛,34.2,1.04,22.69,58.8,31.84,17.53,41.51
2017-01-10,葫芦岛,50.45,1.19,31.6,47.23,52.19,29.12,74.28
2017-01-11,葫芦岛,103.04,1.92,63.74,22.35,117.41,75.47,160.15
2017-01-12,葫芦岛,88.75,1.5,46.12,33.53,93.41,64.59,104.31
2017-01-13,葫芦岛,56.01,1.09,31.25,46.61,67.76,26.07,51.37
2017-01-14,葫芦岛,66.19,1.21,32.68,39.66,79.59,28.49,61.58
2017-01-15,葫芦岛,90.18,1.89,48.2,24.8,96.52,62.41,110.95
2017-01-16,葫芦岛,140.74,2.43,61.22,22.73,152.46,107.3,171.83
2017-01-17,葫芦岛,191.56,2.84,70.76,12.92,186.45,151.88,157.67
2017-01-18,葫芦岛,104.51,1.94,42.91,32.93,111.75,76.3,92.83
2017-01-19,葫芦岛,88.5,1.69,45.88,27.67,103.52,63.64,108.68
2017-01-20,葫芦岛,46.56,0.95,20.99,63.0,44.7,28.11,49.52
2017-01-21,葫芦岛,63.32,1.22,31.95,52.29,68.89,33.77,44.08
2017-01-22,葫芦岛,48.28,1.04,23.59,56.28,51.06,25.71,55.65
2017-01-23,葫芦岛,79.88,1.63,43.02,38.16,86.69,54.09,93.53
2017-01-24,葫芦岛,108.19,2.18,48.31,31.75,122.23,77.52,129.18
2017-01-25,葫芦岛,175.18,3.03,61.74,26.73,180.94,132.99,140.33
2017-01-26,葫芦岛,205.94,2.56,55.05,38.7,209.33,150.52,85.03
2017-01-27,葫芦岛,46.0,1.1,20.2,65.83,49.94,25.74,48.87
2017-01-28,葫芦岛,115.11,1.4,29.29,48.25,133.14,83.71,73.35
2017-01-29,葫芦岛,66.14,0.95,12.78,62.83,78.55,37.98,33.03
2017-01-30,葫芦岛,41.11,1.07,17.46,65.24,39.75,21.31,56.24
2017-01-31,葫芦岛,79.28,2.03,36.0,53.68,84.97,55.52,61.86
2017-02-01,葫芦岛,40.43,1.02,16.76,68.31,43.25,21.22,50.44
2017-02-02,葫芦岛,107.35,2.34,48.59,43.03,109.78,78.31,106.23
2017-02-03,葫芦岛,246.88,3.95,67.39,39.27,261.61,203.07,230.49
2017-02-04,葫芦岛,291.08,3.64,63.79,29.18,287.97,242.38,79.62
2017-02-05,葫芦岛,83.15,1.26,27.62,61.03,94.7,57.1,65.53
2017-02-06,葫芦岛,50.32,0.94,23.61,59.1,51.69,26.78,57.81
2017-02-07,葫芦岛,63.55,1.23,35.86,36.13,65.83,42.22,84.8
2017-02-08,葫芦岛,58.66,0.93,19.1,56.07,70.42,22.58,36.52
2017-02-09,葫芦岛,48.29,0.84,9.95,70.86,56.11,13.7,19.09
2017-02-10,葫芦岛,49.98,1.13,17.65,61.41,55.48,22.86,36.02
2017-02-11,葫芦岛,77.34,1.63,40.88,38.01,92.13,46.4,84.79
2017-02-12,葫芦岛,99.64,1.94,45.16,35.14,107.52,69.56,109.12
2017-02-13,葫芦岛,124.23,2.06,49.17,42.48,124.62,90.69,101.82
2017-02-14,葫芦岛,125.34,1.7,48.24,54.43,128.48,93.76,73.72
2017-02-15,葫芦岛,152.81,2.07,54.69,37.15,139.29,118.04,90.43
2017-02-16,葫芦岛,115.16,1.02,24.74,74.68,123.45,64.92,53.57
2017-02-17,葫芦岛,36.04,0.82,17.24,66.79,34.82,16.75,50.39
2017-02-18,葫芦岛,75.37,1.4,42.49,39.92,70.49,47.23,72.77
2017-02-19,葫芦岛,118.62,1.41,35.58,44.41,138.05,70.16,63.99
2017-02-20,葫芦岛,59.92,1.02,19.22,64.45,70.76,23.22,37.46
2017-02-21,葫芦岛,65.96,1.6,43.18,36.79,75.07,41.1,51.89
2017-02-22,葫芦岛,56.2,1.54,27.07,59.0,47.74,38.45,37.99
2017-02-23,葫芦岛,32.46,0.85,17.33,71.7,27.55,15.27,29.79
2017-02-24,葫芦岛,47.99,1.25,38.05,46.01,45.09,29.7,39.59
