time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,辽阳,179.43,1.48,46.09,44.95,177.32,138.92,44.13
2017-01-02,辽阳,106.29,1.31,37.83,45.38,117.65,78.81,27.77
2017-01-03,辽阳,124.48,1.82,60.78,40.19,133.35,90.3,41.27
2017-01-04,辽阳,152.47,2.61,64.44,27.36,154.96,116.45,51.08
2017-01-05,辽阳,133.94,1.75,69.77,19.58,140.0,101.11,63.1
2017-01-06,辽阳,137.84,2.19,66.76,24.4,135.44,104.23,54.62
2017-01-07,辽阳,220.55,2.41,75.41,13.16,219.26,177.51,64.71
2017-01-08,辽阳,233.01,1.73,64.92,34.68,210.77,183.7,53.03
2017-01-09,辽阳,86.17,1.13,47.53,42.04,88.49,57.99,47.15
2017-01-10,辽阳,42.99,0.69,35.88,47.09,45.88,22.2,43.8
2017-01-11,辽阳,116.58,2.41,71.07,20.14,125.48,87.04,80.71
2017-01-12,辽阳,114.93,1.8,58.2,30.87,111.15,84.66,56.05
2017-01-13,辽阳,84.04,1.13,41.0,39.11,104.16,42.42,44.91
2017-01-14,辽阳,64.31,1.03,35.8,37.35,61.58,41.23,34.29
2017-01-15,辽阳,113.09,1.78,59.16,23.42,115.85,84.83,54.26
2017-01-16,辽阳,157.69,2.72,74.25,18.8,160.48,121.96,78.43
2017-01-17,辽阳,253.81,3.91,99.2,10.05,281.34,204.62,140.11
2017-01-18,辽阳,195.4,2.26,68.5,24.67,173.3,154.68,54.16
2017-01-19,辽阳,171.5,2.06,62.03,19.11,166.44,132.69,63.1
2017-01-20,辽阳,60.27,0.76,26.13,48.08,62.43,36.8,27.45
2017-01-21,辽阳,74.77,0.81,23.75,54.75,96.91,30.01,27.0
2017-01-22,辽阳,76.31,0.89,25.11,49.65,66.39,48.54,24.44
2017-01-23,辽阳,120.47,1.7,48.72,30.85,122.35,90.51,45.61
2017-01-24,辽阳,120.45,1.72,56.52,29.77,125.64,90.43,55.29
2017-01-25,辽阳,101.75,1.75,51.71,44.02,107.14,75.65,51.05
2017-01-26,辽阳,114.37,0.73,20.93,74.79,142.82,54.96,23.57
2017-01-27,辽阳,53.46,0.6,19.75,62.89,57.68,26.4,30.82
2017-01-28,辽阳,70.67,0.41,11.07,68.48,67.69,49.69,22.51
2017-01-29,辽阳,57.57,0.48,13.03,62.6,56.99,36.8,18.92
2017-01-30,辽阳,46.3,0.62,18.55,54.21,46.0,27.35,26.6
2017-01-31,辽阳,69.0,1.48,37.26,49.1,65.16,48.94,40.62
2017-02-01,辽阳,48.69,0.5,15.23,67.34,52.97,21.33,24.91
2017-02-02,辽阳,99.46,2.17,54.25,37.65,100.91,73.09,62.96
2017-02-03,辽阳,121.2,1.67,39.89,67.12,114.1,91.31,35.85
2017-02-04,辽阳,138.79,1.17,26.29,87.4,121.4,105.27,25.35
2017-02-05,辽阳,98.67,0.86,25.86,59.99,87.99,69.99,21.82
2017-02-06,辽阳,41.72,0.49,21.44,57.0,39.78,22.06,23.54
2017-02-07,辽阳,101.59,1.62,55.95,20.34,102.66,75.21,54.13
2017-02-08,辽阳,87.92,0.86,28.0,48.22,93.23,50.08,29.02
2017-02-09,辽阳,47.85,0.46,14.71,63.96,50.0,20.89,18.42
2017-02-10,辽阳,50.74,0.6,19.81,57.22,44.37,31.76,21.06
2017-02-11,辽阳,106.4,0.94,33.1,55.34,110.17,78.37,37.17
2017-02-12,辽阳,179.75,1.6,59.98,50.45,151.51,139.34,63.23
2017-02-13,辽阳,161.08,1.95,61.49,37.39,146.26,124.89,50.27
2017-02-14,辽阳,128.96,1.73,60.88,40.56,122.44,97.79,44.6
2017-02-15,辽阳,106.65,0.83,22.8,90.6,99.19,78.14,22.1
2017-02-16,辽阳,84.5,0.69,28.46,72.48,91.88,47.47,19.3
2017-02-17,辽阳,49.99,0.63,21.69,74.62,50.64,23.96,22.8
2017-02-18,辽阳,86.98,1.23,46.25,50.5,85.67,63.0,53.57
2017-02-19,辽阳,77.4,0.74,21.78,69.69,93.39,43.29,17.52
2017-02-20,辽阳,49.08,0.67,17.89,70.12,46.64,28.97,16.18
2017-02-21,辽阳,80.8,1.45,47.41,41.48,86.3,55.59,49.3
2017-02-22,辽阳,67.7,1.03,32.59,62.16,61.32,46.73,24.88
2017-02-23,辽阳,38.96,0.58,20.1,77.83,35.08,21.12,24.49
2017-02-24,辽阳,61.77,1.3,44.26,54.46,65.26,42.4,51.52
2017-02-25,辽阳,74.81,1.52,44.24,51.82,80.41,52.43,46.11
2017-02-26,辽阳,79.69,1.53,46.83,48.61,90.42,57.17,55.55
2017-02-27,辽阳,50.68,0.81,21.4,75.81,50.64,32.48,20.41
2017-02-28,辽阳,91.8,0.92,23.71,82.26,81.35,68.16,19.66
2017-03-01,辽阳,43.11,0.63,20.66,60.93,43.82,19.05,25.24
2017-03-02,辽阳,76.34,1.53,47.17,39.05,94.24,44.58,53.39
2017-03-03,辽阳,99.0,1.3,46.68,49.77,101.83,71.78,44.43
2017-03-04,辽阳,106.15,1.54,45.4,50.03,125.48,69.04,37.3
2017-03-05,辽阳,68.12,0.78,24.86,63.47,59.21,48.42,19.84
