time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,铁岭,215.07,1.59,55.62,29.75,194.25,169.04,47.39
2017-01-02,铁岭,124.1,1.1,36.54,41.61,133.1,91.5,20.29
2017-01-03,铁岭,103.2,1.21,56.05,28.76,105.67,75.21,45.5
2017-01-04,铁岭,87.08,0.82,54.7,23.63,84.91,60.61,25.53
2017-01-05,铁岭,95.74,0.82,56.15,25.55,91.99,69.96,32.05
2017-01-06,铁岭,119.84,1.16,67.06,20.59,122.0,91.07,47.69
2017-01-07,铁岭,252.71,1.77,75.05,23.6,236.62,206.57,37.18
2017-01-08,铁岭,304.82,1.63,72.83,33.9,283.12,254.97,35.06
2017-01-09,铁岭,55.21,0.49,33.83,57.4,58.88,27.74,18.04
2017-01-10,铁岭,45.3,0.51,33.53,49.63,44.58,21.84,22.7
2017-01-11,铁岭,71.57,0.76,50.48,30.45,75.21,48.42,25.61
2017-01-12,铁岭,56.22,0.55,34.23,50.41,60.63,33.73,21.09
2017-01-13,铁岭,67.64,0.49,29.95,48.48,82.4,29.39,20.92
2017-01-14,铁岭,62.96,0.58,29.85,43.23,64.24,36.02,17.55
2017-01-15,铁岭,114.71,1.11,56.29,19.48,114.0,85.6,54.33
2017-01-16,铁岭,115.97,0.96,51.0,27.56,111.35,86.19,32.18
2017-01-17,铁岭,179.27,1.51,77.36,12.5,178.47,141.69,79.11
2017-01-18,铁岭,183.74,1.4,61.37,22.15,173.78,143.93,38.86
2017-01-19,铁岭,116.91,0.84,40.76,31.39,115.0,86.78,26.05
2017-01-20,铁岭,56.73,0.52,25.35,46.17,55.59,35.81,18.8
2017-01-21,铁岭,89.23,0.71,31.99,40.79,106.68,49.28,28.48
2017-01-22,铁岭,103.11,0.72,27.91,38.97,96.12,75.74,19.73
2017-01-23,铁岭,124.25,0.88,40.83,35.52,115.7,92.93,38.95
2017-01-24,铁岭,124.92,1.14,56.82,28.67,130.01,93.84,60.88
2017-01-25,铁岭,113.14,1.3,53.32,40.38,117.34,84.7,59.62
2017-01-26,铁岭,144.26,0.89,23.99,75.44,185.47,70.85,36.16
2017-01-27,铁岭,56.82,0.48,16.82,65.1,62.55,27.84,19.33
2017-01-28,铁岭,67.96,0.69,25.05,63.46,63.45,47.67,29.31
2017-01-29,铁岭,67.58,0.62,19.77,65.12,68.49,44.16,15.62
2017-01-30,铁岭,63.86,0.63,27.92,48.84,65.38,43.32,20.38
2017-01-31,铁岭,84.14,1.0,38.94,46.48,78.11,58.83,43.79
2017-02-01,铁岭,45.02,0.45,18.7,65.74,43.71,23.01,19.47
2017-02-02,铁岭,85.46,1.12,44.92,38.9,86.3,61.16,43.46
2017-02-03,铁岭,162.45,2.02,63.93,33.45,155.78,123.62,53.08
2017-02-04,铁岭,185.76,1.32,49.67,61.94,155.54,143.14,40.3
2017-02-05,铁岭,99.09,0.57,21.03,69.53,97.99,71.57,14.62
