time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,锦州,357.38,5.58,110.59,11.32,382.56,312.05,185.92
2017-01-02,锦州,204.23,3.27,85.84,25.75,183.84,161.27,145.54
2017-01-03,锦州,184.69,2.73,88.22,26.27,176.44,145.94,138.57
2017-01-04,锦州,142.17,1.72,62.6,30.1,135.32,109.76,106.55
2017-01-05,锦州,108.37,1.23,49.61,38.12,102.61,81.05,114.15
2017-01-06,锦州,188.62,3.44,83.04,16.04,188.06,147.85,149.64
2017-01-07,锦州,138.12,2.19,55.63,31.79,141.79,103.58,115.7
2017-01-08,锦州,80.86,1.05,36.88,53.8,69.82,57.92,69.35
2017-01-09,锦州,42.03,0.82,29.52,58.16,38.58,23.44,64.95
2017-01-10,锦州,57.77,0.95,38.89,47.63,56.45,35.92,75.01
2017-01-11,锦州,126.36,1.74,62.77,21.67,125.81,94.76,127.93
2017-01-12,锦州,99.1,1.42,51.43,31.72,100.14,72.37,85.22
2017-01-13,锦州,67.02,0.84,30.17,55.29,84.58,29.14,55.26
2017-01-14,锦州,58.07,0.84,27.07,51.1,61.24,28.94,47.95
2017-01-15,锦州,80.36,1.29,43.32,29.33,80.93,58.25,82.39
2017-01-16,锦州,151.3,1.83,58.3,21.06,128.32,117.45,125.86
2017-01-17,锦州,199.46,2.26,70.88,14.99,186.41,155.48,118.79
2017-01-18,锦州,111.78,1.33,44.9,40.02,105.55,83.27,70.43
2017-01-19,锦州,91.63,1.29,42.7,33.33,96.87,65.41,107.85
2017-01-20,锦州,49.55,0.85,28.37,63.59,45.3,30.37,63.4
2017-01-21,锦州,85.33,1.14,41.92,51.92,92.21,46.13,106.78
2017-01-22,锦州,59.92,0.97,29.02,59.37,51.54,36.39,65.49
2017-01-23,锦州,96.77,1.56,46.2,39.48,96.07,70.67,95.57
2017-01-24,锦州,117.54,1.74,48.45,37.3,110.77,87.25,102.52
2017-01-25,锦州,195.38,2.73,64.99,27.97,181.33,150.98,139.57
2017-01-26,锦州,204.22,2.01,43.6,54.72,210.87,132.08,90.45
2017-01-27,锦州,64.22,1.34,27.2,65.67,69.39,41.97,82.36
2017-01-28,锦州,134.94,1.48,34.08,50.04,137.25,100.99,103.42
2017-01-29,锦州,64.75,0.98,14.88,69.37,62.85,40.6,59.0
2017-01-30,锦州,41.65,0.97,19.3,67.85,34.79,23.64,62.32
2017-01-31,锦州,106.62,1.93,45.52,47.04,102.64,79.5,92.95
