time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,阜新,348.35,5.22,102.35,14.35,383.6,285.36,143.68
2017-01-02,阜新,124.46,2.11,40.95,47.42,126.33,90.85,74.61
2017-01-03,阜新,102.27,1.6,43.96,39.59,122.67,69.38,90.03
2017-01-04,阜新,92.94,1.18,41.85,37.04,113.08,53.9,98.95
2017-01-05,阜新,80.22,1.03,40.11,40.34,96.19,49.94,98.63
2017-01-06,阜新,156.96,1.88,60.22,26.85,181.02,121.27,166.78
2017-01-07,阜新,87.41,1.21,30.81,46.88,103.31,57.34,68.61
2017-01-08,阜新,50.95,0.74,20.26,65.05,47.95,29.7,37.15
2017-01-09,阜新,46.89,0.64,17.45,64.5,47.92,18.86,37.4
2017-01-10,阜新,36.99,0.61,12.95,68.26,35.19,13.31,32.33
2017-01-11,阜新,66.06,0.96,34.0,40.3,72.71,38.66,82.65
2017-01-12,阜新,37.15,0.75,21.9,52.0,35.25,17.43,29.67
2017-01-13,阜新,91.51,0.6,5.63,73.46,133.26,10.53,26.3
2017-01-14,阜新,39.37,0.69,12.21,61.97,35.69,14.39,50.63
2017-01-15,阜新,79.22,1.28,35.18,33.79,81.52,52.52,85.56
2017-01-16,阜新,118.44,1.47,46.95,24.84,144.24,82.3,146.95
2017-01-17,阜新,167.39,1.62,56.62,27.15,184.81,130.1,149.13
2017-01-18,阜新,74.42,0.81,23.97,53.5,80.45,49.31,44.17
2017-01-19,阜新,53.42,0.73,22.05,52.63,60.73,25.54,64.77
2017-01-20,阜新,46.16,0.49,13.3,66.89,46.96,23.63,36.77
2017-01-21,阜新,101.1,0.59,21.29,60.42,137.94,31.09,60.17
2017-01-22,阜新,41.95,0.5,10.22,71.86,38.75,19.12,31.69
2017-01-23,阜新,59.75,0.85,24.95,50.2,58.7,37.06,51.2
2017-01-24,阜新,79.59,1.04,29.74,47.34,76.73,55.36,65.8
2017-01-25,阜新,156.25,2.26,57.15,33.58,163.7,118.41,112.67
2017-01-26,阜新,221.13,1.74,39.54,56.78,267.66,134.55,61.12
2017-01-27,阜新,53.11,0.53,16.14,73.9,56.38,24.77,48.37
2017-01-28,阜新,231.82,1.65,36.52,39.12,245.54,210.64,110.27
2017-01-29,阜新,66.92,0.58,9.3,71.31,68.21,35.65,42.88
2017-01-30,阜新,40.25,0.51,11.23,71.33,31.73,18.69,31.32
2017-01-31,阜新,70.48,0.82,23.41,54.27,67.51,45.12,67.14
2017-02-01,阜新,43.42,0.51,13.07,71.32,41.19,20.79,38.09
2017-02-02,阜新,108.84,1.22,39.99,46.38,100.75,81.79,97.42
2017-02-03,阜新,174.92,2.01,60.07,41.78,188.64,136.96,161.68
2017-02-04,阜新,267.41,2.6,63.02,38.01,277.71,218.14,110.98
2017-02-05,阜新,51.02,0.59,14.73,73.15,53.93,19.65,28.17
2017-02-06,阜新,42.98,0.59,16.01,66.78,37.33,21.23,30.55
2017-02-07,阜新,41.98,0.69,25.63,49.46,42.36,22.78,40.59
2017-02-08,阜新,52.83,0.4,11.0,70.74,63.38,11.4,21.42
2017-02-09,阜新,42.55,0.35,4.76,81.05,45.45,9.92,21.09
2017-02-10,阜新,35.17,0.44,9.72,72.69,30.89,14.62,17.5
2017-02-11,阜新,45.07,0.52,15.88,69.16,39.75,24.02,32.31
2017-02-12,阜新,108.65,1.04,38.24,50.01,98.13,78.1,61.63
2017-02-13,阜新,70.83,0.91,35.29,48.58,71.46,46.13,57.99
2017-02-14,阜新,115.61,1.18,48.08,64.27,137.99,84.34,98.45
2017-02-15,阜新,196.57,1.47,56.17,54.95,209.21,155.52,82.27
2017-02-16,阜新,99.52,0.57,18.53,93.12,116.08,47.92,23.7
2017-02-17,阜新,40.07,0.47,18.58,80.07,34.79,16.71,30.17
2017-02-18,阜新,63.71,0.7,31.64,66.42,66.23,40.48,49.24
2017-02-19,阜新,122.1,0.77,25.91,72.03,151.71,63.02,42.14
2017-02-20,阜新,56.34,0.57,16.34,78.08,53.38,25.37,33.84
2017-02-21,阜新,88.12,1.05,40.32,44.94,106.28,55.88,78.23
2017-02-22,阜新,47.43,0.76,18.43,75.77,38.0,25.24,28.72
2017-02-23,阜新,44.68,0.49,16.65,78.86,27.97,22.05,25.9
2017-02-24,阜新,67.93,0.8,34.33,47.32,63.28,44.04,64.03
2017-02-25,阜新,65.68,0.78,34.03,47.71,55.97,41.78,60.92
2017-02-26,阜新,64.08,0.81,33.98,49.0,63.73,41.75,55.32
2017-02-27,阜新,122.08,1.26,54.59,45.65,118.95,92.0,83.49
2017-02-28,阜新,113.63,0.98,38.85,56.61,99.06,78.26,51.65
2017-03-01,阜新,41.58,0.37,13.39,81.15,37.11,10.67,31.16
2017-03-02,阜新,79.43,0.89,42.81,46.7,92.16,51.28,67.37
2017-03-03,阜新,70.07,0.81,32.62,63.71,70.64,44.53,44.96
2017-03-04,阜新,83.43,0.75,34.4,63.85,104.02,49.98,53.87
2017-03-05,阜新,41.46,0.54,18.09,70.44,34.54,23.63,23.47
2017-03-06,阜新,34.52,0.48,16.27,68.63,31.86,14.62,16.53
2017-03-07,阜新,46.83,0.41,10.23,79.04,50.4,11.66,16.74
2017-03-08,阜新,48.98,0.44,13.24,82.41,53.7,14.64,20.71
2017-03-09,阜新,41.91,0.49,16.19,78.35,37.73,18.04,23.3
2017-03-10,阜新,102.98,1.08,45.44,56.11,110.43,71.97,73.25
2017-03-11,阜新,123.45,1.2,45.15,59.85,144.94,80.47,77.13
2017-03-12,阜新,52.76,0.39,8.88,90.61,62.14,9.5,14.72
2017-03-13,阜新,47.3,0.52,17.92,78.89,38.62,22.31,36.95
2017-03-14,阜新,54.84,0.59,25.24,68.72,45.44,31.42,35.75
2017-03-15,阜新,90.37,0.92,42.78,62.73,98.93,62.26,66.45
2017-03-16,阜新,150.97,1.47,58.61,60.64,156.04,114.72,86.78
2017-03-17,阜新,180.86,1.5,57.39,59.9,197.74,139.94,65.63
2017-03-18,阜新,85.06,0.78,27.63,89.59,81.69,60.02,31.28
2017-03-19,阜新,65.05,0.66,31.26,79.28,72.49,37.67,46.67
2017-03-20,阜新,57.05,0.49,19.08,78.62,61.6,25.36,18.82
2017-03-21,阜新,50.35,0.53,20.69,77.83,42.17,28.16,19.7
2017-03-22,阜新,69.1,0.71,29.96,61.87,75.39,44.32,43.55
2017-03-23,阜新,49.92,0.57,25.38,66.84,48.69,28.17,23.69
2017-03-24,阜新,90.78,0.85,38.48,67.28,99.76,63.32,50.61
2017-03-25,阜新,109.8,0.93,41.31,68.97,118.64,81.83,41.83
2017-03-26,阜新,62.9,0.64,30.61,65.29,59.83,38.16,24.54
2017-03-27,阜新,91.63,0.79,34.14,67.17,97.1,65.16,29.48
2017-03-28,阜新,83.25,0.74,32.29,68.81,108.22,42.96,37.13
2017-03-29,阜新,72.78,0.73,29.48,76.55,84.89,41.96,38.97
2017-03-30,阜新,78.14,0.5,19.73,95.78,82.32,53.4,17.11
2017-03-31,阜新,54.62,0.5,25.0,82.47,53.5,32.51,17.37
2017-04-01,阜新,61.32,0.61,32.52,66.51,66.32,34.29,17.52
