time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,鞍山,226.24,1.85,56.02,37.14,253.92,172.68,87.55
2017-01-02,鞍山,113.07,1.7,40.89,42.82,139.02,80.54,42.53
2017-01-03,鞍山,126.53,1.78,54.6,46.85,148.97,90.49,61.64
2017-01-04,鞍山,126.68,2.44,58.73,30.05,152.28,94.61,61.67
2017-01-05,鞍山,149.02,2.12,76.47,18.64,173.43,113.43,113.99
2017-01-06,鞍山,119.93,2.12,62.04,30.05,150.63,88.21,85.81
2017-01-07,鞍山,227.41,2.56,74.12,15.77,266.63,177.57,85.36
2017-01-08,鞍山,242.28,2.12,69.48,23.32,255.88,192.59,75.83
2017-01-09,鞍山,72.96,1.35,45.06,39.44,78.18,48.49,60.1
2017-01-10,鞍山,47.12,1.18,36.83,46.35,51.73,26.04,59.32
2017-01-11,鞍山,120.68,2.61,77.14,18.57,149.65,88.54,112.94
2017-01-12,鞍山,101.08,1.97,57.92,28.18,122.46,72.73,84.2
2017-01-13,鞍山,72.65,1.11,40.46,39.54,92.14,35.1,54.57
2017-01-14,鞍山,57.55,1.08,34.06,40.09,68.59,29.58,51.01
2017-01-15,鞍山,110.6,1.74,57.75,23.84,138.35,79.37,93.57
2017-01-16,鞍山,131.6,2.09,73.33,21.49,157.97,97.52,99.71
2017-01-17,鞍山,198.52,3.04,79.83,18.95,237.9,150.56,130.26
2017-01-18,鞍山,212.01,2.62,66.39,24.1,238.33,158.99,70.87
2017-01-19,鞍山,132.78,1.79,55.18,24.57,146.01,100.3,85.36
2017-01-20,鞍山,61.09,0.93,32.95,44.75,70.46,37.57,42.57
2017-01-21,鞍山,67.45,0.99,29.48,52.02,84.43,31.81,39.58
2017-01-22,鞍山,73.97,0.91,27.12,48.81,92.72,38.43,29.61
2017-01-23,鞍山,109.43,1.67,56.31,25.31,138.29,80.09,66.27
2017-01-24,鞍山,127.17,2.48,66.31,22.9,159.41,93.15,101.35
2017-01-25,鞍山,115.0,1.88,48.51,48.83,140.41,85.5,67.0
2017-01-26,鞍山,120.61,1.17,25.91,76.38,169.16,76.59,47.49
2017-01-27,鞍山,64.42,1.05,26.3,58.51,80.02,33.35,53.23
2017-01-28,鞍山,73.84,0.78,20.44,63.61,79.81,52.37,38.5
2017-01-29,鞍山,66.8,0.91,21.91,55.76,72.2,40.83,39.18
2017-01-30,鞍山,57.98,1.09,30.28,45.35,65.96,32.1,46.37
2017-01-31,鞍山,63.16,1.59,35.27,53.12,68.89,42.66,56.96
2017-02-01,鞍山,53.48,0.98,23.3,61.35,58.37,29.42,41.38
2017-02-02,鞍山,101.42,2.13,45.34,46.38,115.43,73.24,63.55
2017-02-03,鞍山,137.75,1.96,41.67,69.23,155.55,104.33,56.83
2017-02-04,鞍山,163.04,1.44,30.6,86.51,177.5,123.6,45.19
2017-02-05,鞍山,124.35,1.49,31.61,50.2,137.17,92.21,36.65
2017-02-06,鞍山,47.23,0.93,26.44,52.91,50.51,25.71,37.09
2017-02-07,鞍山,112.44,1.83,60.45,21.79,132.9,82.68,72.88
