time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,重庆,170.32,1.34,62.28,8.4,180.05,128.84,31.2
2017-01-02,重庆,173.26,1.26,61.44,17.95,181.88,131.08,26.03
2017-01-03,重庆,199.35,1.67,71.47,10.53,207.9,152.61,21.23
2017-01-04,重庆,213.9,1.69,73.56,9.43,225.75,166.4,31.9
2017-01-05,重庆,189.92,1.4,62.87,12.12,197.54,146.21,19.68
2017-01-06,重庆,162.75,1.48,58.41,11.14,168.9,123.55,18.37
2017-01-07,重庆,136.5,1.38,57.9,10.05,140.54,103.12,18.83
2017-01-08,重庆,86.86,1.74,51.58,6.78,95.03,63.81,21.03
2017-01-09,重庆,77.21,1.61,49.8,9.49,78.45,56.26,14.41
2017-01-10,重庆,47.92,1.17,41.25,15.89,46.56,30.75,10.54
2017-01-11,重庆,28.89,0.78,33.79,15.47,25.77,18.53,8.92
2017-01-12,重庆,39.82,0.72,33.23,18.74,39.91,26.67,8.83
2017-01-13,重庆,67.94,0.98,45.71,14.17,68.7,48.54,11.27
2017-01-14,重庆,81.71,1.15,50.86,8.75,87.01,59.71,13.16
2017-01-15,重庆,89.87,1.15,53.24,14.61,96.24,66.3,16.94
2017-01-16,重庆,80.91,1.02,58.36,21.16,89.94,58.42,16.18
2017-01-17,重庆,104.31,1.18,57.57,21.76,112.81,78.23,18.64
2017-01-18,重庆,87.71,1.01,54.09,23.33,93.91,64.55,15.44
2017-01-19,重庆,92.76,1.04,59.39,23.75,102.02,68.72,15.65
2017-01-20,重庆,101.97,1.02,55.31,30.81,108.85,76.25,16.42
2017-01-21,重庆,156.34,1.26,55.56,23.66,156.95,118.58,17.52
2017-01-22,重庆,163.57,1.38,63.59,32.98,164.93,123.89,14.6
2017-01-23,重庆,166.54,1.39,68.58,17.62,167.86,126.74,18.68
2017-01-24,重庆,185.08,1.5,69.54,18.06,181.55,141.84,19.45
2017-01-25,重庆,105.82,1.14,50.65,37.44,105.11,79.27,12.29
2017-01-26,重庆,98.4,1.12,51.78,23.62,94.71,73.3,11.04
2017-01-27,重庆,161.67,1.25,37.29,27.66,154.95,122.63,18.58
2017-01-28,重庆,124.42,1.15,28.55,22.19,118.45,94.21,10.86
2017-01-29,重庆,52.62,1.0,22.41,31.94,48.43,35.86,6.42
2017-01-30,重庆,52.8,1.12,25.8,23.38,49.87,36.09,8.04
2017-01-31,重庆,77.85,1.05,22.45,45.1,84.99,56.0,11.04
2017-02-01,重庆,102.43,1.18,24.88,24.47,100.02,76.55,9.13
2017-02-02,重庆,52.25,1.17,24.77,27.32,46.26,36.14,9.23
2017-02-03,重庆,59.22,1.23,34.66,23.69,55.6,41.26,10.53
2017-02-04,重庆,69.97,1.41,44.42,32.42,67.88,50.31,10.61
2017-02-05,重庆,79.09,1.42,52.11,21.97,79.43,57.54,10.13
2017-02-06,重庆,104.25,1.47,52.03,14.51,107.1,77.99,13.52
2017-02-07,重庆,57.16,1.28,34.14,16.16,54.93,40.32,7.04
2017-02-08,重庆,42.16,1.13,33.95,43.67,40.56,27.3,8.15
2017-02-09,重庆,64.18,1.26,53.8,13.86,68.72,43.89,11.5
2017-02-10,重庆,88.39,1.35,55.07,14.03,94.76,64.94,13.19
2017-02-11,重庆,75.04,0.99,47.15,30.2,76.2,54.15,10.66
2017-02-12,重庆,83.47,1.0,54.21,42.22,88.89,60.82,13.62
2017-02-13,重庆,93.05,1.14,66.4,23.71,102.99,68.37,15.42
2017-02-14,重庆,160.91,1.34,59.85,13.46,160.16,121.62,22.31
2017-02-15,重庆,163.51,1.53,67.78,20.12,165.39,123.69,18.01
2017-02-16,重庆,126.44,1.25,56.36,36.13,128.24,95.4,13.87
2017-02-17,重庆,130.67,1.32,69.28,33.62,138.9,98.95,19.87
2017-02-18,重庆,150.0,1.3,56.44,25.1,151.24,113.54,17.38
2017-02-19,重庆,129.03,1.23,48.82,39.28,130.35,97.41,12.17
2017-02-20,重庆,109.7,1.31,53.99,19.04,115.37,82.41,12.88
2017-02-21,重庆,72.33,1.08,41.43,18.95,72.6,52.64,7.92
2017-02-22,重庆,42.12,0.65,36.9,37.91,39.68,25.39,8.07
2017-02-23,重庆,44.57,0.64,35.17,23.72,44.26,27.88,9.12
2017-02-24,重庆,35.68,0.73,36.83,16.58,31.94,22.96,9.2
2017-02-25,重庆,57.07,0.9,47.38,14.97,57.88,39.2,11.72
2017-02-26,重庆,65.07,0.98,52.1,22.75,71.91,44.91,14.82
2017-02-27,重庆,71.27,0.93,56.81,20.69,78.06,49.82,17.24
2017-02-28,重庆,71.87,0.96,61.85,32.31,82.33,50.11,16.56
2017-03-01,重庆,86.17,0.96,67.79,36.5,108.49,58.4,20.65
2017-03-02,重庆,95.78,1.03,73.27,22.79,138.86,60.69,20.7
2017-03-03,重庆,91.72,0.96,67.15,24.5,119.73,63.02,24.48
2017-03-04,重庆,103.49,1.0,66.86,29.07,130.89,76.37,22.64
2017-03-05,重庆,82.56,0.86,46.74,22.62,93.28,60.53,13.7
2017-03-06,重庆,46.87,0.74,47.8,26.47,44.97,31.12,8.5
2017-03-07,重庆,53.33,0.8,48.25,21.38,49.39,36.68,9.34
2017-03-08,重庆,54.56,0.8,43.5,34.16,51.35,37.39,10.62
2017-03-09,重庆,67.72,1.03,54.56,19.35,71.23,47.72,14.17
2017-03-10,重庆,99.31,1.22,63.14,12.11,111.84,73.8,19.66
2017-03-11,重庆,91.43,1.27,71.97,17.98,107.88,66.94,19.51
2017-03-12,重庆,80.11,1.11,57.27,16.15,84.34,58.07,14.53
2017-03-13,重庆,28.79,0.94,34.62,37.43,24.71,16.74,7.65
2017-03-14,重庆,29.5,1.03,35.48,33.4,26.71,17.99,8.27
2017-03-15,重庆,37.95,0.85,41.01,28.79,36.15,23.05,9.66
2017-03-16,重庆,53.18,0.97,51.18,24.93,56.41,33.5,14.23
2017-03-17,重庆,59.85,0.97,52.66,29.41,65.44,39.83,14.13
2017-03-18,重庆,65.42,0.98,51.7,38.06,72.34,44.73,16.54
2017-03-19,重庆,47.59,0.86,41.11,38.93,47.52,29.47,14.63
2017-03-20,重庆,68.13,1.04,51.76,44.68,75.94,46.71,18.95
2017-03-21,重庆,68.34,1.16,56.31,27.68,73.96,48.47,14.01
2017-03-22,重庆,44.71,0.91,35.13,39.45,43.63,28.0,11.03
2017-03-23,重庆,46.33,0.91,39.65,36.29,46.29,27.87,13.03
2017-03-24,重庆,35.12,0.83,33.89,28.44,32.47,21.71,8.6
2017-03-25,重庆,35.66,0.7,35.41,39.48,34.24,21.84,8.52
2017-03-26,重庆,53.78,0.77,44.99,45.92,58.76,30.12,11.28
2017-03-27,重庆,70.03,0.97,64.29,32.0,86.04,45.03,15.93
2017-03-28,重庆,86.11,1.07,66.98,46.68,111.7,58.25,21.98
2017-03-29,重庆,112.99,1.25,80.32,18.81,146.39,84.26,25.15
2017-03-30,重庆,66.92,0.9,43.48,28.05,70.19,46.84,12.56
2017-03-31,重庆,53.78,0.91,42.78,51.19,55.19,32.74,12.81
2017-04-01,重庆,58.79,0.89,61.58,59.77,65.68,30.9,16.84
2017-04-02,重庆,61.2,0.83,56.16,57.8,71.89,34.15,18.37
2017-04-03,重庆,61.24,0.78,45.81,41.99,67.56,38.98,15.25
2017-04-04,重庆,66.19,0.89,41.84,34.8,66.84,47.1,9.19
2017-04-05,重庆,67.93,0.94,45.54,26.75,68.11,48.36,10.02
2017-04-06,重庆,58.5,1.0,40.44,53.54,59.95,39.12,11.69
2017-04-07,重庆,65.81,1.06,54.44,49.77,76.64,42.36,16.45
2017-04-08,重庆,61.92,0.92,39.71,32.64,68.88,41.21,14.2
2017-04-09,重庆,52.56,0.97,35.54,16.34,53.34,35.0,11.11
2017-04-10,重庆,31.62,1.0,31.46,38.66,29.37,18.47,7.75
2017-04-11,重庆,43.35,1.04,45.84,35.01,43.65,25.3,12.86
2017-04-12,重庆,45.24,0.85,41.94,58.22,44.59,26.1,9.32
2017-04-13,重庆,60.45,0.89,53.2,69.29,66.45,33.85,14.42
2017-04-14,重庆,65.78,0.92,53.8,88.23,69.64,35.78,13.13
2017-04-15,重庆,73.93,1.0,55.83,84.25,88.72,48.55,19.5
2017-04-16,重庆,66.4,0.9,43.45,39.23,74.46,46.02,11.24
2017-04-17,重庆,56.2,0.75,44.89,40.68,62.87,32.71,13.72
2017-04-18,重庆,72.52,0.81,49.68,54.98,94.01,38.48,15.27
2017-04-19,重庆,72.74,0.85,52.15,75.76,92.16,39.53,15.98
2017-04-20,重庆,57.77,0.73,43.75,37.82,66.25,30.21,13.97
2017-04-21,重庆,47.49,0.68,33.69,39.33,48.64,29.2,8.13
2017-04-22,重庆,59.62,0.69,39.85,57.87,67.41,33.14,11.17
2017-04-23,重庆,73.83,0.86,53.16,83.84,91.53,40.26,16.72
2017-04-24,重庆,68.72,0.98,56.81,33.42,82.2,43.25,16.1
2017-04-25,重庆,40.88,0.83,37.61,28.1,39.42,24.58,7.59
2017-04-26,重庆,27.08,0.7,32.57,40.56,22.8,12.8,6.24
2017-04-27,重庆,33.0,0.73,30.12,63.81,29.16,18.57,6.37
2017-04-28,重庆,43.15,0.79,41.74,55.43,40.43,25.13,9.54
2017-04-29,重庆,54.85,0.9,50.09,62.99,56.4,29.85,11.79
2017-04-30,重庆,62.15,0.97,60.46,50.85,70.62,39.95,12.99
2017-05-01,重庆,74.64,0.98,48.13,85.27,82.9,48.2,16.06
2017-05-02,重庆,63.09,0.97,48.47,54.0,71.34,39.63,13.65
2017-05-03,重庆,34.99,0.72,30.04,55.7,32.65,16.12,8.67
2017-05-04,重庆,49.37,0.8,43.63,69.55,49.56,22.5,11.21
2017-05-05,重庆,47.7,0.78,41.95,49.99,49.72,25.2,8.16
2017-05-06,重庆,58.36,0.61,32.01,38.28,72.97,32.63,6.18
2017-05-07,重庆,66.24,0.69,38.7,32.19,81.08,41.22,7.45
2017-05-08,重庆,56.26,0.82,48.54,48.58,62.0,31.96,9.39
2017-05-09,重庆,62.05,0.93,50.73,68.14,71.97,35.46,13.52
2017-05-10,重庆,58.67,0.95,50.16,45.57,62.78,37.6,8.7
2017-05-11,重庆,58.57,0.83,40.2,45.04,58.28,39.0,8.13
2017-05-12,重庆,55.69,0.88,47.45,54.39,59.1,34.38,9.87
2017-05-13,重庆,57.82,0.8,47.46,81.58,56.6,28.31,12.01
2017-05-14,重庆,60.66,0.82,49.17,56.93,65.04,39.01,10.05
2017-05-15,重庆,67.8,0.89,46.16,63.0,75.56,45.89,11.67
2017-05-16,重庆,69.19,0.81,47.73,94.46,70.85,38.02,14.67
