time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,咸阳,400.86,3.34,105.53,9.32,420.72,361.73,41.74
2017-01-02,咸阳,369.82,3.26,101.34,23.77,394.22,329.25,34.7
2017-01-03,咸阳,474.23,4.09,128.62,13.05,540.79,469.46,27.27
2017-01-04,咸阳,490.94,4.32,133.22,9.07,605.2,521.83,42.68
2017-01-05,咸阳,459.4,4.47,92.56,7.4,551.42,461.38,51.46
2017-01-06,咸阳,136.32,2.83,52.22,11.06,158.93,111.57,21.22
2017-01-07,咸阳,99.37,2.09,53.17,9.38,103.25,73.25,20.68
2017-01-08,咸阳,138.28,1.92,66.78,20.08,142.74,104.49,22.86
2017-01-09,咸阳,136.58,1.81,73.13,12.55,145.89,102.52,31.93
2017-01-10,咸阳,84.19,1.27,37.78,30.41,78.29,58.65,21.05
2017-01-11,咸阳,68.18,1.15,44.4,34.39,73.79,44.06,19.48
2017-01-12,咸阳,99.81,1.5,59.05,27.89,114.22,66.03,23.43
2017-01-13,咸阳,151.79,2.04,77.21,18.38,168.53,113.11,31.58
2017-01-14,咸阳,164.33,2.19,71.25,21.12,182.11,125.39,43.27
2017-01-15,咸阳,169.74,1.97,66.58,14.38,170.7,129.78,36.36
2017-01-16,咸阳,321.26,2.88,79.45,9.22,322.85,272.74,30.5
2017-01-17,咸阳,338.85,2.94,85.47,11.16,342.1,292.43,29.81
2017-01-18,咸阳,304.96,2.6,85.38,14.15,309.02,257.17,37.59
2017-01-19,咸阳,157.9,1.26,43.66,44.28,175.11,104.23,18.97
2017-01-20,咸阳,68.94,0.99,38.27,38.74,74.95,36.42,23.23
2017-01-21,咸阳,112.64,1.33,64.95,25.43,135.54,79.89,26.27
2017-01-22,咸阳,162.69,1.7,79.34,26.7,182.9,124.44,38.08
2017-01-23,咸阳,216.2,2.09,80.09,29.49,214.85,172.57,50.4
2017-01-24,咸阳,321.89,2.84,79.48,16.58,323.7,274.26,51.5
2017-01-25,咸阳,374.75,2.95,69.88,38.55,383.54,329.23,41.16
2017-01-26,咸阳,408.73,2.55,56.92,26.19,519.16,309.92,21.59
2017-01-27,咸阳,166.22,1.24,34.98,44.22,253.72,84.84,32.36
2017-01-28,咸阳,208.7,1.68,34.39,39.99,222.43,162.38,42.51
2017-01-29,咸阳,150.68,1.36,30.79,41.71,196.38,96.23,21.13
2017-01-30,咸阳,100.45,1.3,23.39,48.66,133.55,56.61,33.34
2017-01-31,咸阳,130.15,1.53,34.11,33.0,145.55,98.99,25.05
2017-02-01,咸阳,231.89,2.26,41.43,32.25,233.92,183.03,30.33
2017-02-02,咸阳,164.58,1.84,32.9,50.5,162.07,124.03,31.94
2017-02-03,咸阳,249.59,2.31,57.81,37.79,236.69,199.91,29.49
2017-02-04,咸阳,314.2,2.56,64.63,45.33,309.18,264.73,26.41
2017-02-05,咸阳,299.23,2.77,74.91,44.8,302.77,250.46,43.81
2017-02-06,咸阳,279.0,2.31,46.35,48.06,294.26,230.7,30.31
2017-02-07,咸阳,156.91,1.62,36.78,31.25,146.14,118.8,17.9
2017-02-08,咸阳,58.7,1.02,27.83,47.3,54.8,30.83,12.18
2017-02-09,咸阳,60.39,1.14,43.33,41.36,55.07,39.77,17.99
2017-02-10,咸阳,87.92,1.18,55.72,35.78,80.11,63.8,26.33
2017-02-11,咸阳,175.96,1.5,67.7,44.84,158.52,136.47,27.78
2017-02-12,咸阳,210.63,1.65,78.34,38.58,211.91,164.42,38.08
2017-02-13,咸阳,243.51,2.19,83.97,35.64,221.55,195.76,55.01
2017-02-14,咸阳,293.23,2.26,85.79,45.69,286.8,243.25,46.67
2017-02-15,咸阳,312.86,2.27,93.44,44.67,303.78,262.9,36.62
2017-02-16,咸阳,229.54,2.04,72.4,37.79,242.92,187.88,23.28
2017-02-17,咸阳,139.32,1.52,62.6,43.19,201.15,96.83,36.25
2017-02-18,咸阳,218.96,2.06,90.17,29.31,257.82,170.02,41.9
2017-02-19,咸阳,268.38,2.29,95.24,42.75,301.65,218.49,31.99
2017-02-20,咸阳,231.25,1.58,49.11,44.58,326.75,102.8,27.65
2017-02-21,咸阳,92.53,1.32,30.67,40.66,97.45,53.99,13.9
2017-02-22,咸阳,114.62,1.55,46.8,30.87,136.52,72.43,17.2
2017-02-23,咸阳,72.65,0.95,47.99,46.2,94.05,29.71,20.02
2017-02-24,咸阳,98.38,1.22,68.85,30.42,113.0,68.55,23.6
2017-02-25,咸阳,126.28,1.41,74.48,30.36,146.45,91.34,25.3
2017-02-26,咸阳,147.0,1.45,78.76,30.42,157.15,112.44,28.41
2017-02-27,咸阳,143.55,1.49,85.48,27.8,157.53,109.43,34.09
2017-02-28,咸阳,170.01,1.54,66.68,26.2,185.13,127.38,24.27
2017-03-01,咸阳,79.84,0.85,31.5,63.78,102.67,28.75,12.96
2017-03-02,咸阳,72.1,1.12,53.08,40.33,82.77,41.21,26.99
2017-03-03,咸阳,125.48,1.33,71.11,29.72,158.08,84.61,26.42
2017-03-04,咸阳,146.38,1.51,78.9,46.11,188.52,108.25,51.64
2017-03-05,咸阳,172.94,1.61,82.96,27.05,204.71,128.52,36.71
2017-03-06,咸阳,63.62,0.93,52.32,47.21,77.66,31.01,21.75
2017-03-07,咸阳,101.91,1.25,69.76,30.72,131.48,69.11,29.17
2017-03-08,咸阳,80.12,1.07,55.22,45.55,104.72,43.78,31.76
2017-03-09,咸阳,82.3,1.2,58.6,47.97,106.02,53.07,35.95
2017-03-10,咸阳,130.91,1.72,80.91,26.81,164.32,94.62,57.53
2017-03-11,咸阳,172.53,1.54,63.88,27.54,182.81,131.88,32.81
2017-03-12,咸阳,116.28,1.27,46.43,28.48,80.44,86.98,14.29
2017-03-13,咸阳,49.54,0.89,24.58,60.04,36.41,34.75,8.39
2017-03-14,咸阳,104.16,1.13,41.96,33.57,86.43,78.02,21.21
2017-03-15,咸阳,98.01,1.12,40.58,40.75,87.41,72.84,14.53
2017-03-16,咸阳,119.51,1.12,45.98,51.95,99.06,90.17,17.79
2017-03-17,咸阳,126.38,1.32,53.68,35.33,115.93,95.6,15.57
2017-03-18,咸阳,175.09,1.67,74.16,26.73,166.67,133.15,24.54
2017-03-19,咸阳,153.88,1.37,54.22,52.97,157.44,118.58,17.72
2017-03-20,咸阳,137.96,1.13,54.51,66.27,119.57,104.81,17.95
2017-03-21,咸阳,146.91,1.27,58.93,46.26,137.21,109.51,19.57
2017-03-22,咸阳,86.96,0.96,33.39,87.12,70.64,63.44,13.6
2017-03-23,咸阳,114.43,1.14,38.24,46.25,99.69,85.79,12.45
2017-03-24,咸阳,122.26,1.18,48.74,37.52,157.06,60.73,16.21
2017-03-25,咸阳,82.46,0.77,42.16,66.13,114.07,30.47,15.24
2017-03-26,咸阳,78.61,0.86,59.68,53.1,106.57,36.25,16.9
2017-03-27,咸阳,105.02,1.12,76.78,44.66,155.66,64.78,37.68
2017-03-28,咸阳,118.18,1.18,75.93,46.97,163.18,73.07,29.77
2017-03-29,咸阳,165.41,1.23,70.46,38.56,182.91,119.02,30.88
2017-03-30,咸阳,67.04,1.03,46.87,45.68,80.43,42.24,14.67
2017-03-31,咸阳,74.92,1.1,59.31,45.85,95.19,37.5,15.67
2017-04-01,咸阳,76.11,1.23,66.94,54.26,101.59,42.49,27.1
2017-04-02,咸阳,94.16,1.53,82.5,46.05,127.0,61.33,44.98
2017-04-03,咸阳,118.22,1.55,66.1,37.64,141.21,88.16,25.45
2017-04-04,咸阳,103.8,1.19,42.97,64.13,100.27,77.66,16.35
2017-04-05,咸阳,133.09,1.48,44.72,49.72,125.91,100.64,16.4
2017-04-06,咸阳,119.47,1.36,49.13,69.33,128.5,88.98,19.99
2017-04-07,咸阳,148.7,1.47,51.49,48.62,151.33,112.57,19.18
2017-04-08,咸阳,90.26,1.2,47.77,30.32,79.38,57.58,13.28
2017-04-09,咸阳,42.8,1.11,34.4,50.28,35.75,29.02,9.01
2017-04-10,咸阳,63.91,1.27,38.72,38.45,54.56,45.79,11.61
2017-04-11,咸阳,72.08,1.31,46.78,51.31,71.21,46.2,16.69
2017-04-12,咸阳,66.29,1.14,59.0,57.23,81.23,32.73,18.16
2017-04-13,咸阳,62.66,1.03,47.18,70.38,77.7,25.06,14.17
