time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,商洛,110.34,1.48,49.87,22.37,107.81,82.87,30.08
2017-01-02,商洛,78.0,1.21,39.15,39.17,76.33,55.45,13.53
2017-01-03,商洛,63.54,1.23,44.81,26.81,68.53,44.46,21.29
2017-01-04,商洛,85.9,1.53,45.67,15.71,78.86,63.42,27.1
2017-01-05,商洛,148.79,1.83,46.21,21.48,138.65,112.88,29.0
2017-01-06,商洛,37.67,3.08,28.42,18.75,28.06,24.02,7.71
2017-01-07,商洛,51.65,1.95,22.67,37.3,53.15,35.48,10.72
2017-01-08,商洛,52.3,1.34,24.65,43.35,50.7,34.35,9.91
2017-01-09,商洛,59.22,1.27,29.57,42.26,56.27,40.91,9.35
2017-01-10,商洛,59.44,1.16,20.76,55.79,53.33,41.84,9.88
2017-01-11,商洛,52.04,0.71,19.54,55.88,48.68,34.12,9.12
2017-01-12,商洛,53.68,0.68,23.61,54.03,59.81,26.1,8.3
2017-01-13,商洛,49.73,0.78,38.92,34.75,54.7,29.67,12.04
2017-01-14,商洛,59.94,0.95,38.38,40.81,63.77,41.42,19.23
2017-01-15,商洛,124.79,1.34,46.29,42.35,112.17,94.25,30.9
2017-01-16,商洛,137.12,1.35,42.06,34.42,126.34,104.17,19.25
2017-01-17,商洛,113.58,1.28,42.58,37.46,112.95,85.46,18.77
2017-01-18,商洛,122.67,1.14,40.96,34.19,123.14,90.27,24.06
2017-01-19,商洛,121.92,0.7,33.25,62.08,136.36,75.73,18.48
2017-01-20,商洛,62.58,0.47,32.42,50.75,80.77,30.85,20.92
2017-01-21,商洛,58.5,0.53,34.06,44.54,66.77,34.92,12.27
2017-01-22,商洛,51.4,0.64,35.83,40.29,55.04,30.85,24.06
2017-01-23,商洛,67.02,0.69,33.85,58.88,69.0,47.98,13.9
2017-01-24,商洛,119.4,0.95,36.62,66.77,114.54,90.23,15.79
2017-01-25,商洛,109.83,0.95,34.31,80.4,107.21,82.5,23.04
2017-01-26,商洛,160.53,0.86,23.71,52.03,198.74,90.5,15.21
2017-01-27,商洛,137.06,0.84,15.94,53.98,199.08,78.77,53.33
2017-01-28,商洛,134.84,1.08,17.29,64.8,138.73,102.24,32.98
2017-01-29,商洛,86.37,0.55,8.43,74.46,120.5,39.43,10.76
2017-01-30,商洛,88.12,0.82,12.81,54.46,110.45,59.25,11.06
2017-01-31,商洛,103.73,1.0,21.42,57.17,110.77,77.69,20.79
2017-02-01,商洛,97.79,1.19,17.35,51.5,99.38,72.65,9.4
2017-02-02,商洛,94.79,1.09,21.38,88.71,94.15,70.52,21.17
2017-02-03,商洛,92.44,1.11,23.67,58.6,89.89,68.54,20.02
2017-02-04,商洛,87.2,1.25,29.96,41.85,86.98,64.15,18.11
2017-02-05,商洛,73.77,1.12,26.04,51.02,68.93,53.56,28.6
2017-02-06,商洛,128.38,1.41,25.7,79.38,120.27,97.17,26.32
2017-02-07,商洛,100.02,1.27,27.17,59.13,90.85,74.28,24.52
2017-02-08,商洛,39.35,0.79,18.42,59.88,38.6,22.92,5.52
2017-02-09,商洛,41.69,0.76,24.23,57.12,40.0,24.15,9.6
2017-02-10,商洛,39.21,0.74,26.08,61.46,37.23,22.69,7.79
2017-02-11,商洛,45.15,0.76,26.91,57.3,49.02,26.41,10.46
2017-02-12,商洛,77.96,0.92,34.02,41.62,88.76,51.1,15.06
2017-02-13,商洛,63.15,0.96,32.78,45.8,63.9,43.54,32.96
2017-02-14,商洛,88.46,1.12,39.69,66.58,96.09,61.38,45.06
2017-02-15,商洛,76.83,1.11,39.9,43.04,80.8,53.4,32.0
2017-02-16,商洛,78.79,1.06,35.21,48.71,98.25,51.73,21.94
2017-02-17,商洛,103.49,1.3,41.84,48.19,131.16,74.02,24.98
2017-02-18,商洛,131.31,1.62,48.04,49.48,157.48,96.62,29.54
2017-02-19,商洛,95.98,1.34,48.27,47.83,114.44,65.75,40.9
2017-02-20,商洛,101.09,1.29,36.59,39.09,107.41,70.93,16.75
2017-02-21,商洛,49.42,1.18,14.77,67.44,51.0,25.19,11.58
2017-02-22,商洛,58.0,1.21,16.02,72.79,65.92,22.79,7.48
2017-02-23,商洛,51.06,1.21,30.42,54.77,54.23,20.9,11.92
2017-02-24,商洛,45.4,1.04,29.4,56.54,46.23,21.79,7.96
2017-02-25,商洛,50.65,0.74,36.44,52.54,53.78,29.12,9.33
2017-02-26,商洛,47.81,0.71,36.33,53.71,50.3,26.88,9.69
2017-02-27,商洛,57.5,0.9,39.31,46.29,64.65,32.77,30.23
2017-02-28,商洛,66.4,0.82,38.9,43.54,80.32,40.0,12.88
2017-03-01,商洛,84.65,0.63,21.88,72.56,113.9,23.98,6.98
2017-03-02,商洛,45.17,0.77,30.54,57.76,46.63,20.74,17.59
2017-03-03,商洛,55.52,0.75,37.81,57.69,65.65,24.46,21.71
2017-03-04,商洛,68.42,0.73,38.08,63.71,86.4,32.17,20.08
2017-03-05,商洛,85.31,0.95,42.65,56.5,102.52,57.5,21.85
2017-03-06,商洛,53.9,0.72,29.77,60.69,60.52,24.0,9.96
2017-03-07,商洛,47.38,0.69,34.58,57.42,52.51,19.12,9.48
2017-03-08,商洛,56.45,0.52,34.52,64.31,64.93,30.19,12.24
2017-03-09,商洛,56.07,0.84,29.7,77.26,57.36,36.41,20.04
2017-03-10,商洛,77.08,1.05,33.21,78.75,73.29,56.33,23.75
2017-03-11,商洛,89.95,0.88,31.21,78.77,81.33,66.69,9.13
2017-03-12,商洛,110.46,1.08,28.33,59.65,112.0,83.04,10.92
2017-03-13,商洛,38.92,0.67,14.85,70.75,24.8,27.02,3.94
2017-03-14,商洛,42.76,0.53,17.2,59.33,29.58,29.52,10.48
2017-03-15,商洛,38.5,0.62,23.89,65.26,37.16,22.09,9.96
2017-03-16,商洛,41.85,0.7,25.55,67.04,40.98,26.09,18.28
2017-03-17,商洛,50.07,0.79,30.61,43.33,55.11,28.43,19.69
2017-03-18,商洛,55.31,0.81,23.88,60.85,56.94,37.21,24.52
2017-03-19,商洛,67.85,0.85,27.88,89.73,78.29,48.4,24.71
2017-03-20,商洛,54.46,0.78,25.9,59.5,59.17,33.77,5.62
2017-03-21,商洛,70.27,0.76,27.52,52.71,74.44,48.38,15.21
2017-03-22,商洛,57.9,0.7,32.0,74.75,44.95,39.9,9.69
2017-03-23,商洛,34.15,0.8,25.67,67.65,31.05,19.79,10.62
2017-03-24,商洛,110.07,0.48,22.0,72.65,175.38,35.46,4.41
2017-03-25,商洛,80.23,0.35,25.36,64.84,110.02,32.23,4.55
2017-03-26,商洛,60.88,0.35,29.0,63.54,72.5,24.83,3.96
2017-03-27,商洛,55.8,0.44,28.24,63.7,62.93,23.39,20.0
2017-03-28,商洛,70.65,0.51,29.29,81.38,90.81,34.58,12.17
2017-03-29,商洛,79.94,0.71,30.6,97.12,102.42,54.33,20.44
2017-03-30,商洛,48.26,0.65,20.93,65.04,44.6,32.43,2.98
2017-03-31,商洛,44.23,0.53,23.69,63.65,45.8,22.38,3.48
2017-04-01,商洛,46.09,0.5,26.59,68.89,46.8,22.83,5.93
2017-04-02,商洛,42.44,0.54,26.08,74.48,43.96,18.75,19.96
2017-04-03,商洛,59.41,0.88,30.65,73.48,52.86,41.89,32.72
2017-04-04,商洛,45.96,0.83,21.85,86.5,39.76,30.07,13.61
2017-04-05,商洛,45.35,0.93,27.52,37.25,43.5,28.23,17.98
2017-04-06,商洛,37.88,0.8,18.9,62.17,37.31,19.73,22.41
2017-04-07,商洛,55.38,0.91,28.03,68.28,56.52,37.38,26.28
2017-04-08,商洛,37.58,0.76,22.92,55.92,36.26,21.31,6.0
2017-04-09,商洛,18.9,0.92,18.83,53.46,11.82,10.0,2.81
2017-04-10,商洛,24.92,0.83,15.48,67.46,19.76,12.17,2.71
2017-04-11,商洛,34.81,0.8,26.79,52.92,35.04,15.75,4.6
2017-04-12,商洛,42.15,0.77,31.4,54.19,44.31,18.77,11.08
2017-04-13,商洛,56.58,0.78,33.83,49.23,68.06,25.1,17.42
2017-04-14,商洛,55.76,0.97,31.52,56.29,62.69,27.12,7.33
2017-04-15,商洛,65.25,1.06,31.33,69.0,79.96,36.21,9.06
2017-04-16,商洛,38.1,0.94,20.46,66.6,40.08,20.27,4.69
2017-04-17,商洛,78.46,1.03,28.12,52.44,104.3,32.81,16.33
2017-04-18,商洛,246.15,0.77,30.43,62.76,347.26,99.41,10.59
2017-04-19,商洛,129.93,0.6,20.05,71.2,202.51,68.76,6.42
2017-04-20,商洛,65.06,0.58,21.17,77.23,82.58,25.75,4.92
2017-04-21,商洛,72.48,0.51,18.21,83.54,98.54,28.85,4.92
2017-04-22,商洛,47.1,0.61,28.05,67.76,52.79,15.55,19.9
2017-04-23,商洛,68.69,0.8,41.29,57.69,76.92,40.79,27.0
2017-04-24,商洛,58.31,0.73,29.83,74.27,66.19,32.67,30.35
2017-04-25,商洛,67.79,0.74,23.6,102.79,81.81,44.69,21.15
2017-04-26,商洛,82.5,0.9,24.5,78.15,91.73,58.56,18.06
2017-04-27,商洛,60.93,0.72,29.0,71.19,63.93,34.93,7.88
2017-04-28,商洛,51.4,0.58,33.02,78.02,56.22,18.78,6.2
2017-04-29,商洛,50.72,0.62,34.67,75.54,55.15,20.22,13.27
2017-04-30,商洛,50.88,0.57,28.98,79.05,55.2,24.98,20.83
2017-05-01,商洛,60.8,0.66,20.17,108.96,68.91,37.35,30.09
2017-05-02,商洛,58.62,0.75,14.58,131.55,58.79,33.58,42.15
2017-05-03,商洛,41.23,0.6,12.54,99.54,31.42,18.92,14.85
2017-05-04,商洛,86.42,0.53,20.38,62.85,122.44,35.33,8.58
2017-05-05,商洛,263.48,0.51,23.06,62.33,415.17,129.69,4.96
2017-05-06,商洛,268.59,0.55,26.38,65.15,356.85,142.18,10.79
