time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,安康,172.62,2.18,40.52,11.04,164.7,131.32,29.21
2017-01-02,安康,139.82,2.11,37.08,13.0,138.2,105.88,22.68
2017-01-03,安康,76.16,1.57,26.97,21.47,74.27,57.05,17.72
2017-01-04,安康,94.83,1.82,29.72,12.93,92.81,70.49,22.85
2017-01-05,安康,90.82,2.0,26.71,21.86,88.84,66.33,16.92
2017-01-06,安康,23.15,1.92,18.11,62.36,15.8,10.17,9.03
2017-01-07,安康,37.57,1.87,26.84,31.45,37.86,23.58,13.59
2017-01-08,安康,62.71,2.09,24.12,21.26,61.66,44.14,17.49
2017-01-09,安康,83.46,2.12,30.96,18.25,90.14,60.74,20.45
2017-01-10,安康,52.82,1.23,21.25,48.88,48.9,37.11,13.36
2017-01-11,安康,52.42,1.0,18.15,39.53,49.03,36.12,13.53
2017-01-12,安康,56.28,0.95,17.74,39.87,57.45,37.65,16.77
2017-01-13,安康,70.33,1.07,26.5,34.93,77.84,48.5,19.31
2017-01-14,安康,85.96,1.17,27.13,36.23,92.2,62.71,21.42
2017-01-15,安康,107.29,1.29,27.33,71.0,119.35,80.43,22.29
2017-01-16,安康,133.86,1.62,40.92,30.39,148.04,101.57,30.21
2017-01-17,安康,121.33,1.58,38.93,28.71,133.75,91.53,27.25
2017-01-18,安康,120.26,1.41,31.13,41.3,124.54,90.81,28.64
2017-01-19,安康,122.6,1.39,36.88,49.4,141.04,91.1,25.28
2017-01-20,安康,90.32,1.15,27.47,52.11,113.47,59.71,22.97
2017-01-21,安康,94.33,1.36,33.42,53.12,115.86,69.29,29.39
2017-01-22,安康,94.1,1.41,28.14,51.14,103.22,69.76,23.76
2017-01-23,安康,110.06,1.67,33.14,46.18,117.57,82.64,29.33
2017-01-24,安康,142.55,1.55,26.92,52.92,132.47,107.93,25.39
2017-01-25,安康,146.71,1.53,24.12,49.26,140.38,111.12,20.14
2017-01-26,安康,155.18,1.73,21.57,18.47,146.93,118.65,18.12
