time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,宝鸡,265.77,2.52,74.65,12.16,276.31,217.2,23.46
2017-01-02,宝鸡,159.89,1.83,54.09,31.66,152.51,123.82,25.11
2017-01-03,宝鸡,165.11,1.81,57.23,31.28,167.41,127.07,21.89
2017-01-04,宝鸡,267.28,2.33,72.25,25.81,268.32,220.13,23.26
2017-01-05,宝鸡,384.93,3.32,75.87,12.94,424.15,343.49,33.04
2017-01-06,宝鸡,225.16,3.26,61.42,10.38,266.23,193.84,17.03
2017-01-07,宝鸡,69.18,1.56,40.34,32.24,66.43,48.21,12.88
2017-01-08,宝鸡,72.86,1.22,44.78,35.43,73.62,51.21,16.89
2017-01-09,宝鸡,80.9,1.28,48.08,27.26,85.96,58.4,18.38
2017-01-10,宝鸡,53.52,0.94,34.69,46.88,53.75,34.39,16.69
2017-01-11,宝鸡,53.12,0.87,32.97,49.88,51.22,33.96,11.08
2017-01-12,宝鸡,69.57,1.21,45.33,37.79,72.45,46.59,20.66
2017-01-13,宝鸡,77.78,1.26,48.11,36.76,83.13,54.61,21.1
2017-01-14,宝鸡,132.68,1.64,60.9,27.99,143.88,101.02,26.99
2017-01-15,宝鸡,205.36,2.03,65.39,23.17,213.51,158.96,28.77
2017-01-16,宝鸡,196.15,2.0,61.34,21.85,203.78,152.16,21.9
2017-01-17,宝鸡,113.99,1.51,51.73,35.57,120.87,85.08,26.53
2017-01-18,宝鸡,221.62,1.96,63.86,38.01,228.26,173.65,27.62
2017-01-19,宝鸡,118.82,1.05,38.38,56.58,145.64,68.33,12.78
2017-01-20,宝鸡,75.0,1.02,40.93,34.6,90.18,48.23,18.73
2017-01-21,宝鸡,95.37,1.37,44.09,35.62,106.41,69.27,22.68
2017-01-22,宝鸡,116.22,1.47,51.73,45.66,131.77,87.17,22.82
2017-01-23,宝鸡,153.17,1.8,56.68,51.35,159.0,118.38,29.09
2017-01-24,宝鸡,241.91,2.51,68.11,35.32,242.45,193.18,42.35
2017-01-25,宝鸡,345.89,3.11,67.34,40.39,350.69,300.92,30.71
2017-01-26,宝鸡,323.34,2.56,62.34,39.4,400.34,234.2,23.56
2017-01-27,宝鸡,133.65,1.29,31.5,55.15,199.26,80.42,21.27
2017-01-28,宝鸡,228.81,1.91,40.93,38.86,256.2,185.53,35.34
2017-01-29,宝鸡,92.28,0.98,23.22,62.91,118.31,51.05,12.32
2017-01-30,宝鸡,75.79,1.07,20.17,57.53,95.98,42.04,22.63
2017-01-31,宝鸡,121.55,1.55,32.78,49.22,133.98,91.36,29.7
2017-02-01,宝鸡,181.79,2.02,34.5,55.42,189.82,139.73,26.32
2017-02-02,宝鸡,199.76,1.95,33.09,64.53,193.86,153.94,27.21
2017-02-03,宝鸡,218.26,2.09,44.09,57.81,196.87,170.6,20.1
2017-02-04,宝鸡,153.35,1.9,44.83,44.01,146.31,117.54,21.15
2017-02-05,宝鸡,215.15,2.16,53.7,53.01,194.98,168.6,25.97
2017-02-06,宝鸡,290.0,2.71,56.9,34.78,280.27,240.08,25.16
2017-02-07,宝鸡,151.31,1.48,33.09,42.12,131.94,112.2,9.45
2017-02-08,宝鸡,58.7,0.75,22.58,62.37,63.25,27.81,8.46
2017-02-09,宝鸡,70.8,1.05,34.24,42.15,68.46,49.05,15.16
2017-02-10,宝鸡,98.62,1.17,42.36,43.05,95.54,73.43,14.54
2017-02-11,宝鸡,113.14,1.18,41.94,51.44,112.89,84.88,19.75
2017-02-12,宝鸡,163.8,1.4,47.27,51.11,151.57,126.24,21.3
2017-02-13,宝鸡,166.62,1.78,59.98,49.18,158.55,129.15,32.88
2017-02-14,宝鸡,210.32,2.13,68.3,56.84,211.29,163.94,37.34
2017-02-15,宝鸡,246.97,2.07,68.3,56.77,243.83,196.51,25.25
2017-02-16,宝鸡,130.84,1.35,50.01,56.37,153.32,88.09,12.63
2017-02-17,宝鸡,109.6,1.1,47.21,47.72,155.9,61.99,16.15
2017-02-18,宝鸡,142.8,1.52,60.4,45.79,176.41,107.74,25.57
2017-02-19,宝鸡,166.43,1.88,72.42,44.15,199.05,124.35,20.22
2017-02-20,宝鸡,169.83,1.61,54.07,34.39,235.88,108.27,18.32
2017-02-21,宝鸡,90.94,0.98,32.9,45.29,110.01,55.9,8.02
2017-02-22,宝鸡,74.69,0.97,31.75,50.92,92.42,43.02,12.42
2017-02-23,宝鸡,68.69,0.98,43.6,43.11,78.77,41.41,14.72
2017-02-24,宝鸡,75.61,1.02,41.62,49.49,87.54,51.23,15.87
2017-02-25,宝鸡,84.41,1.09,48.26,50.6,92.75,60.04,17.99
2017-02-26,宝鸡,103.44,1.16,52.1,55.82,109.94,76.71,15.19
2017-02-27,宝鸡,111.32,1.22,56.82,52.39,114.96,83.56,19.65
2017-02-28,宝鸡,99.86,1.34,53.72,38.03,108.66,70.39,21.05
2017-03-01,宝鸡,69.62,0.88,38.0,54.16,87.29,33.74,11.54
2017-03-02,宝鸡,72.78,1.01,48.39,40.05,87.08,43.72,17.48
2017-03-03,宝鸡,81.64,1.03,48.62,50.24,104.2,50.31,22.67
2017-03-04,宝鸡,98.81,1.11,55.29,57.26,123.94,67.47,27.66
2017-03-05,宝鸡,80.19,0.92,44.98,62.23,99.07,48.58,17.1
2017-03-06,宝鸡,64.18,0.94,45.93,43.28,75.67,35.26,18.09
2017-03-07,宝鸡,67.85,1.02,45.41,48.61,79.72,41.98,22.72
2017-03-08,宝鸡,73.9,1.01,44.47,54.22,87.32,49.13,23.48
2017-03-09,宝鸡,85.01,1.08,45.84,55.23,97.5,60.11,27.28
2017-03-10,宝鸡,100.58,1.23,57.61,43.55,118.02,73.14,27.73
2017-03-11,宝鸡,107.34,1.16,43.06,37.11,100.87,80.51,11.38
2017-03-12,宝鸡,38.06,0.85,28.34,54.53,30.16,25.38,4.92
2017-03-13,宝鸡,42.69,0.89,27.18,50.38,32.28,29.64,5.07
2017-03-14,宝鸡,76.27,0.88,32.52,42.66,60.43,55.71,6.49
2017-03-15,宝鸡,88.19,0.95,39.06,34.28,73.7,65.25,6.72
2017-03-16,宝鸡,92.68,0.92,31.42,44.7,77.85,68.85,4.84
2017-03-17,宝鸡,69.82,0.98,34.93,58.6,65.6,49.59,8.39
2017-03-18,宝鸡,94.62,1.19,47.18,36.77,98.03,69.24,15.19
2017-03-19,宝鸡,128.18,1.32,53.62,22.2,121.69,96.87,8.96
2017-03-20,宝鸡,126.09,1.27,45.68,31.55,115.23,95.29,8.13
2017-03-21,宝鸡,146.24,1.36,45.75,29.81,139.11,111.0,12.03
2017-03-22,宝鸡,117.32,1.13,37.68,46.65,107.51,88.14,8.71
2017-03-23,宝鸡,94.61,1.05,36.33,41.42,86.43,69.19,6.61
2017-03-24,宝鸡,111.52,0.82,35.7,44.79,162.4,48.59,15.09
2017-03-25,宝鸡,76.01,0.74,38.05,49.01,98.48,38.96,16.84
2017-03-26,宝鸡,78.43,0.7,36.98,52.81,104.07,38.82,9.58
2017-03-27,宝鸡,96.7,0.91,47.8,48.14,126.41,64.09,12.28
2017-03-28,宝鸡,109.05,0.99,47.18,52.66,152.62,70.14,13.38
2017-03-29,宝鸡,126.17,1.21,63.79,24.02,164.06,89.65,16.86
2017-03-30,宝鸡,52.8,0.77,29.61,66.19,49.99,31.72,6.16
2017-03-31,宝鸡,53.79,0.74,32.55,61.21,57.09,26.9,7.32
2017-04-01,宝鸡,59.07,0.76,37.79,63.75,66.46,31.53,9.72
2017-04-02,宝鸡,74.54,0.92,50.09,52.89,87.95,49.66,13.78
2017-04-03,宝鸡,55.89,0.95,39.88,47.49,50.61,37.95,6.88
