time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,榆林,87.61,1.94,68.21,17.51,97.88,59.74,42.71
2017-01-02,榆林,74.04,2.22,69.89,24.51,83.23,49.08,46.92
2017-01-03,榆林,109.09,2.71,84.52,18.82,136.68,79.85,61.38
2017-01-04,榆林,105.58,2.39,80.98,26.46,122.74,78.93,53.06
2017-01-05,榆林,126.2,2.64,70.58,36.86,128.0,95.47,48.34
2017-01-06,榆林,82.75,1.84,38.69,44.47,87.33,59.43,28.98
2017-01-07,榆林,34.39,1.1,36.47,49.1,34.57,14.13,23.0
2017-01-08,榆林,36.98,1.2,46.83,35.23,35.94,16.89,21.4
2017-01-09,榆林,41.87,1.31,49.66,31.38,43.13,20.04,27.23
2017-01-10,榆林,42.89,1.53,47.36,35.48,43.92,23.51,32.83
2017-01-11,榆林,70.68,1.69,54.93,34.16,86.19,38.97,41.15
2017-01-12,榆林,65.24,1.45,51.05,36.01,78.93,30.38,36.92
2017-01-13,榆林,61.98,1.63,64.5,23.83,71.12,34.73,38.68
2017-01-14,榆林,81.43,2.13,69.61,18.74,99.6,55.74,50.35
2017-01-15,榆林,117.02,2.46,70.64,20.24,130.88,87.58,66.93
2017-01-16,榆林,76.5,1.65,52.39,35.84,83.93,52.14,32.7
2017-01-17,榆林,62.24,1.76,61.19,32.4,71.97,36.97,36.22
2017-01-18,榆林,67.77,1.8,63.78,24.56,83.46,41.05,39.42
2017-01-19,榆林,54.21,0.95,26.19,64.88,63.16,17.36,14.97
2017-01-20,榆林,56.51,1.44,54.55,27.83,61.95,32.61,34.95
2017-01-21,榆林,52.55,1.26,45.96,46.92,56.14,26.24,33.92
2017-01-22,榆林,79.16,2.24,68.84,25.49,92.85,51.66,61.59
2017-01-23,榆林,91.07,2.31,70.99,26.42,107.05,64.05,67.19
2017-01-24,榆林,89.95,2.17,68.64,28.1,99.7,65.42,63.44
2017-01-25,榆林,138.57,2.43,61.55,51.05,138.69,105.23,53.45
2017-01-26,榆林,275.46,1.03,23.41,69.04,422.16,62.25,15.34
2017-01-27,榆林,77.32,1.26,33.95,49.49,101.94,39.93,27.91
2017-01-28,榆林,125.15,1.41,25.64,69.43,167.43,77.78,28.85
2017-01-29,榆林,58.87,0.88,13.01,71.85,73.66,15.49,17.51
2017-01-30,榆林,44.67,1.22,27.65,46.17,45.42,23.25,23.67
2017-01-31,榆林,62.73,1.48,38.74,40.29,72.53,32.34,32.65
2017-02-01,榆林,66.56,1.61,42.44,45.48,76.41,40.56,42.4
2017-02-02,榆林,120.28,1.93,40.72,68.28,124.12,90.9,46.07
2017-02-03,榆林,139.03,2.51,63.64,34.44,137.83,104.85,46.38
2017-02-04,榆林,69.43,1.66,52.37,50.82,83.02,46.53,35.01
2017-02-05,榆林,59.94,1.47,53.97,41.9,66.92,35.94,29.49
2017-02-06,榆林,103.99,2.06,61.08,55.7,121.83,76.38,51.2
2017-02-07,榆林,73.93,1.22,21.6,76.68,79.28,44.93,16.0
2017-02-08,榆林,30.51,0.94,18.32,76.43,26.97,9.64,16.09
2017-02-09,榆林,27.61,1.01,30.76,60.08,22.73,11.52,15.57
2017-02-10,榆林,33.82,1.15,43.71,46.28,28.86,17.38,23.75
2017-02-11,榆林,71.48,1.96,64.04,34.55,78.82,48.47,58.16
2017-02-12,榆林,90.99,1.99,66.02,37.03,93.57,66.38,51.78
2017-02-13,榆林,81.19,2.13,77.71,28.23,91.46,56.82,55.03
2017-02-14,榆林,96.1,2.09,64.62,47.67,109.75,70.19,46.72
2017-02-15,榆林,118.02,1.82,54.94,74.5,125.38,86.95,29.18
2017-02-16,榆林,80.0,1.47,52.19,44.64,102.26,38.51,21.53
2017-02-17,榆林,60.66,1.38,49.34,46.03,68.38,25.53,30.82
2017-02-18,榆林,80.96,1.8,63.1,42.12,110.72,42.99,34.18
2017-02-19,榆林,99.75,1.82,59.99,48.09,146.46,45.03,33.61
2017-02-20,榆林,67.57,1.17,32.56,58.36,85.4,23.95,28.48
2017-02-21,榆林,51.24,1.17,20.15,78.84,58.51,24.8,16.88
2017-02-22,榆林,55.33,1.04,27.17,73.56,66.03,19.4,16.35
2017-02-23,榆林,39.01,1.13,41.98,65.95,37.29,17.38,17.95
2017-02-24,榆林,57.6,1.29,57.7,58.3,68.18,32.9,29.83
2017-02-25,榆林,44.74,1.24,54.62,51.48,43.04,22.28,26.34
2017-02-26,榆林,64.09,1.75,70.19,43.55,78.89,36.46,38.52
2017-02-27,榆林,75.92,1.89,71.36,39.79,99.07,45.34,34.82
2017-02-28,榆林,67.81,1.43,48.7,46.48,88.66,30.72,25.76
2017-03-01,榆林,41.52,1.02,25.7,77.95,40.32,11.72,13.64
