time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,渭南,387.95,3.2,96.12,5.03,424.46,334.29,49.95
2017-01-02,渭南,385.93,3.05,99.76,23.5,419.03,339.94,43.99
2017-01-03,渭南,389.38,3.25,105.24,13.23,430.47,341.34,36.08
2017-01-04,渭南,440.55,3.64,106.54,7.48,514.31,416.78,49.61
2017-01-05,渭南,358.07,3.77,73.52,14.96,418.62,341.15,40.67
2017-01-06,渭南,84.96,2.34,39.09,19.46,72.35,62.64,19.82
2017-01-07,渭南,81.79,1.74,58.28,7.11,88.41,59.57,20.09
2017-01-08,渭南,108.09,1.64,79.71,13.17,120.47,80.34,27.36
2017-01-09,渭南,109.18,1.57,65.35,13.72,126.04,81.21,32.13
2017-01-10,渭南,74.09,0.88,45.02,28.15,80.85,52.11,23.69
2017-01-11,渭南,66.61,0.66,55.06,40.45,70.33,40.82,16.15
2017-01-12,渭南,79.95,0.93,62.05,28.51,104.39,44.71,20.49
2017-01-13,渭南,95.77,1.31,68.2,23.29,129.89,63.23,32.12
2017-01-14,渭南,140.06,1.45,61.71,22.86,168.5,105.16,32.74
2017-01-15,渭南,148.26,1.39,62.36,14.28,171.07,111.95,34.92
2017-01-16,渭南,265.26,2.46,107.16,5.71,309.19,212.19,35.33
2017-01-17,渭南,243.39,2.18,84.78,17.11,276.89,193.9,33.99
2017-01-18,渭南,252.72,2.09,71.98,15.75,293.95,203.45,38.24
2017-01-19,渭南,203.46,1.55,60.47,33.16,250.99,152.09,26.18
2017-01-20,渭南,63.65,0.79,33.19,40.64,76.22,32.77,26.71
2017-01-21,渭南,102.61,1.1,54.68,34.01,144.27,67.58,28.82
2017-01-22,渭南,148.75,1.85,79.31,17.69,203.55,111.12,44.1
2017-01-23,渭南,202.7,2.19,76.31,21.56,245.65,154.52,50.44
2017-01-24,渭南,283.12,2.37,71.41,18.33,319.03,232.88,41.45
2017-01-25,渭南,356.14,2.77,63.9,24.68,392.71,307.66,36.84
2017-01-26,渭南,376.62,1.89,58.06,44.19,470.46,244.94,30.92
2017-01-27,渭南,165.83,1.21,39.19,38.72,261.7,90.54,32.45
2017-01-28,渭南,212.03,1.57,33.48,34.77,248.26,166.09,54.46
2017-01-29,渭南,128.85,1.07,31.83,43.72,179.14,68.51,19.89
2017-01-30,渭南,97.83,0.89,18.52,43.96,141.02,53.83,25.77
2017-01-31,渭南,113.46,1.19,32.89,26.65,135.08,85.01,28.32
2017-02-01,渭南,191.34,1.73,42.95,30.01,210.92,143.58,31.0
2017-02-02,渭南,169.16,1.59,28.88,45.15,173.11,128.3,35.18
2017-02-03,渭南,232.97,2.21,60.79,34.38,244.85,183.06,32.99
2017-02-04,渭南,264.75,2.65,74.9,31.3,278.39,214.94,36.69
2017-02-05,渭南,277.88,2.68,70.6,39.05,299.8,227.72,47.83
2017-02-06,渭南,297.88,2.21,51.79,34.22,325.52,247.92,32.51
2017-02-07,渭南,159.57,1.51,43.08,17.61,155.77,121.88,18.4
2017-02-08,渭南,59.84,0.69,23.92,45.09,63.23,36.01,16.76
2017-02-09,渭南,44.79,0.73,40.17,43.46,49.01,22.0,21.01
2017-02-10,渭南,65.34,1.01,53.89,35.96,75.04,41.35,17.14
2017-02-11,渭南,115.9,1.37,71.32,29.23,137.85,82.32,32.96
2017-02-12,渭南,183.83,1.66,69.36,29.89,205.27,140.88,39.94
2017-02-13,渭南,200.03,2.14,83.08,31.08,236.8,151.62,60.5
2017-02-14,渭南,251.47,2.12,87.82,41.68,282.36,200.46,45.22
2017-02-15,渭南,254.16,2.16,82.06,35.94,292.25,203.97,39.17
2017-02-16,渭南,178.05,1.65,84.45,36.33,223.05,135.07,28.87
2017-02-17,渭南,164.95,1.5,56.23,45.35,250.3,110.25,34.25
2017-02-18,渭南,191.76,1.73,72.7,29.76,263.85,139.88,34.63
2017-02-19,渭南,226.25,2.1,106.97,31.63,300.5,172.5,41.47
2017-02-20,渭南,272.51,1.17,41.73,46.01,393.91,85.53,24.79
2017-02-21,渭南,99.52,0.93,35.23,36.51,122.21,49.84,13.75
2017-02-22,渭南,100.75,1.34,60.8,30.89,129.38,66.52,23.77
2017-02-23,渭南,63.88,0.65,31.88,64.26,79.42,21.58,19.17
2017-02-24,渭南,83.1,1.1,74.66,34.62,110.26,46.55,23.86
2017-02-25,渭南,87.4,1.19,77.62,40.94,116.95,53.69,25.05
2017-02-26,渭南,102.66,1.31,86.93,32.76,138.36,65.02,26.77
2017-02-27,渭南,117.94,1.57,77.42,25.92,173.48,79.45,36.35
2017-02-28,渭南,164.77,1.6,91.64,14.49,215.48,123.35,39.64
2017-03-01,渭南,95.21,0.64,42.51,49.65,133.47,39.24,17.48
2017-03-02,渭南,96.48,0.86,68.93,32.05,139.61,39.93,28.26
2017-03-03,渭南,112.93,1.28,82.02,38.38,169.16,70.91,31.8
2017-03-04,渭南,150.55,1.66,90.78,33.93,229.27,103.45,51.71
