time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,果洛州,54.91,2.03,18.55,51.91,56.55,33.82,71.45
2017-01-01,海东地区,,,,,,,
2017-01-01,海北州,29.05,0.38,13.74,59.95,25.79,11.58,23.32
2017-01-01,海南州,48.72,1.02,,37.67,50.5,26.83,21.5
2017-01-01,海西州,41.84,1.06,23.89,63.95,41.61,26.84,27.58
2017-01-01,玉树州,68.53,0.8,31.47,43.79,76.0,43.37,82.42
2017-01-01,西宁,109.65,2.45,59.94,21.62,135.96,79.52,27.89
2017-01-01,黄南州,66.95,1.31,21.63,50.63,63.56,48.16,43.37
2017-01-02,果洛州,53.5,1.35,17.4,68.35,62.64,31.8,65.2
2017-01-02,海东地区,,,,,,,
2017-01-02,海北州,27.15,0.38,8.75,68.95,21.55,9.55,22.8
2017-01-02,海南州,35.7,1.03,2.0,51.9,34.6,19.8,18.4
2017-01-02,海西州,34.85,0.97,20.85,69.15,34.4,16.25,27.9
2017-01-02,玉树州,44.95,0.53,19.75,59.55,46.1,22.55,46.4
2017-01-02,西宁,110.42,2.54,56.86,29.82,131.48,80.23,30.96
2017-01-02,黄南州,60.95,1.29,26.1,55.75,60.74,43.45,63.95
2017-01-03,果洛州,58.33,1.29,16.26,69.83,56.52,33.42,42.42
2017-01-03,海东地区,,,,,,,
2017-01-03,海北州,37.79,0.55,13.29,56.92,38.5,19.71,21.08
2017-01-03,海南州,41.48,1.0,29.5,41.83,41.86,23.22,19.13
2017-01-03,海西州,35.96,1.07,22.58,60.79,36.68,16.58,28.25
2017-01-03,玉树州,50.71,0.64,24.75,55.67,53.71,30.48,80.21
2017-01-03,西宁,84.81,2.05,49.98,34.72,105.56,59.83,30.12
2017-01-03,黄南州,55.5,1.1,16.12,59.5,52.12,38.96,45.17
2017-01-04,果洛州,53.12,1.15,19.21,53.38,56.17,31.29,44.12
2017-01-04,海东地区,,,,,,,
2017-01-04,海北州,29.38,0.38,9.46,62.38,27.12,14.62,18.92
2017-01-04,海南州,49.64,0.46,31.27,34.73,49.91,28.45,19.64
2017-01-04,海西州,35.33,0.92,17.54,62.38,35.62,19.5,27.92
2017-01-04,玉树州,40.17,0.55,19.46,66.38,37.65,21.36,37.83
2017-01-04,西宁,105.96,3.04,57.94,23.1,138.38,73.63,32.82
2017-01-04,黄南州,52.96,1.16,20.88,56.75,54.54,35.71,47.58
2017-01-05,果洛州,64.0,1.12,18.5,51.83,74.39,32.88,40.42
2017-01-05,海东地区,,,,,,,
2017-01-05,海北州,34.33,0.12,13.54,61.79,35.0,13.33,11.88
2017-01-05,海南州,42.77,0.55,23.85,49.08,40.54,22.38,17.77
2017-01-05,海西州,32.12,0.75,12.08,72.83,30.54,12.58,27.83
2017-01-05,玉树州,43.8,0.57,23.47,50.0,43.47,27.13,63.33
2017-01-05,西宁,79.4,2.56,50.19,22.26,105.1,49.76,27.15
2017-01-05,黄南州,48.67,1.13,13.88,68.58,48.83,31.62,39.46
2017-01-06,果洛州,71.09,1.58,19.82,49.95,75.55,43.5,43.18
2017-01-06,海东地区,,,,,,,
2017-01-06,海北州,65.83,0.47,24.88,63.04,75.04,41.58,24.08
2017-01-06,海南州,45.93,0.92,28.86,42.43,47.21,25.86,21.93
2017-01-06,海西州,45.67,0.98,16.54,68.5,51.04,19.33,25.04
2017-01-06,玉树州,32.84,0.69,21.78,58.84,33.8,18.07,48.63
2017-01-06,西宁,86.28,2.3,48.25,37.56,116.87,60.87,29.81
2017-01-06,黄南州,57.5,1.17,9.92,79.83,58.52,40.75,27.42
2017-01-07,果洛州,51.65,1.89,16.78,61.0,55.28,30.32,38.17
2017-01-07,海东地区,,,,,,,
2017-01-07,海北州,75.87,0.48,24.13,61.7,86.13,53.74,13.96
2017-01-07,海南州,67.31,0.81,29.31,53.54,69.38,44.62,17.23
2017-01-07,海西州,53.83,1.21,23.22,63.65,58.61,24.35,34.57
2017-01-07,玉树州,47.18,0.6,24.36,68.0,45.32,26.41,55.14
2017-01-07,西宁,92.63,2.24,49.08,37.0,113.7,67.08,23.29
2017-01-07,黄南州,78.48,1.25,13.91,75.65,81.0,57.22,31.22
2017-01-08,果洛州,53.71,1.18,16.33,54.21,59.23,30.04,40.42
2017-01-08,海东地区,,,,,,,
2017-01-08,海北州,62.62,0.44,23.17,68.12,76.29,39.54,20.58
2017-01-08,海南州,51.15,0.85,30.62,49.77,55.25,30.92,17.23
2017-01-08,海西州,37.33,1.1,23.79,72.42,38.62,15.67,32.71
2017-01-08,玉树州,49.42,0.6,25.54,60.54,50.54,27.62,54.79
2017-01-08,西宁,87.85,1.7,42.08,44.36,102.61,61.93,26.57
2017-01-08,黄南州,67.42,1.18,20.33,71.38,68.38,46.12,63.38
2017-01-09,果洛州,67.78,1.31,22.04,54.65,81.91,34.22,55.74
2017-01-09,海东地区,,,,,,,
2017-01-09,海北州,82.87,0.57,27.74,68.87,99.65,59.65,24.48
2017-01-09,海南州,82.0,1.03,35.64,47.14,95.5,59.93,20.71
2017-01-09,海西州,55.35,1.33,30.17,45.26,62.96,26.17,26.65
2017-01-09,玉树州,60.91,0.69,29.91,55.65,67.3,33.65,72.57
2017-01-09,西宁,62.09,1.19,35.09,52.94,71.2,37.32,26.75
2017-01-09,黄南州,75.48,1.18,11.7,71.48,71.5,55.04,22.48
2017-01-10,果洛州,65.21,1.13,18.0,59.92,80.29,28.46,46.62
2017-01-10,海东地区,,,,,,,
2017-01-10,海北州,80.54,0.51,27.92,63.21,95.88,56.62,28.12
2017-01-10,海南州,75.67,0.89,24.61,59.89,78.39,53.78,18.0
2017-01-10,海西州,107.21,0.91,20.54,52.71,152.62,32.25,23.38
2017-01-10,玉树州,62.96,0.66,29.17,57.5,71.42,34.08,80.54
2017-01-10,西宁,62.08,1.27,35.79,49.92,66.59,35.35,27.08
2017-01-10,黄南州,69.79,1.18,12.42,66.75,73.0,48.42,29.58
2017-01-11,果洛州,61.25,1.06,12.38,84.62,73.25,31.0,29.83
2017-01-11,海东地区,65.5,1.53,63.75,19.38,81.43,48.57,38.38
2017-01-11,海北州,80.0,0.44,25.08,59.54,90.83,55.08,14.67
2017-01-11,海南州,62.71,0.59,20.07,61.5,75.5,34.43,12.93
2017-01-11,海西州,57.25,1.03,20.88,53.0,64.04,26.17,23.08
2017-01-11,玉树州,45.38,0.61,18.67,70.17,47.04,23.38,33.54
2017-01-11,西宁,82.71,1.89,43.18,28.86,101.06,58.72,25.17
2017-01-11,黄南州,77.08,1.34,18.58,57.42,75.96,56.33,44.62
2017-01-12,果洛州,55.38,1.09,16.67,72.04,60.38,31.75,41.62
2017-01-12,海东地区,107.56,2.36,56.25,14.07,132.0,84.33,26.25
2017-01-12,海北州,47.46,0.39,15.71,63.5,50.21,28.96,12.21
2017-01-12,海南州,52.67,1.07,29.25,50.0,57.08,28.5,15.25
2017-01-12,海西州,43.79,0.84,17.04,67.62,49.8,23.42,33.71
2017-01-12,玉树州,45.21,0.55,15.25,83.38,48.29,22.71,12.12
2017-01-12,西宁,98.0,2.22,49.25,29.74,124.13,71.93,25.43
2017-01-12,黄南州,54.46,1.0,7.54,67.12,57.5,33.42,21.75
2017-01-13,果洛州,53.62,1.27,20.17,63.67,50.23,34.0,43.54
2017-01-13,海东地区,76.7,3.13,54.1,45.3,101.94,58.11,31.7
2017-01-13,海北州,38.04,0.43,10.25,65.08,38.25,16.92,9.29
2017-01-13,海南州,53.3,0.78,27.85,49.2,59.6,25.25,19.3
2017-01-13,海西州,35.75,0.84,17.12,81.17,32.17,16.25,46.75
2017-01-13,玉树州,54.54,0.77,25.25,59.71,59.58,34.08,47.83
2017-01-13,西宁,94.76,2.56,48.26,32.55,127.65,66.2,25.61
2017-01-13,黄南州,55.33,1.2,15.08,53.75,58.75,35.83,42.46
2017-01-14,果洛州,50.92,1.17,18.21,65.88,49.33,30.0,48.08
2017-01-14,海东地区,107.21,2.59,59.88,67.33,131.79,79.21,40.75
2017-01-14,海北州,38.29,0.38,9.17,65.04,39.17,16.5,12.75
2017-01-14,海南州,50.0,0.58,21.46,52.12,49.79,26.33,17.17
2017-01-14,海西州,42.62,1.07,23.17,73.21,44.83,21.12,46.5
2017-01-14,玉树州,51.17,0.7,24.42,60.62,53.83,27.46,55.83
2017-01-14,西宁,107.78,2.42,48.3,48.39,142.19,78.67,28.81
2017-01-14,黄南州,55.58,1.22,14.04,31.79,59.79,36.83,37.88
2017-01-15,果洛州,64.54,1.24,18.25,68.79,72.08,32.04,43.5
2017-01-15,海东地区,124.33,2.15,57.0,81.88,160.25,81.38,45.42
2017-01-15,海北州,56.71,0.49,8.42,74.92,67.04,27.21,13.58
2017-01-15,海南州,56.96,0.66,29.88,47.42,68.18,28.71,16.71
2017-01-15,海西州,45.71,0.93,19.04,75.46,43.39,19.58,47.83
2017-01-15,玉树州,59.67,0.78,26.62,65.21,68.25,28.54,53.33
2017-01-15,西宁,105.86,2.08,49.31,63.85,136.66,67.04,35.11
2017-01-15,黄南州,68.04,1.23,11.83,32.95,72.8,46.71,26.67
2017-01-16,果洛州,62.17,1.25,21.92,59.5,71.83,35.88,56.58
2017-01-16,海东地区,92.5,1.68,44.33,79.46,133.92,51.29,32.92
2017-01-16,海北州,55.33,0.42,8.67,74.62,63.46,19.75,14.79
2017-01-16,海南州,54.88,0.69,28.42,51.67,59.21,27.38,19.38
2017-01-16,海西州,48.71,1.16,25.21,69.83,56.68,24.92,48.62
2017-01-16,玉树州,64.0,0.98,26.62,63.0,72.71,33.96,31.42
2017-01-16,西宁,85.95,1.72,40.6,65.85,116.08,38.1,26.33
2017-01-16,黄南州,75.75,1.41,19.71,35.58,88.33,53.17,46.29
2017-01-17,果洛州,88.46,1.22,20.62,63.29,110.25,49.12,47.71
2017-01-17,海东地区,78.42,1.93,48.67,71.88,97.96,52.75,34.92
2017-01-17,海北州,66.42,0.73,21.12,66.33,82.08,40.0,22.08
2017-01-17,海南州,56.42,0.84,27.33,56.79,61.92,30.29,19.0
2017-01-17,海西州,37.71,0.9,18.0,84.17,36.13,21.29,49.33
2017-01-17,玉树州,77.71,0.8,18.92,74.33,106.88,23.08,27.71
2017-01-17,西宁,75.61,1.97,39.93,47.5,98.08,42.87,26.63
2017-01-17,黄南州,86.83,1.34,13.12,40.67,112.14,55.54,30.67
2017-01-18,果洛州,117.08,1.45,20.38,70.71,178.67,46.75,49.75
2017-01-18,海东地区,120.0,2.12,48.62,57.83,149.35,76.46,33.58
2017-01-18,海北州,79.04,0.66,15.5,79.58,102.38,43.5,13.75
2017-01-18,海南州,48.67,0.84,18.0,57.8,54.64,29.0,12.07
2017-01-18,海西州,41.33,1.05,21.17,74.33,39.88,23.46,46.67
2017-01-18,玉树州,98.71,0.83,26.83,63.46,150.96,35.7,65.12
2017-01-18,西宁,99.71,2.36,42.65,51.03,136.54,61.23,26.6
2017-01-18,黄南州,91.33,1.57,18.38,54.83,101.04,64.83,38.92
2017-01-19,果洛州,81.29,1.45,17.92,68.04,112.25,30.79,40.42
2017-01-19,海东地区,108.08,1.49,44.54,43.58,165.21,53.25,38.96
2017-01-19,海北州,33.71,0.39,12.42,78.62,31.21,12.29,14.42
2017-01-19,海南州,39.17,0.68,19.7,66.7,40.35,17.35,13.7
2017-01-19,海西州,51.0,0.82,16.29,72.71,33.15,31.83,38.67
2017-01-19,玉树州,76.12,0.99,26.58,55.58,100.04,37.88,54.04
2017-01-19,西宁,96.01,1.72,39.42,55.53,141.56,47.11,27.28
2017-01-19,黄南州,77.21,1.34,13.71,78.33,96.17,45.58,39.54
2017-01-20,果洛州,129.71,1.26,14.92,61.92,164.54,34.92,41.46
2017-01-20,海东地区,134.71,2.0,50.25,36.5,218.96,73.75,39.71
2017-01-20,海北州,79.29,0.61,16.38,73.62,108.17,40.38,16.5
2017-01-20,海南州,63.96,0.82,22.17,59.79,75.52,32.25,16.88
2017-01-20,海西州,47.08,1.14,22.04,66.21,48.43,24.83,35.88
2017-01-20,玉树州,76.79,0.95,26.29,56.92,92.46,35.08,67.29
2017-01-20,西宁,132.54,2.53,45.33,35.58,220.74,73.83,30.25
2017-01-20,黄南州,100.5,1.69,24.21,72.79,137.46,72.79,54.96
2017-01-21,果洛州,134.79,1.26,13.04,73.96,207.38,40.83,34.75
2017-01-21,海东地区,106.58,2.13,43.67,44.5,154.17,55.62,30.58
