time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,果洛州,54.91,2.03,18.55,51.91,56.55,33.82,71.45
2017-01-02,果洛州,53.5,1.35,17.4,68.35,62.64,31.8,65.2
2017-01-03,果洛州,58.33,1.29,16.26,69.83,56.52,33.42,42.42
2017-01-04,果洛州,53.12,1.15,19.21,53.38,56.17,31.29,44.12
2017-01-05,果洛州,64.0,1.12,18.5,51.83,74.39,32.88,40.42
2017-01-06,果洛州,71.09,1.58,19.82,49.95,75.55,43.5,43.18
2017-01-07,果洛州,51.65,1.89,16.78,61.0,55.28,30.32,38.17
2017-01-08,果洛州,53.71,1.18,16.33,54.21,59.23,30.04,40.42
2017-01-09,果洛州,67.78,1.31,22.04,54.65,81.91,34.22,55.74
2017-01-10,果洛州,65.21,1.13,18.0,59.92,80.29,28.46,46.62
2017-01-11,果洛州,61.25,1.06,12.38,84.62,73.25,31.0,29.83
2017-01-12,果洛州,55.38,1.09,16.67,72.04,60.38,31.75,41.62
2017-01-13,果洛州,53.62,1.27,20.17,63.67,50.23,34.0,43.54
2017-01-14,果洛州,50.92,1.17,18.21,65.88,49.33,30.0,48.08
2017-01-15,果洛州,64.54,1.24,18.25,68.79,72.08,32.04,43.5
2017-01-16,果洛州,62.17,1.25,21.92,59.5,71.83,35.88,56.58
2017-01-17,果洛州,88.46,1.22,20.62,63.29,110.25,49.12,47.71
2017-01-18,果洛州,117.08,1.45,20.38,70.71,178.67,46.75,49.75
2017-01-19,果洛州,81.29,1.45,17.92,68.04,112.25,30.79,40.42
2017-01-20,果洛州,129.71,1.26,14.92,61.92,164.54,34.92,41.46
2017-01-21,果洛州,134.79,1.26,13.04,73.96,207.38,40.83,34.75
2017-01-22,果洛州,70.08,1.46,19.75,59.21,83.3,40.83,51.83
2017-01-23,果洛州,48.38,1.32,14.92,56.38,51.83,24.92,36.83
2017-01-24,果洛州,44.38,1.2,13.04,64.58,46.92,21.38,35.79
2017-01-25,果洛州,59.29,1.36,15.33,56.04,65.0,28.08,37.88
2017-01-26,果洛州,86.47,1.42,16.76,44.29,112.71,38.41,37.0
2017-01-27,果洛州,79.33,1.45,17.96,56.04,98.83,39.71,47.29
2017-01-28,果洛州,105.17,1.6,23.62,53.62,151.08,63.42,50.54
2017-01-29,果洛州,74.52,1.27,13.83,75.65,98.74,29.57,37.0
2017-01-30,果洛州,66.96,1.41,17.67,61.21,76.42,36.17,40.17
2017-01-31,果洛州,44.54,1.28,15.08,69.25,46.08,23.38,39.0
2017-02-01,果洛州,50.42,1.3,15.79,56.67,54.26,28.12,50.79
2017-02-02,果洛州,32.38,1.18,11.5,75.29,30.38,16.04,30.21
2017-02-03,果洛州,45.42,1.19,12.04,63.62,44.67,19.29,37.04
2017-02-04,果洛州,64.96,1.36,16.61,58.61,76.04,28.91,43.74
2017-02-05,果洛州,126.21,1.39,18.71,56.62,197.25,46.88,45.96
2017-02-06,果洛州,105.54,1.25,18.62,57.04,163.67,45.0,45.71
2017-02-07,果洛州,181.78,1.15,14.22,58.22,249.91,61.96,37.17
2017-02-08,果洛州,114.58,1.05,12.92,77.29,178.62,52.75,33.88
2017-02-09,果洛州,64.75,1.12,14.46,68.54,79.12,25.25,44.67
2017-02-10,果洛州,51.54,1.02,11.04,70.62,54.79,20.29,29.75
2017-02-11,果洛州,51.5,0.96,11.96,81.0,55.96,23.08,30.25
2017-02-12,果洛州,52.38,1.06,14.75,59.12,55.21,26.17,37.0
2017-02-13,果洛州,44.71,1.1,15.42,57.04,44.62,23.5,47.96
2017-02-14,果洛州,55.79,1.08,16.54,59.46,63.67,25.08,47.38
2017-02-15,果洛州,48.42,1.08,15.46,65.29,51.25,26.75,37.75
2017-02-16,果洛州,58.71,1.22,18.0,55.88,64.87,33.46,51.08
2017-02-17,果洛州,57.46,1.07,13.75,65.42,65.21,26.12,32.42
2017-02-18,果洛州,58.0,1.12,17.67,71.5,57.54,23.92,46.33
2017-02-19,果洛州,53.54,1.24,19.12,58.88,60.12,27.29,37.0
2017-02-20,果洛州,73.75,1.29,20.04,55.75,96.71,35.79,46.08
2017-02-21,果洛州,260.08,1.12,10.75,78.54,387.83,107.21,29.12
2017-02-22,果洛州,129.21,1.27,13.0,89.92,206.46,69.62,29.88
