time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,海东地区,,,,,,,
2017-01-02,海东地区,,,,,,,
2017-01-03,海东地区,,,,,,,
2017-01-04,海东地区,,,,,,,
2017-01-05,海东地区,,,,,,,
2017-01-06,海东地区,,,,,,,
2017-01-07,海东地区,,,,,,,
2017-01-08,海东地区,,,,,,,
2017-01-09,海东地区,,,,,,,
2017-01-10,海东地区,,,,,,,
2017-01-11,海东地区,65.5,1.53,63.75,19.38,81.43,48.57,38.38
2017-01-12,海东地区,107.56,2.36,56.25,14.07,132.0,84.33,26.25
2017-01-13,海东地区,76.7,3.13,54.1,45.3,101.94,58.11,31.7
2017-01-14,海东地区,107.21,2.59,59.88,67.33,131.79,79.21,40.75
2017-01-15,海东地区,124.33,2.15,57.0,81.88,160.25,81.38,45.42
2017-01-16,海东地区,92.5,1.68,44.33,79.46,133.92,51.29,32.92
2017-01-17,海东地区,78.42,1.93,48.67,71.88,97.96,52.75,34.92
2017-01-18,海东地区,120.0,2.12,48.62,57.83,149.35,76.46,33.58
2017-01-19,海东地区,108.08,1.49,44.54,43.58,165.21,53.25,38.96
2017-01-20,海东地区,134.71,2.0,50.25,36.5,218.96,73.75,39.71
2017-01-21,海东地区,106.58,2.13,43.67,44.5,154.17,55.62,30.58
2017-01-22,海东地区,76.67,1.93,46.25,43.67,101.79,44.62,42.96
2017-01-23,海东地区,84.04,2.37,55.96,23.17,104.12,58.38,51.21
2017-01-24,海东地区,87.92,2.5,55.17,28.17,104.0,63.29,41.96
2017-01-25,海东地区,77.88,2.46,57.33,25.14,96.54,52.04,41.17
2017-01-26,海东地区,477.0,1.31,39.0,34.82,1504.65,240.94,37.71
2017-01-27,海东地区,496.29,2.18,46.17,45.29,815.62,170.96,45.58
2017-01-28,海东地区,269.58,1.64,34.0,59.79,378.29,100.67,42.62
2017-01-29,海东地区,118.35,1.43,28.3,62.83,186.22,52.35,29.0
2017-01-30,海东地区,130.04,1.9,36.12,64.21,205.17,77.12,37.17
2017-01-31,海东地区,103.46,1.89,35.17,70.17,156.46,59.21,38.75
2017-02-01,海东地区,92.62,1.97,42.04,66.67,132.17,59.29,44.46
2017-02-02,海东地区,93.08,2.06,41.17,70.62,132.13,66.0,41.17
2017-02-03,海东地区,111.62,2.28,41.46,63.04,154.57,75.92,31.33
2017-02-04,海东地区,97.74,2.0,52.61,57.74,131.47,72.0,38.74
2017-02-05,海东地区,116.38,2.72,64.42,36.25,146.0,86.88,56.54
2017-02-06,海东地区,115.12,1.98,41.46,48.88,143.42,82.12,39.92
2017-02-07,海东地区,104.26,1.2,30.39,59.17,157.96,49.61,30.0
2017-02-08,海东地区,77.58,1.17,35.38,64.67,90.92,54.33,20.25
2017-02-09,海东地区,104.29,1.8,39.12,60.21,125.88,77.29,22.04
2017-02-10,海东地区,60.04,1.02,30.25,71.33,67.0,38.54,26.79
2017-02-11,海东地区,106.92,2.06,50.29,43.12,117.21,79.75,27.17
2017-02-12,海东地区,89.17,1.95,49.88,48.96,103.21,64.54,30.54
