time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,海北州,29.05,0.38,13.74,59.95,25.79,11.58,23.32
2017-01-02,海北州,27.15,0.38,8.75,68.95,21.55,9.55,22.8
2017-01-03,海北州,37.79,0.55,13.29,56.92,38.5,19.71,21.08
2017-01-04,海北州,29.38,0.38,9.46,62.38,27.12,14.62,18.92
2017-01-05,海北州,34.33,0.12,13.54,61.79,35.0,13.33,11.88
2017-01-06,海北州,65.83,0.47,24.88,63.04,75.04,41.58,24.08
2017-01-07,海北州,75.87,0.48,24.13,61.7,86.13,53.74,13.96
2017-01-08,海北州,62.62,0.44,23.17,68.12,76.29,39.54,20.58
2017-01-09,海北州,82.87,0.57,27.74,68.87,99.65,59.65,24.48
2017-01-10,海北州,80.54,0.51,27.92,63.21,95.88,56.62,28.12
2017-01-11,海北州,80.0,0.44,25.08,59.54,90.83,55.08,14.67
2017-01-12,海北州,47.46,0.39,15.71,63.5,50.21,28.96,12.21
2017-01-13,海北州,38.04,0.43,10.25,65.08,38.25,16.92,9.29
2017-01-14,海北州,38.29,0.38,9.17,65.04,39.17,16.5,12.75
2017-01-15,海北州,56.71,0.49,8.42,74.92,67.04,27.21,13.58
2017-01-16,海北州,55.33,0.42,8.67,74.62,63.46,19.75,14.79
2017-01-17,海北州,66.42,0.73,21.12,66.33,82.08,40.0,22.08
2017-01-18,海北州,79.04,0.66,15.5,79.58,102.38,43.5,13.75
2017-01-19,海北州,33.71,0.39,12.42,78.62,31.21,12.29,14.42
2017-01-20,海北州,79.29,0.61,16.38,73.62,108.17,40.38,16.5
2017-01-21,海北州,53.33,0.32,6.0,91.62,60.38,15.29,11.71
2017-01-22,海北州,36.12,0.32,6.58,80.79,31.96,11.21,11.67
2017-01-23,海北州,27.92,0.31,6.17,72.83,25.12,10.29,11.29
2017-01-24,海北州,30.17,0.33,5.79,76.5,27.04,13.12,12.46
2017-01-25,海北州,39.88,0.31,5.46,72.92,44.25,12.5,12.58
