time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,海南州,48.72,1.02,,37.67,50.5,26.83,21.5
2017-01-02,海南州,35.7,1.03,2.0,51.9,34.6,19.8,18.4
2017-01-03,海南州,41.48,1.0,29.5,41.83,41.86,23.22,19.13
2017-01-04,海南州,49.64,0.46,31.27,34.73,49.91,28.45,19.64
2017-01-05,海南州,42.77,0.55,23.85,49.08,40.54,22.38,17.77
2017-01-06,海南州,45.93,0.92,28.86,42.43,47.21,25.86,21.93
2017-01-07,海南州,67.31,0.81,29.31,53.54,69.38,44.62,17.23
2017-01-08,海南州,51.15,0.85,30.62,49.77,55.25,30.92,17.23
2017-01-09,海南州,82.0,1.03,35.64,47.14,95.5,59.93,20.71
2017-01-10,海南州,75.67,0.89,24.61,59.89,78.39,53.78,18.0
2017-01-11,海南州,62.71,0.59,20.07,61.5,75.5,34.43,12.93
2017-01-12,海南州,52.67,1.07,29.25,50.0,57.08,28.5,15.25
2017-01-13,海南州,53.3,0.78,27.85,49.2,59.6,25.25,19.3
2017-01-14,海南州,50.0,0.58,21.46,52.12,49.79,26.33,17.17
2017-01-15,海南州,56.96,0.66,29.88,47.42,68.18,28.71,16.71
2017-01-16,海南州,54.88,0.69,28.42,51.67,59.21,27.38,19.38
2017-01-17,海南州,56.42,0.84,27.33,56.79,61.92,30.29,19.0
2017-01-18,海南州,48.67,0.84,18.0,57.8,54.64,29.0,12.07
2017-01-19,海南州,39.17,0.68,19.7,66.7,40.35,17.35,13.7
2017-01-20,海南州,63.96,0.82,22.17,59.79,75.52,32.25,16.88
2017-01-21,海南州,82.5,0.67,18.58,74.5,100.67,29.71,13.58
2017-01-22,海南州,41.71,0.8,17.5,64.58,38.32,25.62,18.75
2017-01-23,海南州,52.71,0.92,20.33,47.38,48.57,33.21,21.88
2017-01-24,海南州,46.62,0.78,15.17,49.38,43.11,30.0,18.5
2017-01-25,海南州,44.92,1.07,14.96,51.38,49.46,21.96,20.71
2017-01-26,海南州,132.65,1.28,16.94,41.41,178.59,62.71,18.47
2017-01-27,海南州,326.75,1.48,17.96,54.25,442.12,124.79,24.25
2017-01-28,海南州,197.04,1.44,16.04,58.42,308.0,109.5,22.29
2017-01-29,海南州,94.74,1.1,9.48,72.65,139.0,44.7,15.35
2017-01-30,海南州,76.83,1.0,11.29,70.21,100.92,33.21,17.58
2017-01-31,海南州,46.38,0.94,10.08,71.17,48.08,20.12,20.62
2017-02-01,海南州,50.88,1.07,10.21,71.71,53.38,29.33,17.42
2017-02-02,海南州,48.75,0.98,10.79,66.46,50.46,25.38,17.46
2017-02-03,海南州,73.88,0.66,26.42,65.92,97.62,24.96,16.67
2017-02-04,海南州,40.57,0.87,18.78,65.91,40.0,22.91,17.22
2017-02-05,海南州,52.96,0.94,24.38,54.21,63.96,30.38,36.54
2017-02-06,海南州,82.92,0.96,22.75,57.04,114.58,42.17,21.62
2017-02-07,海南州,74.87,1.17,17.78,67.65,92.43,53.04,21.09
2017-02-08,海南州,63.12,0.92,16.5,74.17,73.08,40.42,22.04
2017-02-09,海南州,52.96,0.9,18.62,64.71,57.71,29.71,20.67
2017-02-10,海南州,79.83,1.14,19.71,55.54,91.62,56.62,24.83
2017-02-11,海南州,70.75,0.98,11.46,70.71,69.65,47.62,23.42
2017-02-12,海南州,46.83,0.86,13.88,59.42,48.88,22.92,22.83
2017-02-13,海南州,47.33,0.83,16.33,53.88,49.29,21.46,26.88
2017-02-14,海南州,37.96,0.82,15.0,58.46,37.21,18.75,22.58
2017-02-15,海南州,48.75,0.8,19.25,57.96,52.92,20.21,21.38
2017-02-16,海南州,56.46,0.8,14.92,61.92,65.79,22.25,18.79
2017-02-17,海南州,71.96,0.7,15.21,68.08,93.67,24.46,15.71
2017-02-18,海南州,43.25,0.57,19.62,64.04,45.58,21.0,17.54
2017-02-19,海南州,45.12,0.61,21.5,62.46,49.21,19.83,23.17
2017-02-20,海南州,93.88,0.72,19.04,100.12,137.88,46.96,27.0
2017-02-21,海南州,265.83,0.66,12.58,85.83,386.58,101.25,24.29
2017-02-22,海南州,108.12,0.55,9.21,97.17,165.88,58.04,24.12
2017-02-23,海南州,73.08,0.69,13.58,85.21,85.5,45.21,23.67
2017-02-24,海南州,72.79,0.91,20.67,56.58,92.5,45.46,31.33
2017-02-25,海南州,63.75,0.77,26.46,58.67,76.96,33.58,29.12
2017-02-26,海南州,37.88,0.84,23.79,58.33,34.42,19.58,29.04
2017-02-27,海南州,34.08,0.74,12.88,65.21,29.86,15.96,28.96
2017-02-28,海南州,50.04,0.68,18.71,73.21,57.71,15.71,31.92
2017-03-01,海南州,40.96,0.76,12.67,83.46,36.96,16.21,25.96
2017-03-02,海南州,49.52,0.94,18.0,55.13,54.0,20.09,28.13
2017-03-03,海南州,57.92,1.34,13.12,59.83,66.0,25.62,33.83
2017-03-04,海南州,71.62,1.38,12.46,87.92,90.08,40.54,35.96
2017-03-05,海南州,54.08,1.3,9.12,92.54,59.17,30.25,37.96
2017-03-06,海南州,51.08,1.37,11.46,87.54,50.83,31.12,39.0
2017-03-07,海南州,48.83,1.36,12.29,79.17,49.5,27.33,39.21
2017-03-08,海南州,49.83,1.53,15.26,72.22,51.22,26.74,35.83
2017-03-09,海南州,48.04,1.47,14.25,75.54,50.96,25.58,33.92
2017-03-10,海南州,68.04,1.64,13.62,81.5,72.88,46.17,29.38
2017-03-11,海南州,61.08,1.73,9.38,98.29,55.83,42.5,27.83
2017-03-12,海南州,72.5,1.61,7.71,108.62,92.88,34.33,31.96
2017-03-13,海南州,54.71,1.69,11.29,102.5,46.61,38.46,29.42
