time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,海西州,41.84,1.06,23.89,63.95,41.61,26.84,27.58
2017-01-02,海西州,34.85,0.97,20.85,69.15,34.4,16.25,27.9
2017-01-03,海西州,35.96,1.07,22.58,60.79,36.68,16.58,28.25
2017-01-04,海西州,35.33,0.92,17.54,62.38,35.62,19.5,27.92
2017-01-05,海西州,32.12,0.75,12.08,72.83,30.54,12.58,27.83
2017-01-06,海西州,45.67,0.98,16.54,68.5,51.04,19.33,25.04
2017-01-07,海西州,53.83,1.21,23.22,63.65,58.61,24.35,34.57
2017-01-08,海西州,37.33,1.1,23.79,72.42,38.62,15.67,32.71
2017-01-09,海西州,55.35,1.33,30.17,45.26,62.96,26.17,26.65
2017-01-10,海西州,107.21,0.91,20.54,52.71,152.62,32.25,23.38
2017-01-11,海西州,57.25,1.03,20.88,53.0,64.04,26.17,23.08
2017-01-12,海西州,43.79,0.84,17.04,67.62,49.8,23.42,33.71
2017-01-13,海西州,35.75,0.84,17.12,81.17,32.17,16.25,46.75
2017-01-14,海西州,42.62,1.07,23.17,73.21,44.83,21.12,46.5
2017-01-15,海西州,45.71,0.93,19.04,75.46,43.39,19.58,47.83
2017-01-16,海西州,48.71,1.16,25.21,69.83,56.68,24.92,48.62
2017-01-17,海西州,37.71,0.9,18.0,84.17,36.13,21.29,49.33
2017-01-18,海西州,41.33,1.05,21.17,74.33,39.88,23.46,46.67
2017-01-19,海西州,51.0,0.82,16.29,72.71,33.15,31.83,38.67
2017-01-20,海西州,47.08,1.14,22.04,66.21,48.43,24.83,35.88
2017-01-21,海西州,37.67,0.73,13.67,74.33,37.92,15.67,31.79
2017-01-22,海西州,35.75,1.01,18.29,65.92,35.17,17.21,35.46
2017-01-23,海西州,48.08,0.93,16.5,61.42,52.96,15.38,33.12
2017-01-24,海西州,38.58,1.08,21.96,65.29,38.67,21.08,41.5
2017-01-25,海西州,50.46,1.04,21.25,69.25,58.62,20.46,37.67
2017-01-26,海西州,77.47,0.99,17.06,60.59,104.47,28.65,35.0
2017-01-27,海西州,99.0,1.03,18.92,63.17,147.38,39.0,38.33
2017-01-28,海西州,186.79,1.0,15.75,65.54,261.92,67.25,38.83
2017-01-29,海西州,116.22,0.8,12.91,78.65,175.22,35.35,30.7
2017-01-30,海西州,54.58,0.83,12.25,76.62,59.42,21.04,30.29
2017-01-31,海西州,51.08,0.89,14.79,72.71,54.29,16.54,32.71
2017-02-01,海西州,37.46,0.7,11.25,78.0,36.71,13.92,32.17
2017-02-02,海西州,39.33,0.82,13.67,70.25,38.0,20.46,31.0
2017-02-03,海西州,35.12,0.87,14.42,70.04,33.71,19.0,31.83
2017-02-04,海西州,41.39,0.83,15.0,74.04,43.39,16.13,31.39
2017-02-05,海西州,58.12,0.98,16.04,72.75,69.83,19.0,32.58
2017-02-06,海西州,189.54,0.88,13.92,77.88,438.83,80.46,30.38
2017-02-07,海西州,305.0,0.91,18.83,73.83,748.09,146.35,31.3
2017-02-08,海西州,78.17,0.96,18.46,66.59,105.75,34.75,28.42
2017-02-09,海西州,61.79,0.75,12.88,82.0,72.08,32.58,26.08
2017-02-10,海西州,44.0,0.78,15.58,63.0,47.48,14.92,25.58
2017-02-11,海西州,48.75,0.92,18.0,68.12,54.08,20.62,41.75
2017-02-12,海西州,34.75,0.77,13.21,78.12,33.68,13.29,40.5
2017-02-13,海西州,39.29,1.08,19.88,67.33,39.71,19.96,40.83
2017-02-14,海西州,33.88,0.75,12.21,78.38,33.12,13.42,40.62
2017-02-15,海西州,46.38,0.86,14.0,75.04,50.17,18.79,40.54
2017-02-16,海西州,56.12,0.82,11.75,76.88,64.67,22.12,33.5
2017-02-17,海西州,51.79,1.03,16.42,70.46,56.04,20.46,23.83
2017-02-18,海西州,37.75,0.72,10.54,81.0,35.79,14.17,23.29
2017-02-19,海西州,38.58,0.88,14.88,81.67,40.43,14.17,28.54
2017-02-20,海西州,191.42,0.75,12.25,77.67,792.29,121.17,21.12
2017-02-21,海西州,200.42,0.74,8.12,91.29,571.46,95.33,20.08
2017-02-22,海西州,70.96,0.85,12.75,85.29,91.58,35.54,21.38
2017-02-23,海西州,77.92,0.83,9.29,87.67,92.35,41.33,21.21
2017-02-24,海西州,71.38,0.82,12.67,88.96,87.21,35.54,23.58
2017-02-25,海西州,45.46,0.87,12.88,87.54,46.79,19.17,25.62
2017-02-26,海西州,35.83,0.74,10.25,92.33,33.04,13.71,28.5
2017-02-27,海西州,29.75,0.72,9.33,88.92,20.75,12.12,26.62
2017-02-28,海西州,35.21,0.92,14.12,84.92,34.7,16.88,28.38
2017-03-01,海西州,45.21,0.71,8.75,104.88,32.77,19.79,27.57
2017-03-02,海西州,43.65,0.8,11.13,87.39,44.57,16.52,27.39
2017-03-03,海西州,39.12,0.77,10.08,86.54,39.77,17.33,26.96
2017-03-04,海西州,38.79,0.92,13.75,73.04,39.74,19.38,26.54
2017-03-05,海西州,44.12,0.83,10.62,84.04,44.83,18.96,26.46
2017-03-06,海西州,42.12,0.84,9.88,88.58,41.88,19.46,28.0
2017-03-07,海西州,48.71,0.73,8.04,102.33,54.33,17.92,26.67
2017-03-08,海西州,50.61,0.72,7.39,100.26,53.17,18.7,29.3
2017-03-09,海西州,41.17,0.77,8.75,99.62,40.47,23.12,22.46
2017-03-10,海西州,47.08,0.83,13.04,88.46,49.46,21.38,19.54
2017-03-11,海西州,51.75,0.85,11.04,90.75,55.25,21.62,24.46
