time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,玉树州,68.53,0.8,31.47,43.79,76.0,43.37,82.42
2017-01-02,玉树州,44.95,0.53,19.75,59.55,46.1,22.55,46.4
2017-01-03,玉树州,50.71,0.64,24.75,55.67,53.71,30.48,80.21
2017-01-04,玉树州,40.17,0.55,19.46,66.38,37.65,21.36,37.83
2017-01-05,玉树州,43.8,0.57,23.47,50.0,43.47,27.13,63.33
2017-01-06,玉树州,32.84,0.69,21.78,58.84,33.8,18.07,48.63
2017-01-07,玉树州,47.18,0.6,24.36,68.0,45.32,26.41,55.14
2017-01-08,玉树州,49.42,0.6,25.54,60.54,50.54,27.62,54.79
2017-01-09,玉树州,60.91,0.69,29.91,55.65,67.3,33.65,72.57
2017-01-10,玉树州,62.96,0.66,29.17,57.5,71.42,34.08,80.54
2017-01-11,玉树州,45.38,0.61,18.67,70.17,47.04,23.38,33.54
2017-01-12,玉树州,45.21,0.55,15.25,83.38,48.29,22.71,12.12
2017-01-13,玉树州,54.54,0.77,25.25,59.71,59.58,34.08,47.83
2017-01-14,玉树州,51.17,0.7,24.42,60.62,53.83,27.46,55.83
2017-01-15,玉树州,59.67,0.78,26.62,65.21,68.25,28.54,53.33
2017-01-16,玉树州,64.0,0.98,26.62,63.0,72.71,33.96,31.42
2017-01-17,玉树州,77.71,0.8,18.92,74.33,106.88,23.08,27.71
2017-01-18,玉树州,98.71,0.83,26.83,63.46,150.96,35.7,65.12
2017-01-19,玉树州,76.12,0.99,26.58,55.58,100.04,37.88,54.04
2017-01-20,玉树州,76.79,0.95,26.29,56.92,92.46,35.08,67.29
2017-01-21,玉树州,60.38,0.71,20.38,66.54,74.96,21.75,44.04
2017-01-22,玉树州,45.71,0.78,22.88,54.79,47.83,24.0,59.0
2017-01-23,玉树州,47.79,0.83,20.21,61.88,49.79,23.7,49.29
2017-01-24,玉树州,38.58,0.74,21.83,67.67,38.3,16.61,48.25
2017-01-25,玉树州,53.92,0.88,26.88,53.83,57.25,32.08,64.79
2017-01-26,玉树州,61.71,1.19,33.47,36.76,68.24,39.0,70.94
2017-01-27,玉树州,50.5,0.81,19.79,60.88,54.96,27.04,50.62
2017-01-28,玉树州,151.46,1.08,28.75,62.58,176.12,117.67,84.5
2017-01-29,玉树州,83.09,0.73,18.17,80.22,116.43,27.13,41.3
2017-01-30,玉树州,53.04,0.94,20.46,67.75,58.75,26.0,39.67
2017-01-31,玉树州,53.96,0.98,23.92,63.46,57.83,32.42,53.08
