time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,七台河,184.63,2.11,54.05,24.61,221.43,143.62,44.27
2017-01-01,伊春,73.75,0.84,24.44,22.92,75.69,66.6,10.18
2017-01-01,佳木斯,202.56,2.52,64.18,16.19,209.22,159.55,29.05
2017-01-01,双鸭山,154.18,1.7,39.94,34.55,171.89,121.8,27.63
2017-01-01,哈尔滨,228.56,2.76,77.72,17.53,227.71,180.16,76.68
2017-01-01,大兴安岭地区,26.79,0.66,19.0,49.93,26.36,15.71,17.43
2017-01-01,大庆,155.94,1.93,53.33,17.46,164.53,116.69,27.3
2017-01-01,牡丹江,181.91,2.56,56.47,10.74,199.47,140.43,53.07
2017-01-01,绥化,91.71,1.73,48.32,15.13,94.44,70.75,66.71
2017-01-01,鸡西,154.47,3.83,33.44,32.13,192.82,114.44,38.45
2017-01-01,鹤岗,147.47,2.54,36.34,31.62,189.57,122.11,24.93
2017-01-01,黑河,66.76,0.65,21.28,43.04,62.44,47.65,34.15
2017-01-01,齐齐哈尔,234.7,2.67,57.7,10.7,175.67,187.1,35.0
2017-01-02,七台河,181.25,1.76,48.77,37.87,185.1,139.15,35.88
2017-01-02,伊春,90.87,0.81,21.42,29.47,89.29,66.89,10.72
2017-01-02,佳木斯,226.71,2.38,62.71,26.07,228.58,179.77,28.14
2017-01-02,双鸭山,162.43,1.71,42.15,34.95,170.08,125.03,22.07
2017-01-02,哈尔滨,247.03,2.41,81.99,22.95,230.06,197.24,74.79
2017-01-02,大兴安岭地区,59.73,1.17,41.02,37.92,61.69,41.95,45.9
2017-01-02,大庆,215.13,2.42,63.93,29.65,206.4,168.8,36.76
2017-01-02,牡丹江,123.27,1.59,37.58,32.97,132.82,89.62,35.12
2017-01-02,绥化,129.8,1.56,43.1,35.98,131.75,97.95,43.9
2017-01-02,鸡西,164.25,2.7,32.62,32.64,197.81,125.08,36.27
2017-01-02,鹤岗,137.28,1.7,35.43,36.61,163.06,99.08,23.23
2017-01-02,黑河,77.63,0.76,24.15,31.82,73.11,56.48,44.42
2017-01-02,齐齐哈尔,,,,,,,
2017-01-03,七台河,174.07,1.79,63.12,26.22,208.2,130.02,33.52
2017-01-03,伊春,100.88,0.9,26.18,24.47,93.7,78.69,11.03
2017-01-03,佳木斯,140.12,1.64,50.77,37.59,137.5,105.83,26.22
2017-01-03,双鸭山,131.9,1.38,37.35,41.42,134.59,101.75,25.33
2017-01-03,哈尔滨,124.89,1.45,63.34,34.77,119.31,93.03,63.02
2017-01-03,大兴安岭地区,61.0,1.16,35.75,33.74,61.9,42.8,42.95
2017-01-03,大庆,138.51,1.72,39.88,28.7,134.89,104.86,25.92
2017-01-03,牡丹江,127.55,1.68,49.72,16.88,145.89,95.59,44.02
2017-01-03,绥化,154.59,1.56,52.54,29.72,182.16,116.16,66.3
2017-01-03,鸡西,93.49,1.9,30.95,31.43,121.44,64.06,29.6
2017-01-03,鹤岗,117.21,1.46,34.77,35.47,138.19,85.46,17.31
2017-01-03,黑河,111.64,0.98,30.72,20.56,104.38,83.51,40.78
2017-01-03,齐齐哈尔,,,,,,,
2017-01-04,七台河,145.23,1.21,39.54,44.96,142.88,109.93,31.67
2017-01-04,伊春,89.89,0.81,26.9,24.82,82.36,65.03,11.81
2017-01-04,佳木斯,182.1,1.88,55.17,33.88,178.99,140.45,24.31
2017-01-04,双鸭山,157.48,1.46,43.86,30.65,160.42,120.46,19.34
2017-01-04,哈尔滨,266.16,3.21,86.19,26.59,250.45,218.47,70.67
2017-01-04,大兴安岭地区,53.61,0.98,38.22,30.72,53.68,36.96,36.22
2017-01-04,大庆,214.7,2.39,63.14,29.17,210.97,168.98,39.48
2017-01-04,牡丹江,67.28,0.73,29.4,43.8,75.33,46.77,18.74
2017-01-04,绥化,326.9,1.79,34.5,45.65,340.85,279.33,31.75
2017-01-04,鸡西,73.06,1.25,21.99,41.21,79.75,49.81,20.98
2017-01-04,鹤岗,96.15,1.32,27.38,39.82,108.53,69.4,15.4
2017-01-04,黑河,80.79,0.62,21.92,32.76,78.36,59.32,42.97
2017-01-04,齐齐哈尔,180.2,2.2,53.17,25.97,169.75,143.45,62.9
2017-01-05,七台河,148.9,1.22,47.04,44.99,157.26,110.49,33.29
2017-01-05,伊春,87.04,0.76,25.68,25.35,88.25,64.79,13.51
2017-01-05,佳木斯,128.54,1.46,42.72,40.83,126.62,95.73,23.64
2017-01-05,双鸭山,128.22,1.16,30.71,46.96,130.01,94.42,22.86
2017-01-05,哈尔滨,279.63,3.77,114.96,18.4,307.31,229.64,105.7
2017-01-05,大兴安岭地区,73.98,1.0,45.3,29.43,77.89,53.11,58.59
2017-01-05,大庆,166.48,2.0,51.23,40.98,160.23,127.35,32.52
2017-01-05,牡丹江,87.42,1.13,40.32,30.3,93.71,61.6,26.89
2017-01-05,绥化,292.88,2.45,81.17,21.81,351.85,274.89,89.19
2017-01-05,鸡西,74.22,1.32,22.32,45.4,85.66,46.69,21.42
2017-01-05,鹤岗,120.44,1.46,40.72,34.63,142.06,86.52,20.24
2017-01-05,黑河,104.56,0.86,30.43,25.78,99.67,78.14,49.35
2017-01-05,齐齐哈尔,125.47,1.4,40.13,32.28,94.6,94.29,74.49
2017-01-06,七台河,204.49,2.74,67.45,23.67,200.47,163.26,42.09
2017-01-06,伊春,79.46,0.81,29.1,19.99,81.27,57.81,14.33
2017-01-06,佳木斯,110.18,1.4,44.58,40.87,102.05,81.88,21.85
2017-01-06,双鸭山,38.97,0.54,19.21,53.64,34.95,23.52,12.72
2017-01-06,哈尔滨,185.03,2.41,98.31,23.69,172.35,143.98,91.38
2017-01-06,大兴安岭地区,113.81,1.42,57.44,29.73,132.67,86.33,63.42
2017-01-06,大庆,178.3,2.34,65.45,42.43,175.47,137.37,35.89
2017-01-06,牡丹江,102.28,1.31,48.04,18.67,114.74,75.01,37.16
2017-01-06,绥化,90.41,1.39,60.09,29.59,93.35,66.09,71.98
2017-01-06,鸡西,71.52,1.51,26.38,41.81,85.53,40.94,24.7
2017-01-06,鹤岗,173.0,2.25,54.21,25.84,213.11,131.87,29.32
2017-01-06,黑河,107.03,0.85,26.42,31.43,100.21,80.28,39.31
2017-01-06,齐齐哈尔,174.44,1.78,46.73,27.49,141.08,138.98,76.45
2017-01-07,七台河,144.83,1.29,57.83,42.57,150.88,109.22,39.93
2017-01-07,伊春,82.92,0.75,31.59,24.92,81.38,60.05,13.18
2017-01-07,佳木斯,111.05,1.57,46.7,38.69,104.36,83.87,25.43
2017-01-07,双鸭山,61.52,0.83,27.09,45.38,60.4,41.92,16.56
2017-01-07,哈尔滨,282.44,3.12,122.56,20.66,270.52,235.8,106.16
2017-01-07,大兴安岭地区,98.16,1.38,58.98,30.41,92.15,72.48,50.5
2017-01-07,大庆,210.05,2.61,69.46,51.1,205.44,165.51,42.29
2017-01-07,牡丹江,157.23,2.01,58.67,13.5,176.91,121.33,45.91
2017-01-07,绥化,155.67,1.91,59.91,38.93,154.75,120.05,55.96
2017-01-07,鸡西,91.7,1.7,35.11,38.22,113.13,58.87,38.2
2017-01-07,鹤岗,105.11,1.49,33.05,47.77,123.37,75.95,20.23
2017-01-07,黑河,127.55,0.95,25.74,39.68,118.53,97.52,58.43
2017-01-07,齐齐哈尔,248.6,2.11,73.7,27.7,242.5,198.9,86.1
2017-01-08,七台河,138.15,1.34,53.47,42.73,143.76,104.22,36.71
2017-01-08,伊春,66.03,0.76,31.65,16.96,64.74,50.05,10.56
2017-01-08,佳木斯,228.72,2.52,83.39,22.95,224.04,181.25,40.41
2017-01-08,双鸭山,158.79,1.75,45.2,30.96,171.72,125.79,26.85
2017-01-08,哈尔滨,326.99,3.4,127.96,21.64,340.3,288.17,92.47
2017-01-08,大兴安岭地区,43.79,0.75,26.62,44.23,43.4,29.36,33.38
2017-01-08,大庆,244.74,2.9,74.42,52.98,245.46,200.18,43.83
2017-01-08,牡丹江,183.73,2.03,64.05,12.47,207.88,140.66,62.71
2017-01-08,绥化,157.54,2.14,69.48,34.46,167.63,119.56,52.9
2017-01-08,鸡西,118.11,2.34,44.97,29.53,148.6,83.33,40.06
2017-01-08,鹤岗,158.95,2.47,51.6,26.93,199.58,122.33,27.44
2017-01-08,黑河,94.64,0.67,25.51,50.79,87.23,70.22,49.24
2017-01-08,齐齐哈尔,197.5,1.46,40.15,41.85,129.38,166.1,50.65
2017-01-09,七台河,91.88,0.84,30.87,54.28,101.38,62.75,21.4
2017-01-09,伊春,32.3,0.22,8.65,54.84,30.46,19.25,11.42
2017-01-09,佳木斯,100.3,1.09,25.27,54.87,97.62,75.45,16.41
2017-01-09,双鸭山,99.14,0.82,20.93,51.37,100.41,73.97,16.04
2017-01-09,哈尔滨,80.48,1.3,43.44,49.89,82.57,58.01,40.83
2017-01-09,大兴安岭地区,20.7,0.56,12.61,48.61,18.87,9.11,23.0
2017-01-09,大庆,39.89,0.99,27.7,52.77,36.95,21.99,17.74
2017-01-09,牡丹江,80.97,0.75,28.45,48.38,83.13,55.37,25.75
2017-01-09,绥化,67.3,0.94,13.8,51.77,63.29,45.88,15.1
2017-01-09,鸡西,62.48,1.38,14.84,51.12,75.9,32.62,13.19
2017-01-09,鹤岗,62.24,1.01,15.93,56.08,66.02,39.89,13.36
2017-01-09,黑河,29.67,0.2,11.97,49.41,28.34,16.62,15.87
2017-01-09,齐齐哈尔,56.31,0.86,14.44,51.97,30.09,36.98,24.85
2017-01-10,七台河,46.19,0.4,18.62,57.99,48.49,24.81,12.62
2017-01-10,伊春,23.51,0.2,7.97,46.61,21.11,12.75,8.56
2017-01-10,佳木斯,31.1,0.67,15.38,52.53,26.15,19.5,9.92
2017-01-10,双鸭山,35.38,0.36,11.19,44.94,31.84,22.16,10.36
2017-01-10,哈尔滨,39.57,1.29,31.6,45.06,33.06,24.93,26.67
2017-01-10,大兴安岭地区,24.02,0.51,14.62,52.57,22.06,12.25,28.25
2017-01-10,大庆,32.43,0.83,29.36,44.91,30.24,19.27,13.76
2017-01-10,牡丹江,40.88,0.43,16.84,49.45,40.98,19.57,17.98
2017-01-10,绥化,46.83,0.92,10.77,42.5,45.53,29.88,11.44
2017-01-10,鸡西,38.76,1.17,12.35,46.93,41.46,17.92,7.1
2017-01-10,鹤岗,41.51,0.56,9.52,56.3,39.16,23.53,7.29
2017-01-10,黑河,31.94,0.5,12.12,49.46,30.73,18.78,18.74
2017-01-10,齐齐哈尔,47.81,1.03,22.73,40.71,38.46,30.5,40.04
2017-01-11,七台河,46.48,0.49,22.37,47.37,48.07,28.39,13.71
2017-01-11,伊春,31.69,0.24,9.56,45.99,28.53,20.46,10.38
2017-01-11,佳木斯,32.68,0.73,13.36,57.59,28.49,20.58,10.94
2017-01-11,双鸭山,30.71,0.34,9.48,50.33,25.02,19.33,9.2
2017-01-11,哈尔滨,52.23,1.31,42.58,40.37,47.48,35.33,32.23
2017-01-11,大兴安岭地区,27.04,0.66,16.22,58.96,24.41,13.83,27.72
2017-01-11,大庆,34.01,0.61,33.93,49.07,30.19,19.42,17.3
2017-01-11,牡丹江,39.69,0.37,15.28,55.21,39.91,18.96,17.15
2017-01-11,绥化,82.75,1.1,23.69,37.69,86.38,59.04,16.85
2017-01-11,鸡西,33.32,1.15,11.0,57.35,30.64,16.21,5.92
2017-01-11,鹤岗,42.9,0.67,9.53,58.65,43.32,24.26,12.94
2017-01-11,黑河,27.51,0.57,11.35,55.06,26.19,16.61,18.51
2017-01-11,齐齐哈尔,44.17,0.95,22.96,45.61,36.47,27.23,34.86
2017-01-12,七台河,61.03,0.35,13.21,55.88,79.97,22.35,11.84
2017-01-12,伊春,33.88,0.23,5.59,57.09,32.12,18.74,12.09
2017-01-12,佳木斯,34.03,0.67,13.06,61.94,33.58,17.89,13.3
2017-01-12,双鸭山,37.1,0.42,11.27,51.48,38.57,18.8,12.72
2017-01-12,哈尔滨,66.14,1.47,45.19,38.26,65.32,46.45,39.49
2017-01-12,大兴安岭地区,23.17,0.56,15.04,64.33,18.91,8.92,25.48
2017-01-12,大庆,34.3,0.66,27.77,48.84,30.84,19.57,17.34
2017-01-12,牡丹江,49.73,0.53,18.43,49.77,51.88,27.57,21.96
2017-01-12,绥化,68.17,1.07,17.42,42.44,63.91,47.79,16.02
2017-01-12,鸡西,34.41,0.99,6.66,62.41,35.93,12.33,3.56
2017-01-12,鹤岗,42.09,0.8,7.13,62.52,44.68,20.32,12.42
2017-01-12,黑河,33.44,0.29,10.36,56.17,34.9,12.28,16.51
2017-01-12,齐齐哈尔,38.54,0.84,18.23,46.02,32.41,22.41,28.59
2017-01-13,七台河,54.37,0.49,22.68,55.74,53.12,35.51,14.02
2017-01-13,伊春,39.96,0.34,18.43,38.31,41.34,25.51,10.88
2017-01-13,佳木斯,45.3,0.83,22.18,45.75,40.2,30.68,14.85
2017-01-13,双鸭山,59.06,0.63,22.29,35.22,56.68,41.29,14.36
2017-01-13,哈尔滨,48.85,0.88,36.6,44.27,48.55,27.97,32.16
2017-01-13,大兴安岭地区,33.23,0.68,19.12,60.71,29.09,18.4,41.33
2017-01-13,大庆,31.14,0.57,20.37,58.45,29.42,14.81,12.28
2017-01-13,牡丹江,41.1,0.42,15.97,51.01,39.53,22.96,22.91
2017-01-13,绥化,49.79,0.9,12.62,43.21,48.67,31.79,14.85
2017-01-13,鸡西,39.92,1.16,10.74,54.38,39.58,19.53,5.61
2017-01-13,鹤岗,56.45,0.81,15.18,48.36,61.51,35.63,13.17
2017-01-13,黑河,29.4,0.35,15.6,51.6,28.16,16.85,15.47
2017-01-13,齐齐哈尔,31.01,0.77,14.88,48.14,28.0,15.38,30.81
2017-01-14,七台河,57.29,0.36,12.81,52.71,47.48,39.67,10.08
2017-01-14,伊春,25.68,0.22,11.99,40.85,21.2,15.9,8.77
