time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,七台河,184.63,2.11,54.05,24.61,221.43,143.62,44.27
2017-01-02,七台河,181.25,1.76,48.77,37.87,185.1,139.15,35.88
2017-01-03,七台河,174.07,1.79,63.12,26.22,208.2,130.02,33.52
2017-01-04,七台河,145.23,1.21,39.54,44.96,142.88,109.93,31.67
2017-01-05,七台河,148.9,1.22,47.04,44.99,157.26,110.49,33.29
2017-01-06,七台河,204.49,2.74,67.45,23.67,200.47,163.26,42.09
2017-01-07,七台河,144.83,1.29,57.83,42.57,150.88,109.22,39.93
2017-01-08,七台河,138.15,1.34,53.47,42.73,143.76,104.22,36.71
2017-01-09,七台河,91.88,0.84,30.87,54.28,101.38,62.75,21.4
2017-01-10,七台河,46.19,0.4,18.62,57.99,48.49,24.81,12.62
2017-01-11,七台河,46.48,0.49,22.37,47.37,48.07,28.39,13.71
2017-01-12,七台河,61.03,0.35,13.21,55.88,79.97,22.35,11.84
2017-01-13,七台河,54.37,0.49,22.68,55.74,53.12,35.51,14.02
2017-01-14,七台河,57.29,0.36,12.81,52.71,47.48,39.67,10.08
2017-01-15,七台河,44.09,0.34,18.05,57.96,38.83,29.14,10.61
2017-01-16,七台河,72.05,0.53,28.35,55.93,66.39,52.33,18.15
2017-01-17,七台河,107.52,1.08,49.69,44.24,112.28,80.13,24.11
2017-01-18,七台河,123.74,1.32,44.74,45.3,129.16,92.98,24.44
2017-01-19,七台河,122.06,1.11,38.22,48.72,121.51,91.97,18.75
2017-01-20,七台河,130.86,1.22,38.75,44.58,130.43,98.53,19.93
2017-01-21,七台河,140.07,1.51,41.51,42.65,145.38,107.69,23.89
2017-01-22,七台河,102.29,1.14,30.29,53.42,98.32,76.51,21.79
2017-01-23,七台河,72.26,0.84,30.17,56.4,66.91,51.79,20.68
2017-01-24,七台河,70.26,0.86,26.83,62.76,68.97,49.76,17.58
2017-01-25,七台河,87.18,1.02,35.33,61.11,88.28,63.44,21.44
2017-01-26,七台河,113.22,1.63,41.1,48.55,131.04,82.16,34.31
2017-01-27,七台河,61.07,0.7,11.81,79.1,66.92,38.67,11.81
2017-01-28,七台河,66.67,0.82,22.53,66.38,71.56,47.05,17.42
2017-01-29,七台河,91.22,1.19,28.7,48.3,102.76,65.94,16.91
2017-01-30,七台河,62.4,0.79,17.54,65.06,63.51,40.9,11.83
2017-01-31,七台河,56.5,0.63,19.21,72.29,52.44,37.82,14.51
2017-02-01,七台河,59.65,0.62,15.06,70.79,67.15,32.58,11.86
2017-02-02,七台河,56.49,0.66,20.15,66.78,58.07,36.21,15.29
2017-02-03,七台河,73.49,0.96,23.03,67.46,75.93,50.81,25.54
2017-02-04,七台河,154.51,1.59,23.72,75.23,165.22,116.06,28.71
2017-02-05,七台河,134.56,1.45,24.44,61.49,141.75,101.88,23.17
2017-02-06,七台河,73.85,0.86,15.35,64.59,73.57,44.36,132.8
2017-02-07,七台河,49.81,0.65,20.82,66.84,56.11,27.69,11.68
2017-02-08,七台河,54.07,0.64,21.86,68.69,58.61,34.42,13.12
2017-02-09,七台河,63.94,0.72,21.19,67.83,58.95,44.06,12.93
2017-02-10,七台河,52.12,0.6,18.93,63.28,53.88,32.85,9.42
2017-02-11,七台河,65.84,0.76,27.91,56.6,60.8,46.72,13.66
2017-02-12,七台河,86.65,0.94,32.52,67.36,72.56,62.09,14.59
2017-02-13,七台河,97.54,1.1,36.99,65.72,98.51,71.8,15.51
2017-02-14,七台河,64.81,0.77,28.96,76.43,63.21,45.42,11.42
2017-02-15,七台河,76.0,1.09,37.64,72.68,81.13,53.56,16.61
2017-02-16,七台河,81.1,0.81,25.48,82.9,99.31,48.35,11.59
2017-02-17,七台河,55.23,0.66,17.35,85.12,68.73,23.33,6.39
2017-02-18,七台河,43.36,0.58,17.49,78.51,43.88,23.43,7.1
2017-02-19,七台河,59.21,0.81,24.36,66.35,69.04,36.68,12.93
2017-02-20,七台河,50.31,0.67,15.79,76.29,53.71,28.44,9.06
2017-02-21,七台河,51.56,0.65,22.65,72.33,61.45,29.43,11.61
2017-02-22,七台河,60.83,0.96,36.01,60.12,65.87,40.03,14.26
2017-02-23,七台河,54.17,0.76,19.74,88.68,51.52,34.43,7.93
2017-02-24,七台河,49.88,0.77,23.51,86.68,46.4,32.28,8.94
2017-02-25,七台河,51.03,0.69,17.31,88.51,46.41,31.38,10.04
2017-02-26,七台河,50.62,0.93,28.71,64.68,57.93,31.61,11.99
2017-02-27,七台河,54.39,1.03,25.73,69.34,58.06,34.52,19.66
2017-02-28,七台河,65.14,0.92,23.89,85.76,60.34,45.12,13.35
2017-03-01,七台河,59.73,0.98,25.03,74.73,56.71,40.31,7.54
2017-03-02,七台河,41.17,0.85,17.75,78.81,39.87,23.94,7.75
2017-03-03,七台河,47.07,0.9,22.72,74.01,50.34,27.49,6.85
2017-03-04,七台河,47.07,0.84,16.25,67.99,50.09,24.22,5.99
2017-03-05,七台河,50.21,1.0,19.07,65.46,52.47,30.07,8.1
2017-03-06,七台河,59.46,1.01,17.35,69.83,69.54,31.7,8.78
2017-03-07,七台河,46.46,0.84,18.62,77.61,44.98,26.5,7.26
2017-03-08,七台河,37.5,0.88,17.09,89.06,32.41,22.14,5.83
2017-03-09,七台河,45.84,0.85,21.51,75.66,41.15,25.38,8.51
2017-03-10,七台河,46.35,0.73,21.42,78.14,42.61,26.94,8.71
2017-03-11,七台河,88.47,1.04,35.5,75.24,102.58,63.04,16.72
2017-03-12,七台河,94.99,0.68,29.81,69.43,108.9,69.07,15.78
