time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,伊春,73.75,0.84,24.44,22.92,75.69,66.6,10.18
2017-01-02,伊春,90.87,0.81,21.42,29.47,89.29,66.89,10.72
2017-01-03,伊春,100.88,0.9,26.18,24.47,93.7,78.69,11.03
2017-01-04,伊春,89.89,0.81,26.9,24.82,82.36,65.03,11.81
2017-01-05,伊春,87.04,0.76,25.68,25.35,88.25,64.79,13.51
2017-01-06,伊春,79.46,0.81,29.1,19.99,81.27,57.81,14.33
2017-01-07,伊春,82.92,0.75,31.59,24.92,81.38,60.05,13.18
2017-01-08,伊春,66.03,0.76,31.65,16.96,64.74,50.05,10.56
2017-01-09,伊春,32.3,0.22,8.65,54.84,30.46,19.25,11.42
2017-01-10,伊春,23.51,0.2,7.97,46.61,21.11,12.75,8.56
2017-01-11,伊春,31.69,0.24,9.56,45.99,28.53,20.46,10.38
2017-01-12,伊春,33.88,0.23,5.59,57.09,32.12,18.74,12.09
2017-01-13,伊春,39.96,0.34,18.43,38.31,41.34,25.51,10.88
2017-01-14,伊春,25.68,0.22,11.99,40.85,21.2,15.9,8.77
2017-01-15,伊春,28.75,0.3,22.15,35.37,27.96,17.29,9.24
2017-01-16,伊春,33.16,0.34,21.65,30.97,33.12,20.41,9.13
2017-01-17,伊春,51.96,0.52,25.62,28.81,67.86,36.13,9.75
2017-01-18,伊春,50.89,0.42,19.67,36.31,55.73,35.57,11.15
2017-01-19,伊春,102.33,0.69,28.39,36.75,101.91,76.59,14.94
2017-01-20,伊春,102.85,0.71,22.49,36.38,116.09,76.85,10.53
2017-01-21,伊春,95.71,0.68,23.78,38.19,96.9,73.14,14.61
2017-01-22,伊春,32.05,0.3,20.86,40.57,28.29,19.81,8.43
2017-01-23,伊春,47.35,0.39,19.77,41.5,47.72,32.3,10.65
2017-01-24,伊春,56.52,0.45,17.74,41.89,50.85,39.72,12.46
2017-01-25,伊春,89.85,0.77,36.12,34.56,86.12,66.44,14.67
2017-01-26,伊春,69.0,0.86,24.44,49.76,65.66,47.71,18.5
2017-01-27,伊春,34.07,0.16,5.17,68.85,31.36,17.78,11.2
2017-01-28,伊春,78.0,0.39,17.56,49.44,77.84,57.68,18.06
2017-01-29,伊春,46.14,0.39,20.48,38.02,52.87,30.48,8.14
2017-01-30,伊春,36.07,0.3,11.07,56.91,33.41,20.83,8.96
2017-01-31,伊春,59.02,0.45,17.54,59.69,68.67,39.58,12.15
2017-02-01,伊春,30.0,0.33,4.92,67.92,24.77,15.64,10.31
2017-02-02,伊春,36.46,0.28,10.68,59.03,36.94,21.68,11.64
2017-02-03,伊春,51.57,0.43,18.18,59.58,53.93,34.39,12.6
2017-02-04,伊春,76.0,0.67,33.38,44.43,86.14,55.26,12.38
2017-02-05,伊春,36.21,0.35,12.7,53.42,37.86,20.73,7.47
2017-02-06,伊春,27.28,0.24,10.64,55.81,23.08,13.77,7.93
2017-02-07,伊春,27.29,0.26,14.07,54.46,22.57,13.81,8.23
2017-02-08,伊春,26.97,0.25,10.43,55.57,22.78,14.58,8.18
2017-02-09,伊春,25.79,0.24,7.89,59.89,19.27,13.74,10.18
2017-02-10,伊春,22.04,0.21,7.56,61.97,15.41,9.85,7.78
2017-02-11,伊春,27.58,0.22,8.07,63.7,24.05,13.55,10.18
2017-02-12,伊春,29.28,0.26,15.36,51.97,27.15,16.9,8.72
2017-02-13,伊春,32.53,0.32,16.41,51.91,30.41,18.98,8.92
2017-02-14,伊春,33.77,0.29,11.16,71.36,29.38,20.83,9.55
2017-02-15,伊春,62.26,0.58,24.11,68.56,60.63,43.33,17.51
2017-02-16,伊春,63.43,0.43,11.97,86.0,61.9,44.16,13.28
2017-02-17,伊春,25.62,0.17,8.46,67.56,19.86,12.93,7.61
2017-02-18,伊春,29.04,0.2,5.72,65.64,22.64,14.74,7.93
2017-02-19,伊春,37.09,0.3,10.58,57.54,37.42,21.59,10.13
2017-02-20,伊春,28.89,0.22,7.35,68.03,21.45,15.1,9.15
2017-02-21,伊春,36.6,0.35,15.12,61.96,36.63,21.79,10.54
2017-02-22,伊春,48.93,0.44,14.75,77.51,42.54,32.35,15.33
2017-02-23,伊春,28.19,0.22,12.78,70.62,16.87,14.28,6.94
2017-02-24,伊春,38.78,0.3,11.47,74.51,35.61,23.82,7.78
2017-02-25,伊春,30.94,0.21,9.31,70.93,22.66,15.04,4.94
2017-02-26,伊春,29.17,0.33,17.24,49.89,23.7,16.08,6.58
2017-02-27,伊春,38.04,0.58,12.12,77.29,34.21,23.08,10.71
2017-02-28,伊春,54.93,0.46,18.41,77.62,51.68,37.46,8.62
2017-03-01,伊春,27.96,0.13,4.57,76.18,18.85,13.03,5.35
2017-03-02,伊春,29.2,0.19,9.88,60.9,26.79,14.32,5.67
2017-03-03,伊春,30.58,0.21,7.29,62.04,26.38,15.32,6.25
2017-03-04,伊春,27.47,0.19,5.15,65.04,20.86,13.53,5.04
2017-03-05,伊春,28.61,0.2,6.82,67.07,21.65,15.33,6.24
2017-03-06,伊春,25.04,0.21,5.92,70.39,18.91,12.1,6.03
2017-03-07,伊春,27.25,0.17,5.68,78.54,17.66,12.57,5.18
2017-03-08,伊春,26.72,0.15,5.88,78.52,13.9,8.27,5.6
2017-03-09,伊春,22.61,0.24,12.1,59.22,16.82,9.62,7.29
2017-03-10,伊春,29.71,0.24,9.88,66.51,25.13,15.85,5.96
2017-03-11,伊春,43.22,0.38,16.17,79.38,40.4,27.56,11.18
2017-03-12,伊春,50.62,0.32,13.36,96.38,47.17,34.43,10.67
2017-03-13,伊春,29.86,0.21,7.1,77.42,25.88,15.29,5.15
2017-03-14,伊春,26.61,0.32,9.36,72.18,16.91,10.36,4.39
2017-03-15,伊春,31.2,0.29,10.87,73.1,25.75,13.18,6.03
2017-03-16,伊春,41.06,0.36,14.19,68.32,35.71,22.59,5.92
2017-03-17,伊春,31.41,0.35,15.67,53.37,28.51,14.31,5.52
2017-03-18,伊春,31.49,0.35,16.62,54.06,27.53,13.51,6.65
2017-03-19,伊春,36.51,0.3,12.44,60.62,36.12,18.96,6.89
2017-03-20,伊春,36.71,0.33,15.24,52.11,34.06,20.54,7.86
2017-03-21,伊春,24.24,0.29,6.82,64.04,16.4,10.78,7.81
2017-03-22,伊春,27.5,0.23,7.38,70.31,17.77,11.09,7.38
2017-03-23,伊春,25.01,0.23,9.99,62.0,17.69,10.88,6.86
2017-03-24,伊春,25.93,0.34,10.36,64.43,20.29,11.35,6.72
2017-03-25,伊春,33.99,0.31,9.31,69.96,28.3,16.07,6.42
2017-03-26,伊春,28.57,0.29,10.17,67.9,22.57,13.32,6.01
2017-03-27,伊春,30.01,0.34,13.87,65.12,25.52,13.46,7.09
2017-03-28,伊春,39.71,0.37,14.22,69.42,36.49,23.72,7.0
2017-03-29,伊春,41.33,0.3,13.83,63.64,38.98,23.36,9.08
2017-03-30,伊春,32.96,0.28,11.54,64.25,26.46,15.71,7.46
2017-03-31,伊春,33.65,0.28,11.61,58.39,31.24,17.87,7.06
2017-04-01,伊春,33.75,0.25,8.78,64.77,30.74,17.12,6.41
2017-04-02,伊春,48.74,0.31,12.64,62.19,46.2,30.96,7.19
2017-04-03,伊春,30.8,0.33,9.94,58.75,27.36,15.55,7.13
2017-04-04,伊春,80.76,0.62,16.38,107.9,93.7,54.94,13.76
2017-04-05,伊春,87.07,0.52,14.04,90.79,129.74,53.61,9.9
