time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,佳木斯,202.56,2.52,64.18,16.19,209.22,159.55,29.05
2017-01-02,佳木斯,226.71,2.38,62.71,26.07,228.58,179.77,28.14
2017-01-03,佳木斯,140.12,1.64,50.77,37.59,137.5,105.83,26.22
2017-01-04,佳木斯,182.1,1.88,55.17,33.88,178.99,140.45,24.31
2017-01-05,佳木斯,128.54,1.46,42.72,40.83,126.62,95.73,23.64
2017-01-06,佳木斯,110.18,1.4,44.58,40.87,102.05,81.88,21.85
2017-01-07,佳木斯,111.05,1.57,46.7,38.69,104.36,83.87,25.43
2017-01-08,佳木斯,228.72,2.52,83.39,22.95,224.04,181.25,40.41
2017-01-09,佳木斯,100.3,1.09,25.27,54.87,97.62,75.45,16.41
2017-01-10,佳木斯,31.1,0.67,15.38,52.53,26.15,19.5,9.92
2017-01-11,佳木斯,32.68,0.73,13.36,57.59,28.49,20.58,10.94
2017-01-12,佳木斯,34.03,0.67,13.06,61.94,33.58,17.89,13.3
2017-01-13,佳木斯,45.3,0.83,22.18,45.75,40.2,30.68,14.85
2017-01-14,佳木斯,40.84,0.78,21.6,44.78,38.46,26.57,14.48
2017-01-15,佳木斯,41.85,0.76,26.05,49.44,38.29,27.37,16.64
2017-01-16,佳木斯,77.79,1.04,33.22,45.6,69.99,56.86,23.18
2017-01-17,佳木斯,129.86,1.68,48.85,38.63,119.76,99.3,25.52
2017-01-18,佳木斯,185.99,1.95,52.55,38.12,175.79,145.3,23.1
2017-01-19,佳木斯,96.01,1.27,30.36,56.42,84.15,71.47,19.23
2017-01-20,佳木斯,166.07,1.85,40.19,39.38,148.45,126.87,18.46
2017-01-21,佳木斯,154.25,1.63,39.22,38.15,142.16,117.58,25.43
2017-01-22,佳木斯,78.42,1.07,20.69,54.51,70.43,56.38,14.75
2017-01-23,佳木斯,60.23,1.0,20.05,57.59,50.39,42.17,17.07
2017-01-24,佳木斯,54.65,0.83,13.18,66.26,45.75,37.77,15.67
2017-01-25,佳木斯,67.43,0.85,19.32,68.25,57.94,48.48,23.6
2017-01-26,佳木斯,80.06,0.91,24.09,60.35,72.73,58.66,23.31
2017-01-27,佳木斯,59.3,0.51,9.99,72.13,49.91,40.25,18.1
2017-01-28,佳木斯,78.62,0.76,21.0,60.29,65.24,57.16,18.24
2017-01-29,佳木斯,116.24,1.27,32.73,39.1,102.88,86.43,16.16
2017-01-30,佳木斯,53.06,0.75,14.08,61.03,45.54,37.08,12.1
2017-01-31,佳木斯,50.4,0.6,11.61,68.69,42.63,34.17,19.37
2017-02-01,佳木斯,40.67,0.46,10.28,69.33,31.01,26.31,11.43
2017-02-02,佳木斯,39.64,0.55,15.24,68.17,34.45,25.82,11.86
2017-02-03,佳木斯,46.13,0.62,17.62,79.38,39.21,31.38,15.83
2017-02-04,佳木斯,107.48,1.22,40.73,68.5,91.43,80.46,17.9
2017-02-05,佳木斯,151.72,1.61,49.01,47.97,146.02,114.68,13.03
2017-02-06,佳木斯,32.86,0.57,14.5,67.0,24.46,20.14,8.9
2017-02-07,佳木斯,36.73,0.66,20.7,65.84,29.62,21.58,10.28
2017-02-08,佳木斯,37.35,0.7,17.78,66.67,31.37,22.81,9.69
2017-02-09,佳木斯,37.78,0.72,19.55,62.1,32.67,24.08,11.89
2017-02-10,佳木斯,41.91,0.7,22.11,58.67,36.37,27.7,10.56
2017-02-11,佳木斯,60.69,0.76,23.26,62.46,49.84,43.63,15.93
2017-02-12,佳木斯,82.88,0.98,32.62,61.51,77.56,60.75,14.39
2017-02-13,佳木斯,86.93,1.06,36.24,61.62,80.99,63.78,13.73
2017-02-14,佳木斯,64.18,0.77,21.24,80.47,57.65,45.68,13.82
2017-02-15,佳木斯,65.47,0.85,34.17,81.62,55.69,46.3,17.03
2017-02-16,佳木斯,86.94,0.91,30.77,73.12,79.07,64.19,13.94
2017-02-17,佳木斯,31.47,0.55,14.01,77.55,24.66,16.03,9.87
2017-02-18,佳木斯,30.62,0.63,12.76,69.81,24.54,16.45,8.02
2017-02-19,佳木斯,50.44,0.86,31.93,59.66,48.97,33.43,14.5
2017-02-20,佳木斯,37.96,0.73,19.32,73.03,33.83,22.47,10.99
2017-02-21,佳木斯,40.79,0.64,16.52,81.67,38.53,25.12,12.07
2017-02-22,佳木斯,46.97,0.66,24.59,78.02,39.5,31.83,12.07
2017-02-23,佳木斯,42.34,0.5,17.88,87.96,33.88,25.93,9.61
2017-02-24,佳木斯,44.26,0.54,18.27,86.28,38.04,29.72,12.33
2017-02-25,佳木斯,35.09,0.5,19.94,79.57,28.24,19.39,13.04
2017-02-26,佳木斯,45.98,0.68,32.1,64.82,39.18,29.01,12.21
2017-02-27,佳木斯,42.33,0.61,20.66,81.96,36.7,27.8,12.62
2017-02-28,佳木斯,60.02,0.81,21.64,86.03,49.97,41.86,14.83
2017-03-01,佳木斯,50.78,0.68,24.77,75.65,47.65,34.73,10.94
2017-03-02,佳木斯,41.8,0.65,27.46,63.1,37.88,27.22,12.99
2017-03-03,佳木斯,48.27,0.63,23.96,67.87,44.48,32.35,10.44
2017-03-04,佳木斯,27.16,0.41,13.97,69.98,21.77,13.64,9.61
2017-03-05,佳木斯,34.43,0.5,19.03,72.97,30.28,20.7,10.13
2017-03-06,佳木斯,32.99,0.51,16.26,69.76,29.26,18.36,8.59
2017-03-07,佳木斯,32.79,0.53,16.88,82.27,27.24,20.81,11.11
2017-03-08,佳木斯,29.49,0.46,17.17,81.44,21.74,13.81,10.11
2017-03-09,佳木斯,32.38,0.57,23.33,64.17,28.02,18.46,13.23
2017-03-10,佳木斯,37.38,0.7,23.57,65.69,32.47,21.88,10.8
2017-03-11,佳木斯,61.05,0.77,35.05,76.84,56.6,42.97,14.38
2017-03-12,佳木斯,49.08,0.64,21.79,72.06,45.81,33.56,9.76
2017-03-13,佳木斯,29.69,0.53,17.07,78.78,23.69,17.01,8.73
2017-03-14,佳木斯,33.41,0.64,22.69,66.17,28.27,19.56,8.45
2017-03-15,佳木斯,40.35,0.61,23.42,72.51,34.3,24.03,7.64
2017-03-16,佳木斯,54.98,0.86,30.45,73.56,51.91,35.87,10.28
2017-03-17,佳木斯,49.62,0.87,34.62,58.53,49.16,31.0,12.25
2017-03-18,佳木斯,71.59,1.09,46.91,48.98,79.88,50.99,13.91
2017-03-19,佳木斯,68.37,0.83,30.72,67.71,70.95,48.66,10.12
2017-03-20,佳木斯,52.25,0.66,19.2,91.74,52.9,34.88,8.39
2017-03-21,佳木斯,32.89,0.55,16.26,74.65,26.62,18.11,7.77
2017-03-22,佳木斯,31.94,0.51,18.24,74.03,24.91,15.87,7.2
2017-03-23,佳木斯,38.12,0.59,22.87,68.27,34.76,23.61,8.65
2017-03-24,佳木斯,39.73,0.56,22.52,72.26,35.0,22.35,9.47
2017-03-25,佳木斯,53.06,0.64,29.92,71.67,50.26,36.57,9.44
2017-03-26,佳木斯,65.88,0.76,36.65,59.94,68.48,45.77,10.19
2017-03-27,佳木斯,64.19,0.73,31.9,68.5,68.0,43.63,12.5
2017-03-28,佳木斯,66.16,0.7,28.5,77.42,60.36,47.49,10.8
2017-03-29,佳木斯,100.45,1.04,47.69,57.22,97.34,74.28,12.33
2017-03-30,佳木斯,63.44,0.82,33.7,64.15,61.49,42.58,9.59
2017-03-31,佳木斯,77.06,0.89,38.93,65.27,77.5,55.03,11.39
2017-04-01,佳木斯,75.11,0.79,28.56,82.2,75.98,54.69,11.32
2017-04-02,佳木斯,59.4,0.66,19.1,92.58,64.12,40.65,9.37
2017-04-03,佳木斯,45.0,0.78,24.33,84.31,39.01,27.88,12.9
2017-04-04,佳木斯,95.71,0.96,24.45,135.11,101.16,68.27,14.69
2017-04-05,佳木斯,115.18,0.94,29.86,136.17,155.87,83.91,17.57
2017-04-06,佳木斯,83.3,0.65,24.81,64.3,91.81,58.31,9.77
2017-04-07,佳木斯,69.74,0.74,38.56,70.89,67.4,48.64,10.84
2017-04-08,佳木斯,88.05,0.65,27.22,65.42,84.77,59.38,7.94
2017-04-09,佳木斯,39.84,0.45,21.61,84.14,34.26,21.79,7.79
2017-04-10,佳木斯,89.29,0.61,24.32,112.33,99.08,61.13,9.9
2017-04-11,佳木斯,39.52,0.43,17.75,81.08,35.92,20.46,8.22
2017-04-12,佳木斯,43.27,0.46,20.37,72.26,41.91,26.25,7.78
2017-04-13,佳木斯,79.23,0.61,27.62,88.37,76.03,57.05,9.17
2017-04-14,佳木斯,122.07,0.75,36.57,80.78,127.98,91.16,12.57
2017-04-15,佳木斯,123.92,0.63,25.84,95.14,154.26,75.97,8.79
2017-04-16,佳木斯,37.43,0.44,17.1,75.17,30.51,20.14,7.42
2017-04-17,佳木斯,104.71,0.83,38.09,69.87,104.46,77.93,12.77
2017-04-18,佳木斯,51.27,0.5,20.19,97.71,47.01,33.9,8.68
2017-04-19,佳木斯,29.19,0.43,17.75,69.27,21.7,16.7,7.56
2017-04-20,佳木斯,32.52,0.49,26.69,53.21,27.93,20.23,7.58
