time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,双鸭山,154.18,1.7,39.94,34.55,171.89,121.8,27.63
2017-01-02,双鸭山,162.43,1.71,42.15,34.95,170.08,125.03,22.07
2017-01-03,双鸭山,131.9,1.38,37.35,41.42,134.59,101.75,25.33
2017-01-04,双鸭山,157.48,1.46,43.86,30.65,160.42,120.46,19.34
2017-01-05,双鸭山,128.22,1.16,30.71,46.96,130.01,94.42,22.86
2017-01-06,双鸭山,38.97,0.54,19.21,53.64,34.95,23.52,12.72
2017-01-07,双鸭山,61.52,0.83,27.09,45.38,60.4,41.92,16.56
2017-01-08,双鸭山,158.79,1.75,45.2,30.96,171.72,125.79,26.85
2017-01-09,双鸭山,99.14,0.82,20.93,51.37,100.41,73.97,16.04
2017-01-10,双鸭山,35.38,0.36,11.19,44.94,31.84,22.16,10.36
2017-01-11,双鸭山,30.71,0.34,9.48,50.33,25.02,19.33,9.2
2017-01-12,双鸭山,37.1,0.42,11.27,51.48,38.57,18.8,12.72
2017-01-13,双鸭山,59.06,0.63,22.29,35.22,56.68,41.29,14.36
2017-01-14,双鸭山,51.11,0.65,24.76,27.08,52.46,33.75,15.75
2017-01-15,双鸭山,35.89,0.44,14.41,43.88,30.74,22.56,12.62
2017-01-16,双鸭山,73.3,0.68,24.02,41.04,64.07,53.1,23.62
2017-01-17,双鸭山,99.09,1.09,32.59,40.15,94.24,72.67,22.62
2017-01-18,双鸭山,157.22,1.44,37.65,39.75,158.27,121.61,17.09
2017-01-19,双鸭山,143.45,0.97,26.45,45.33,128.78,108.49,31.18
2017-01-20,双鸭山,127.42,1.15,33.7,32.19,121.53,95.56,26.16
2017-01-21,双鸭山,142.61,1.02,34.96,35.54,129.19,108.2,31.23
2017-01-22,双鸭山,73.02,0.64,30.05,45.24,67.66,51.64,20.97
2017-01-23,双鸭山,68.72,0.59,26.68,46.68,63.71,48.41,24.14
2017-01-24,双鸭山,73.52,0.69,32.4,49.68,64.26,53.23,32.46
2017-01-25,双鸭山,82.03,0.74,32.68,58.01,73.48,59.77,33.39
2017-01-26,双鸭山,73.32,0.72,29.87,58.09,69.83,52.53,23.66
2017-01-27,双鸭山,64.93,0.55,15.08,58.74,58.16,45.3,16.15
2017-01-28,双鸭山,65.39,0.68,17.93,53.66,60.19,46.79,19.7
2017-01-29,双鸭山,91.74,1.22,22.27,42.52,93.01,67.91,23.16
2017-01-30,双鸭山,57.01,0.67,18.98,49.5,53.43,39.26,19.81
2017-01-31,双鸭山,55.36,0.55,14.94,61.06,48.93,36.99,21.56
2017-02-01,双鸭山,37.15,0.41,12.54,58.0,31.67,23.67,10.45
2017-02-02,双鸭山,47.65,0.72,19.35,51.94,42.99,31.0,17.57
2017-02-03,双鸭山,57.31,0.66,17.29,63.29,51.87,38.6,18.81
2017-02-04,双鸭山,96.75,1.01,26.8,61.09,89.39,70.87,19.6
2017-02-05,双鸭山,87.88,1.06,31.54,47.59,87.49,63.9,14.9
2017-02-06,双鸭山,31.49,0.45,11.25,59.25,27.32,16.61,9.35
2017-02-07,双鸭山,33.14,0.48,12.33,61.07,28.26,18.51,9.07
2017-02-08,双鸭山,46.12,0.56,15.14,57.8,39.64,29.89,10.43
2017-02-09,双鸭山,42.05,0.52,15.76,54.65,34.07,27.17,9.75
2017-02-10,双鸭山,38.57,0.45,21.42,54.69,36.09,23.9,9.51
