time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,哈尔滨,228.56,2.76,77.72,17.53,227.71,180.16,76.68
2017-01-02,哈尔滨,247.03,2.41,81.99,22.95,230.06,197.24,74.79
2017-01-03,哈尔滨,124.89,1.45,63.34,34.77,119.31,93.03,63.02
2017-01-04,哈尔滨,266.16,3.21,86.19,26.59,250.45,218.47,70.67
2017-01-05,哈尔滨,279.63,3.77,114.96,18.4,307.31,229.64,105.7
2017-01-06,哈尔滨,185.03,2.41,98.31,23.69,172.35,143.98,91.38
2017-01-07,哈尔滨,282.44,3.12,122.56,20.66,270.52,235.8,106.16
2017-01-08,哈尔滨,326.99,3.4,127.96,21.64,340.3,288.17,92.47
2017-01-09,哈尔滨,80.48,1.3,43.44,49.89,82.57,58.01,40.83
2017-01-10,哈尔滨,39.57,1.29,31.6,45.06,33.06,24.93,26.67
2017-01-11,哈尔滨,52.23,1.31,42.58,40.37,47.48,35.33,32.23
2017-01-12,哈尔滨,66.14,1.47,45.19,38.26,65.32,46.45,39.49
2017-01-13,哈尔滨,48.85,0.88,36.6,44.27,48.55,27.97,32.16
2017-01-14,哈尔滨,44.77,0.9,39.59,43.7,42.21,29.58,40.48
2017-01-15,哈尔滨,48.13,1.0,38.21,46.34,47.25,31.06,42.03
2017-01-16,哈尔滨,217.93,2.65,93.88,25.53,198.54,179.87,76.49
2017-01-17,哈尔滨,291.56,3.04,125.33,19.86,278.63,252.8,101.94
2017-01-18,哈尔滨,228.29,1.8,87.06,34.55,211.59,187.71,63.91
2017-01-19,哈尔滨,171.55,1.52,75.19,25.82,155.49,134.87,60.76
2017-01-20,哈尔滨,173.34,1.66,66.35,30.77,169.54,136.62,53.16
2017-01-21,哈尔滨,119.36,1.42,62.51,30.65,110.62,90.12,67.19
2017-01-22,哈尔滨,86.78,1.02,45.7,43.73,69.92,64.01,43.62
2017-01-23,哈尔滨,102.62,1.28,54.27,37.89,87.77,77.89,47.98
2017-01-24,哈尔滨,171.71,1.79,71.24,38.48,153.41,132.68,72.56
2017-01-25,哈尔滨,142.29,1.33,64.89,55.64,137.39,107.72,83.94
2017-01-26,哈尔滨,76.87,1.13,37.02,73.88,73.25,54.68,49.62
2017-01-27,哈尔滨,49.53,1.4,26.94,61.92,49.57,31.45,35.91
2017-01-28,哈尔滨,233.98,2.02,62.77,50.17,238.25,182.22,81.79
2017-01-29,哈尔滨,105.88,1.63,42.21,56.66,89.88,79.18,52.49
2017-01-30,哈尔滨,67.39,1.63,35.47,55.12,61.72,47.95,38.22
2017-01-31,哈尔滨,72.91,1.54,38.08,52.99,67.49,52.54,46.47
2017-02-01,哈尔滨,45.16,1.21,27.38,57.49,43.19,28.79,31.93
2017-02-02,哈尔滨,45.03,1.18,29.01,62.58,42.77,27.21,33.45
2017-02-03,哈尔滨,157.83,2.17,71.17,54.04,143.24,122.34,65.2
2017-02-04,哈尔滨,268.77,3.46,103.65,46.24,257.92,220.36,86.33
2017-02-05,哈尔滨,155.62,1.83,69.69,64.1,148.63,119.34,57.1
2017-02-06,哈尔滨,48.78,1.73,41.24,56.93,45.96,30.26,35.06
2017-02-07,哈尔滨,101.64,2.22,67.39,43.39,99.17,75.25,47.95
2017-02-08,哈尔滨,147.23,2.51,67.61,42.87,135.11,113.83,39.66
2017-02-09,哈尔滨,63.97,1.43,45.34,54.5,59.94,44.4,32.58
2017-02-10,哈尔滨,42.38,1.09,37.42,58.72,40.38,26.06,26.44
2017-02-11,哈尔滨,58.0,1.14,39.03,54.78,60.55,39.32,34.78
2017-02-12,哈尔滨,198.35,1.95,77.57,47.44,164.16,160.94,59.21
