time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,大庆,155.94,1.93,53.33,17.46,164.53,116.69,27.3
2017-01-02,大庆,215.13,2.42,63.93,29.65,206.4,168.8,36.76
2017-01-03,大庆,138.51,1.72,39.88,28.7,134.89,104.86,25.92
2017-01-04,大庆,214.7,2.39,63.14,29.17,210.97,168.98,39.48
2017-01-05,大庆,166.48,2.0,51.23,40.98,160.23,127.35,32.52
2017-01-06,大庆,178.3,2.34,65.45,42.43,175.47,137.37,35.89
2017-01-07,大庆,210.05,2.61,69.46,51.1,205.44,165.51,42.29
2017-01-08,大庆,244.74,2.9,74.42,52.98,245.46,200.18,43.83
2017-01-09,大庆,39.89,0.99,27.7,52.77,36.95,21.99,17.74
2017-01-10,大庆,32.43,0.83,29.36,44.91,30.24,19.27,13.76
2017-01-11,大庆,34.01,0.61,33.93,49.07,30.19,19.42,17.3
2017-01-12,大庆,34.3,0.66,27.77,48.84,30.84,19.57,17.34
2017-01-13,大庆,31.14,0.57,20.37,58.45,29.42,14.81,12.28
2017-01-14,大庆,27.6,0.51,21.11,55.59,24.07,15.12,13.08
2017-01-15,大庆,33.32,0.65,33.63,48.39,29.32,19.92,15.08
2017-01-16,大庆,115.47,1.45,73.77,26.56,115.31,87.3,23.63
2017-01-17,大庆,237.36,2.1,81.31,25.84,238.25,193.2,30.25
2017-01-18,大庆,173.98,1.59,61.19,28.19,169.83,134.51,26.0
2017-01-19,大庆,117.55,1.45,47.88,27.09,114.92,87.11,18.07
2017-01-20,大庆,47.52,0.76,31.59,39.56,44.96,30.05,17.79
2017-01-21,大庆,109.15,1.3,41.47,31.75,107.53,80.65,30.2
2017-01-22,大庆,49.8,0.73,31.69,43.97,44.79,32.95,18.86
2017-01-23,大庆,44.78,0.75,32.92,44.48,40.24,29.6,16.33
2017-01-24,大庆,76.67,1.18,45.58,35.79,70.88,54.38,19.52
2017-01-25,大庆,88.48,1.27,37.3,41.03,87.6,63.63,22.72
2017-01-26,大庆,107.06,1.77,33.41,46.34,112.72,78.15,22.58
2017-01-27,大庆,34.81,0.6,20.12,56.9,33.61,19.54,16.73
2017-01-28,大庆,96.8,0.84,26.66,48.82,99.29,74.41,27.21
2017-01-29,大庆,40.58,0.69,21.66,50.7,37.27,25.47,23.42
2017-01-30,大庆,34.88,0.73,21.33,51.34,32.9,19.56,12.94
2017-01-31,大庆,37.76,0.72,20.35,50.44,37.96,20.17,13.44
2017-02-01,大庆,31.25,0.61,17.57,55.4,29.88,14.97,11.45
2017-02-02,大庆,35.93,0.81,25.02,53.16,35.16,16.17,13.88
2017-02-03,大庆,66.58,1.38,39.57,36.57,68.08,40.35,16.73
2017-02-04,大庆,174.41,1.84,43.19,52.19,167.06,136.1,19.4
2017-02-05,大庆,65.41,0.76,23.37,52.99,61.42,46.75,15.32
2017-02-06,大庆,32.03,0.55,26.63,43.28,29.41,19.21,13.82
2017-02-07,大庆,44.69,0.68,31.2,34.17,43.57,28.93,16.3
2017-02-08,大庆,54.13,0.84,32.42,34.58,53.22,35.21,16.57
2017-02-09,大庆,29.36,0.55,14.18,46.38,27.1,17.38,11.47
2017-02-10,大庆,26.79,0.57,14.41,54.47,25.24,14.71,9.82
2017-02-11,大庆,58.75,0.65,22.03,51.87,61.59,40.83,15.02
2017-02-12,大庆,79.29,0.93,34.53,45.7,75.71,57.15,17.98
2017-02-13,大庆,58.48,1.0,40.18,45.26,55.09,40.18,15.15
2017-02-14,大庆,71.72,0.92,31.49,50.94,73.28,49.08,17.05
2017-02-15,大庆,120.06,1.18,35.38,53.1,125.82,89.64,21.17
2017-02-16,大庆,96.69,0.81,19.48,64.56,101.83,68.88,10.32
2017-02-17,大庆,32.15,0.51,16.28,61.6,30.73,15.45,8.14
2017-02-18,大庆,31.77,0.6,16.19,56.02,28.73,19.71,10.08
2017-02-19,大庆,48.68,0.7,18.27,59.14,49.64,29.15,15.27
2017-02-20,大庆,35.62,0.65,20.89,58.85,32.83,21.12,11.43
2017-02-21,大庆,48.24,0.82,26.34,50.96,46.63,30.64,15.63
2017-02-22,大庆,70.23,0.86,23.07,56.08,71.81,49.83,14.22
2017-02-23,大庆,30.75,0.65,21.0,57.27,27.16,18.03,11.86
2017-02-24,大庆,34.65,0.71,21.48,58.74,31.42,20.08,13.51
2017-02-25,大庆,36.47,0.72,23.78,58.9,33.35,20.92,12.53
2017-02-26,大庆,41.85,0.82,25.3,50.54,39.28,26.1,15.1
2017-02-27,大庆,59.7,0.92,27.28,51.29,63.89,40.0,18.69
2017-02-28,大庆,38.99,0.73,23.88,60.52,38.17,22.67,12.54
2017-03-01,大庆,27.61,0.6,16.47,56.41,25.24,15.07,10.66
2017-03-02,大庆,32.73,0.64,19.67,59.72,29.94,19.17,11.31
2017-03-03,大庆,46.97,0.7,20.38,60.77,45.31,27.84,17.49
2017-03-04,大庆,32.05,0.67,20.7,54.63,29.36,19.55,17.71
2017-03-05,大庆,33.26,0.63,17.72,58.36,30.24,18.22,10.54
2017-03-06,大庆,33.09,0.68,18.57,59.02,30.69,18.59,11.58
2017-03-07,大庆,30.69,0.63,15.39,63.62,27.41,15.78,9.56
2017-03-08,大庆,32.15,0.68,18.7,59.39,27.38,17.7,9.74
2017-03-09,大庆,30.85,0.7,21.64,56.59,27.75,17.33,10.25
2017-03-10,大庆,57.03,1.05,38.04,49.08,56.58,37.74,12.44
2017-03-11,大庆,109.83,1.08,30.75,80.91,120.3,80.83,20.12
2017-03-12,大庆,49.33,0.62,15.47,72.63,44.67,30.93,10.77
2017-03-13,大庆,27.4,0.51,21.23,60.88,21.86,13.62,11.49
2017-03-14,大庆,38.5,0.69,32.94,59.54,34.9,22.62,14.44
2017-03-15,大庆,70.87,0.78,32.38,64.04,74.09,47.77,17.96
2017-03-16,大庆,94.22,0.96,40.2,62.78,94.21,68.32,23.61
2017-03-17,大庆,61.77,0.73,28.38,67.26,59.45,41.57,19.43
2017-03-18,大庆,73.85,0.81,33.52,73.13,74.22,51.07,22.1
2017-03-19,大庆,63.43,0.69,25.79,80.96,65.72,37.61,17.07
2017-03-20,大庆,47.62,0.65,25.93,66.09,45.32,29.44,9.74
2017-03-21,大庆,42.01,0.65,23.48,65.26,39.48,24.45,10.75
2017-03-22,大庆,39.92,0.66,25.59,62.4,36.34,23.28,8.3
2017-03-23,大庆,52.17,0.74,28.36,56.7,48.54,34.51,9.61
2017-03-24,大庆,76.92,0.93,42.86,64.39,76.83,53.7,16.02
2017-03-25,大庆,106.27,1.16,48.7,64.78,103.41,79.03,16.07
2017-03-26,大庆,69.78,0.86,29.09,71.16,64.67,48.38,10.68
2017-03-27,大庆,94.39,0.92,41.54,69.93,92.97,68.78,15.81
2017-03-28,大庆,98.82,0.82,40.77,68.72,98.5,71.12,17.31
2017-03-29,大庆,122.12,0.8,30.88,79.92,121.13,92.02,15.62
2017-03-30,大庆,55.51,0.68,28.01,75.77,52.47,36.62,8.36
2017-03-31,大庆,59.62,0.66,23.77,85.24,56.52,38.81,11.86
2017-04-01,大庆,95.17,0.86,37.65,80.73,94.98,69.45,15.96
2017-04-02,大庆,83.78,0.74,28.76,101.87,96.15,52.62,11.57
2017-04-03,大庆,107.74,0.91,41.53,94.39,114.92,78.06,16.45
2017-04-04,大庆,138.96,1.06,24.33,118.11,193.12,90.34,14.89
2017-04-05,大庆,165.57,0.99,26.02,117.27,249.07,82.19,17.78
2017-04-06,大庆,76.51,0.57,18.89,91.03,83.57,50.86,11.15
2017-04-07,大庆,50.07,0.51,20.8,75.94,49.74,33.59,15.54
2017-04-08,大庆,32.72,0.39,12.86,84.49,28.11,14.36,9.83
2017-04-09,大庆,37.68,0.46,17.04,78.21,34.85,16.85,12.11
2017-04-10,大庆,67.7,0.45,17.0,85.53,87.43,20.83,9.0
2017-04-11,大庆,36.58,0.44,12.66,86.58,33.14,16.89,7.75
2017-04-12,大庆,38.82,0.49,17.42,77.73,39.02,16.29,8.92
2017-04-13,大庆,72.66,0.65,26.81,72.46,94.56,18.94,14.21
2017-04-14,大庆,53.17,0.63,30.56,75.43,54.09,23.98,15.88
2017-04-15,大庆,81.12,0.52,21.2,90.38,117.12,20.65,12.97
2017-04-16,大庆,41.59,0.51,22.0,86.7,38.82,15.88,9.82
2017-04-17,大庆,131.25,1.09,34.93,97.33,143.24,98.61,18.87
2017-04-18,大庆,69.62,0.71,23.94,71.0,61.68,49.37,17.02
2017-04-19,大庆,29.76,0.52,17.95,76.92,22.75,13.71,8.45
2017-04-20,大庆,39.16,0.6,18.02,75.99,34.64,21.06,7.41
2017-04-21,大庆,44.98,0.69,28.3,81.88,41.76,24.45,12.29
2017-04-22,大庆,66.99,0.61,21.51,80.62,80.64,27.07,12.26
2017-04-23,大庆,34.94,0.48,18.14,81.88,30.75,12.29,7.38
2017-04-24,大庆,35.96,0.53,21.88,77.55,32.95,14.14,7.67
2017-04-25,大庆,37.25,0.56,19.2,71.29,34.89,18.38,12.89
2017-04-26,大庆,29.88,0.58,21.79,69.38,24.35,12.06,10.03
2017-04-27,大庆,37.35,0.59,24.78,73.11,33.59,17.06,9.57
2017-04-28,大庆,44.64,0.61,27.1,86.38,43.68,19.75,8.67
2017-04-29,大庆,95.59,0.64,17.35,89.74,133.56,25.3,11.32
2017-04-30,大庆,35.99,0.64,19.66,71.51,31.39,12.21,5.86
2017-05-01,大庆,51.56,0.63,17.38,88.28,57.87,17.46,7.97
2017-05-02,大庆,104.03,0.74,18.28,111.34,152.55,31.73,9.88
2017-05-03,大庆,329.94,0.84,35.47,139.08,682.68,98.26,9.63
2017-05-04,大庆,348.48,0.62,15.78,87.9,1205.62,216.53,6.3
2017-05-05,大庆,179.04,0.55,19.14,69.5,272.14,55.88,5.28
2017-05-06,大庆,35.62,0.36,12.08,67.76,39.09,13.16,5.25
2017-05-07,大庆,37.88,0.44,20.13,70.28,39.18,14.15,9.56
2017-05-08,大庆,50.23,0.54,31.52,74.11,49.01,23.91,5.64
2017-05-09,大庆,188.94,0.74,22.8,136.67,266.53,55.73,7.5
2017-05-10,大庆,102.88,0.54,21.56,104.04,142.28,34.87,6.3
2017-05-11,大庆,84.28,0.51,22.75,83.65,117.14,28.26,6.58
2017-05-12,大庆,47.16,0.39,16.27,65.48,52.4,14.45,9.08
2017-05-13,大庆,57.17,0.42,17.37,75.72,65.71,21.88,8.55
2017-05-14,大庆,28.44,0.43,12.56,80.02,22.64,13.95,5.43
2017-05-15,大庆,32.59,0.44,20.21,89.27,24.89,11.57,5.45
2017-05-16,大庆,42.83,0.47,26.34,90.28,40.19,19.1,6.25
2017-05-17,大庆,58.98,0.64,22.64,118.47,64.05,28.38,6.85
2017-05-18,大庆,137.46,0.84,25.56,171.95,214.39,58.07,8.39
2017-05-19,大庆,154.02,0.54,20.89,106.38,224.07,51.29,5.09
2017-05-20,大庆,38.43,0.39,20.33,75.1,38.23,16.89,4.93
2017-05-21,大庆,32.21,0.39,26.05,60.59,29.7,18.5,5.06
2017-05-22,大庆,33.11,0.4,26.31,66.25,30.16,18.05,5.2
2017-05-23,大庆,35.44,0.39,17.8,91.27,32.33,12.66,4.9
2017-05-24,大庆,29.48,0.34,16.74,77.62,24.64,12.08,4.99
