time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,牡丹江,181.91,2.56,56.47,10.74,199.47,140.43,53.07
2017-01-02,牡丹江,123.27,1.59,37.58,32.97,132.82,89.62,35.12
2017-01-03,牡丹江,127.55,1.68,49.72,16.88,145.89,95.59,44.02
2017-01-04,牡丹江,67.28,0.73,29.4,43.8,75.33,46.77,18.74
2017-01-05,牡丹江,87.42,1.13,40.32,30.3,93.71,61.6,26.89
2017-01-06,牡丹江,102.28,1.31,48.04,18.67,114.74,75.01,37.16
2017-01-07,牡丹江,157.23,2.01,58.67,13.5,176.91,121.33,45.91
2017-01-08,牡丹江,183.73,2.03,64.05,12.47,207.88,140.66,62.71
2017-01-09,牡丹江,80.97,0.75,28.45,48.38,83.13,55.37,25.75
2017-01-10,牡丹江,40.88,0.43,16.84,49.45,40.98,19.57,17.98
2017-01-11,牡丹江,39.69,0.37,15.28,55.21,39.91,18.96,17.15
2017-01-12,牡丹江,49.73,0.53,18.43,49.77,51.88,27.57,21.96
2017-01-13,牡丹江,41.1,0.42,15.97,51.01,39.53,22.96,22.91
2017-01-14,牡丹江,57.59,0.67,22.24,39.86,57.8,37.58,22.48
2017-01-15,牡丹江,37.49,0.44,16.73,48.14,34.3,21.32,20.93
2017-01-16,牡丹江,70.23,0.89,33.6,33.51,71.97,49.34,36.17
2017-01-17,牡丹江,106.35,1.35,41.87,27.12,113.3,79.08,38.12
2017-01-18,牡丹江,113.55,1.29,36.81,33.22,117.46,85.1,34.06
2017-01-19,牡丹江,149.39,1.53,40.33,33.1,150.53,114.27,37.33
2017-01-20,牡丹江,122.06,1.31,34.29,35.29,125.56,91.87,31.26
2017-01-21,牡丹江,100.08,1.13,33.99,28.69,110.05,72.46,35.58
2017-01-22,牡丹江,89.97,0.95,25.38,40.09,94.4,66.55,21.36
2017-01-23,牡丹江,57.21,0.6,21.57,49.16,56.15,38.22,22.78
2017-01-24,牡丹江,82.63,0.87,32.53,45.45,83.25,59.66,28.29
2017-01-25,牡丹江,97.48,1.24,41.96,39.93,102.16,71.16,37.05
2017-01-26,牡丹江,103.84,1.42,39.67,36.54,116.51,75.19,39.74
2017-01-27,牡丹江,42.55,0.28,8.84,68.81,43.32,20.42,14.91
2017-01-28,牡丹江,102.08,0.88,26.46,47.44,109.17,76.1,41.48
2017-01-29,牡丹江,70.85,0.76,27.27,38.67,71.84,47.4,46.7
2017-01-30,牡丹江,48.14,0.54,14.68,56.93,46.15,30.44,15.87
2017-01-31,牡丹江,48.89,0.59,18.48,60.98,48.33,30.48,20.14
2017-02-01,牡丹江,48.14,0.48,11.22,63.23,47.63,29.14,13.64
2017-02-02,牡丹江,46.57,0.62,18.65,58.93,46.21,29.16,18.85
2017-02-03,牡丹江,87.83,1.25,34.58,44.94,93.86,61.62,30.88
2017-02-04,牡丹江,128.21,1.92,47.03,32.5,140.38,96.3,41.48
2017-02-05,牡丹江,181.28,2.14,49.25,34.4,187.34,139.19,47.91
2017-02-06,牡丹江,64.22,0.57,15.39,77.33,61.14,45.0,13.32
2017-02-07,牡丹江,40.18,0.56,17.79,60.39,36.83,23.06,14.43
2017-02-08,牡丹江,48.91,0.67,18.83,62.7,46.43,32.17,18.07
2017-02-09,牡丹江,53.67,0.62,18.74,62.2,53.75,34.94,17.13
2017-02-10,牡丹江,43.57,0.46,17.74,62.28,41.99,26.7,16.73
2017-02-11,牡丹江,53.84,0.51,17.59,62.58,51.42,35.95,17.11
2017-02-12,牡丹江,73.44,0.91,28.32,47.75,75.41,51.2,22.11
2017-02-13,牡丹江,84.08,1.13,35.51,40.92,88.81,60.45,27.18
2017-02-14,牡丹江,87.03,1.06,33.68,55.76,91.11,63.5,23.1
2017-02-15,牡丹江,107.93,1.53,46.27,33.89,118.42,79.86,36.48
2017-02-16,牡丹江,86.04,0.82,18.59,83.4,98.35,53.06,20.56
2017-02-17,牡丹江,40.11,0.38,8.97,73.63,41.16,16.69,9.57
2017-02-18,牡丹江,44.43,0.54,13.74,65.6,44.21,24.95,13.78
2017-02-19,牡丹江,62.46,0.65,19.6,53.43,74.28,33.88,22.17
2017-02-20,牡丹江,54.38,0.49,14.1,74.27,60.26,28.16,15.17
2017-02-21,牡丹江,65.58,0.9,30.44,55.07,62.8,43.99,28.17
2017-02-22,牡丹江,71.92,1.1,38.55,42.0,72.77,49.71,30.8
2017-02-23,牡丹江,45.47,0.51,14.15,80.62,40.54,28.43,12.27
2017-02-24,牡丹江,46.96,0.63,21.42,66.68,44.49,29.38,16.9
2017-02-25,牡丹江,42.58,0.54,16.23,71.36,38.62,25.16,15.18
2017-02-26,牡丹江,46.49,0.65,19.97,65.35,46.08,28.36,15.35
2017-02-27,牡丹江,71.99,1.13,33.53,47.01,75.52,48.92,26.97
2017-02-28,牡丹江,70.09,0.99,32.52,61.79,72.69,47.97,21.09
2017-03-01,牡丹江,53.3,0.65,22.79,61.19,54.57,34.78,12.98
2017-03-02,牡丹江,38.82,0.47,16.09,66.68,36.04,21.12,13.77
