time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,绥化,91.71,1.73,48.32,15.13,94.44,70.75,66.71
2017-01-02,绥化,129.8,1.56,43.1,35.98,131.75,97.95,43.9
2017-01-03,绥化,154.59,1.56,52.54,29.72,182.16,116.16,66.3
2017-01-04,绥化,326.9,1.79,34.5,45.65,340.85,279.33,31.75
2017-01-05,绥化,292.88,2.45,81.17,21.81,351.85,274.89,89.19
2017-01-06,绥化,90.41,1.39,60.09,29.59,93.35,66.09,71.98
2017-01-07,绥化,155.67,1.91,59.91,38.93,154.75,120.05,55.96
2017-01-08,绥化,157.54,2.14,69.48,34.46,167.63,119.56,52.9
2017-01-09,绥化,67.3,0.94,13.8,51.77,63.29,45.88,15.1
2017-01-10,绥化,46.83,0.92,10.77,42.5,45.53,29.88,11.44
2017-01-11,绥化,82.75,1.1,23.69,37.69,86.38,59.04,16.85
2017-01-12,绥化,68.17,1.07,17.42,42.44,63.91,47.79,16.02
2017-01-13,绥化,49.79,0.9,12.62,43.21,48.67,31.79,14.85
2017-01-14,绥化,34.75,0.65,6.0,46.56,32.22,22.21,11.75
2017-01-15,绥化,42.12,0.62,11.42,49.23,41.83,27.96,12.6
2017-01-16,绥化,164.95,1.34,49.77,37.2,158.4,126.43,30.59
2017-01-17,绥化,247.24,2.3,93.0,25.76,261.16,199.87,60.72
2017-01-18,绥化,197.77,1.47,53.04,53.54,181.95,154.65,37.77
2017-01-19,绥化,105.46,0.76,37.98,38.44,99.64,79.04,26.08
2017-01-20,绥化,106.51,0.98,40.34,39.05,112.68,75.22,22.1
2017-01-21,绥化,69.19,0.66,41.44,31.44,66.3,49.83,36.96
2017-01-22,绥化,25.35,0.3,14.5,50.17,22.24,15.56,17.79
2017-01-23,绥化,53.25,0.63,22.96,46.69,44.33,37.25,17.69
2017-01-24,绥化,70.25,0.81,31.0,50.35,61.0,51.33,25.29
2017-01-25,绥化,95.48,1.28,52.83,44.48,90.84,71.02,79.04
2017-01-26,绥化,58.15,0.86,25.5,55.44,56.65,39.15,42.0
2017-01-27,绥化,23.19,0.41,7.35,56.0,18.51,12.44,9.81
2017-01-28,绥化,83.33,0.84,23.75,50.33,78.71,61.17,37.58
2017-01-29,绥化,38.61,0.57,12.17,54.07,32.78,25.8,14.87
2017-01-30,绥化,28.4,0.62,11.35,54.19,24.09,18.19,10.38
2017-01-31,绥化,42.9,0.8,18.75,49.69,40.31,27.92,23.88
2017-02-01,绥化,21.77,0.56,8.52,52.92,18.83,11.96,7.62
2017-02-02,绥化,30.76,0.45,12.33,56.48,30.3,16.71,9.1
2017-02-03,绥化,70.52,0.92,41.21,49.88,65.79,50.73,29.42
2017-02-04,绥化,117.35,1.37,62.11,50.04,120.11,88.28,47.54
2017-02-05,绥化,67.1,0.62,26.77,63.15,64.07,47.98,20.38
2017-02-06,绥化,18.94,0.38,10.29,57.17,13.05,8.83,8.31
2017-02-07,绥化,24.37,0.67,16.78,59.04,20.07,13.39,14.37
2017-02-08,绥化,44.65,0.63,22.02,57.02,44.04,29.92,14.96
2017-02-09,绥化,21.08,0.17,9.79,55.31,18.49,11.75,8.77
2017-02-10,绥化,18.71,0.15,6.56,58.38,10.98,7.38,5.62
2017-02-11,绥化,32.54,0.27,8.5,60.92,28.08,19.12,9.48
2017-02-12,绥化,119.57,0.72,38.24,47.72,129.78,91.43,24.07
2017-02-13,绥化,161.98,0.76,42.18,50.11,176.07,125.47,23.61
2017-02-14,绥化,109.92,0.79,40.21,60.71,108.77,82.33,35.48
2017-02-15,绥化,99.48,0.69,35.83,68.52,109.38,73.54,42.4
2017-02-16,绥化,72.28,0.56,14.02,58.26,79.49,49.8,15.09
2017-02-17,绥化,19.23,0.36,7.21,59.08,14.04,7.46,6.23
2017-02-18,绥化,24.58,0.57,16.15,52.67,22.67,13.15,13.19
2017-02-19,绥化,24.78,0.65,20.05,51.71,24.73,10.34,20.44
2017-02-20,绥化,20.52,0.56,10.96,59.94,16.6,9.12,9.67
2017-02-21,绥化,53.39,0.8,35.46,53.93,53.57,37.13,28.15
2017-02-22,绥化,59.21,0.45,25.0,60.17,63.38,36.29,24.04
2017-02-23,绥化,26.88,0.51,13.04,63.25,23.63,16.02,8.27
2017-02-24,绥化,40.88,0.68,21.79,60.19,39.15,26.56,11.81
2017-02-25,绥化,38.94,0.65,24.04,58.77,34.63,24.23,12.15
2017-02-26,绥化,81.48,1.07,46.92,60.29,84.83,57.21,40.19
2017-02-27,绥化,77.33,1.03,38.96,68.73,79.74,55.73,41.88
2017-02-28,绥化,50.9,0.9,21.88,52.5,50.69,33.71,15.38
2017-03-01,绥化,21.6,0.67,11.17,43.21,21.28,10.77,6.65
2017-03-02,绥化,34.48,1.0,23.09,44.81,33.3,20.3,13.7
2017-03-03,绥化,54.77,1.14,26.2,64.84,67.07,29.4,19.98
2017-03-04,绥化,45.85,1.05,12.79,58.33,47.73,27.02,9.46
2017-03-05,绥化,91.23,1.24,24.15,65.33,98.54,64.75,17.56
2017-03-06,绥化,60.06,1.06,12.31,61.27,59.94,37.17,10.92
2017-03-07,绥化,31.4,0.88,9.1,60.02,29.11,18.31,6.52
2017-03-08,绥化,35.22,0.72,11.5,54.07,32.9,22.02,4.11
2017-03-09,绥化,33.29,0.87,10.73,54.02,31.22,19.71,4.19
2017-03-10,绥化,48.42,1.09,24.33,57.71,48.58,30.6,11.4
2017-03-11,绥化,68.15,0.98,28.56,59.94,80.06,44.98,21.23
2017-03-12,绥化,103.6,0.95,21.25,56.5,96.87,77.02,5.23
2017-03-13,绥化,43.21,0.6,12.46,48.9,41.95,29.18,3.41
2017-03-14,绥化,22.82,0.43,13.49,54.62,20.57,10.97,7.28
2017-03-15,绥化,46.59,0.72,26.41,52.7,48.4,28.28,14.26
2017-03-16,绥化,69.84,0.79,27.36,53.61,76.53,47.52,13.68
2017-03-17,绥化,50.17,0.74,31.85,44.33,58.3,24.3,19.28
2017-03-18,绥化,49.35,0.81,32.9,42.77,55.92,26.15,18.52
2017-03-19,绥化,51.73,0.69,21.15,43.23,61.4,26.25,7.21
2017-03-20,绥化,64.96,0.74,16.38,48.62,67.21,42.96,6.62
2017-03-21,绥化,24.89,0.63,9.46,49.7,23.82,13.11,6.38
2017-03-22,绥化,28.81,0.7,9.52,46.4,28.26,14.12,9.1
2017-03-23,绥化,27.25,0.73,10.15,44.67,26.17,14.31,9.52
2017-03-24,绥化,37.21,0.8,13.1,56.67,36.49,21.25,11.73
2017-03-25,绥化,73.1,1.01,30.42,47.12,87.58,49.38,21.54
2017-03-26,绥化,49.52,0.84,20.62,51.6,54.53,27.69,11.81
2017-03-27,绥化,64.78,0.92,17.83,60.59,64.26,45.24,11.0
2017-03-28,绥化,118.25,1.13,31.62,53.98,126.42,88.73,21.67
2017-03-29,绥化,82.54,1.01,20.37,60.91,93.48,60.41,21.72
2017-03-30,绥化,41.27,0.85,12.21,56.12,40.64,22.58,18.0
