time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,鸡西,154.47,3.83,33.44,32.13,192.82,114.44,38.45
2017-01-02,鸡西,164.25,2.7,32.62,32.64,197.81,125.08,36.27
2017-01-03,鸡西,93.49,1.9,30.95,31.43,121.44,64.06,29.6
2017-01-04,鸡西,73.06,1.25,21.99,41.21,79.75,49.81,20.98
2017-01-05,鸡西,74.22,1.32,22.32,45.4,85.66,46.69,21.42
2017-01-06,鸡西,71.52,1.51,26.38,41.81,85.53,40.94,24.7
2017-01-07,鸡西,91.7,1.7,35.11,38.22,113.13,58.87,38.2
2017-01-08,鸡西,118.11,2.34,44.97,29.53,148.6,83.33,40.06
2017-01-09,鸡西,62.48,1.38,14.84,51.12,75.9,32.62,13.19
2017-01-10,鸡西,38.76,1.17,12.35,46.93,41.46,17.92,7.1
2017-01-11,鸡西,33.32,1.15,11.0,57.35,30.64,16.21,5.92
2017-01-12,鸡西,34.41,0.99,6.66,62.41,35.93,12.33,3.56
2017-01-13,鸡西,39.92,1.16,10.74,54.38,39.58,19.53,5.61
2017-01-14,鸡西,31.62,0.53,8.0,52.53,30.89,16.11,2.44
2017-01-15,鸡西,28.83,0.47,8.2,55.54,27.88,14.0,2.9
2017-01-16,鸡西,39.0,0.71,16.03,49.15,39.41,20.28,6.37
2017-01-17,鸡西,91.47,1.38,32.2,38.4,109.33,54.85,29.7
2017-01-18,鸡西,83.67,1.26,27.63,37.2,100.94,52.23,23.37
2017-01-19,鸡西,106.18,1.22,26.48,48.6,124.94,74.57,22.36
2017-01-20,鸡西,108.7,1.55,30.94,36.65,129.26,76.66,24.97
2017-01-21,鸡西,97.93,1.37,30.71,37.57,118.17,69.66,25.83
2017-01-22,鸡西,78.77,0.94,21.1,48.16,82.62,55.76,17.16
2017-01-23,鸡西,41.68,0.62,11.91,57.92,44.48,21.23,7.87
2017-01-24,鸡西,48.37,0.53,11.2,59.6,52.88,24.45,7.4
2017-01-25,鸡西,60.56,0.67,20.53,54.94,71.92,33.05,20.3
2017-01-26,鸡西,100.04,1.61,34.71,36.51,124.72,66.49,39.26
2017-01-27,鸡西,53.8,0.35,5.65,57.04,61.87,23.68,9.08
2017-01-28,鸡西,72.13,0.72,13.11,54.46,83.59,47.76,19.29
2017-01-29,鸡西,99.74,1.63,25.65,35.23,119.58,67.04,33.0
2017-01-30,鸡西,45.41,0.56,9.82,53.2,49.7,23.62,10.3
2017-01-31,鸡西,46.89,0.57,13.53,55.24,52.94,23.95,14.72
2017-02-01,鸡西,44.41,0.41,6.71,57.11,50.57,16.96,6.77
2017-02-02,鸡西,37.85,0.45,8.74,58.02,39.77,16.64,8.07
2017-02-03,鸡西,47.0,0.59,15.89,59.83,54.08,24.64,11.26
2017-02-04,鸡西,101.61,1.55,29.54,55.61,122.18,67.04,29.65
2017-02-05,鸡西,155.74,2.28,35.33,49.2,185.74,114.36,36.77
2017-02-06,鸡西,43.14,0.53,10.5,61.62,45.3,22.8,6.82
2017-02-07,鸡西,32.2,0.35,8.09,63.73,31.56,12.85,3.68
2017-02-08,鸡西,33.05,0.39,9.47,63.17,32.95,15.43,5.43
2017-02-09,鸡西,31.11,0.36,8.72,61.61,30.88,15.82,4.83
2017-02-10,鸡西,33.06,0.36,8.52,58.05,33.71,16.26,4.47
2017-02-11,鸡西,48.29,0.45,11.76,57.81,50.19,29.32,9.0
2017-02-12,鸡西,55.59,0.61,16.22,55.61,58.77,34.01,12.08
2017-02-13,鸡西,61.11,0.77,18.31,53.09,68.68,37.81,12.74
2017-02-14,鸡西,44.75,0.48,12.59,64.18,46.77,23.0,8.15
2017-02-15,鸡西,69.08,0.78,23.63,60.99,82.56,41.76,16.73
2017-02-16,鸡西,99.11,0.68,16.34,57.68,132.18,46.68,12.75
2017-02-17,鸡西,46.68,0.29,7.49,68.69,57.66,15.25,4.79
2017-02-18,鸡西,30.07,0.34,7.4,66.65,29.03,13.68,5.5
2017-02-19,鸡西,56.23,0.76,17.86,57.53,64.73,31.8,14.44
2017-02-20,鸡西,34.31,0.44,10.02,65.34,34.45,16.88,6.41
2017-02-21,鸡西,36.84,0.63,12.22,67.61,39.19,19.32,9.25
2017-02-22,鸡西,78.89,1.39,32.79,44.33,89.92,53.62,23.79
2017-02-23,鸡西,46.03,0.49,8.97,70.24,42.86,28.16,6.55
2017-02-24,鸡西,34.17,0.41,10.09,73.0,33.33,17.45,7.09
2017-02-25,鸡西,34.49,0.38,8.98,73.8,32.21,18.78,6.73
2017-02-26,鸡西,53.86,0.7,21.15,61.25,56.8,33.32,14.07
2017-02-27,鸡西,112.03,1.67,35.05,43.89,133.75,79.15,28.92
2017-02-28,鸡西,146.6,2.33,33.12,48.64,163.88,111.51,34.79
2017-03-01,鸡西,68.32,1.02,21.52,52.01,67.78,44.28,14.82
2017-03-02,鸡西,44.43,0.6,15.81,55.56,45.86,26.73,11.74
2017-03-03,鸡西,59.64,0.81,19.08,54.41,67.03,37.3,15.24
2017-03-04,鸡西,39.69,0.41,10.4,65.57,42.03,19.81,8.63
2017-03-05,鸡西,33.51,0.38,10.11,64.37,32.98,16.22,5.97
2017-03-06,鸡西,42.43,0.44,10.79,65.08,43.65,21.39,6.32
2017-03-07,鸡西,33.7,0.3,8.24,67.15,33.14,15.69,6.17
2017-03-08,鸡西,29.97,0.29,7.36,71.46,28.8,14.43,4.53
2017-03-09,鸡西,30.18,0.34,9.82,60.26,29.98,14.71,5.64
2017-03-10,鸡西,35.47,0.39,11.67,62.58,37.39,19.18,7.1
2017-03-11,鸡西,106.82,0.92,29.21,62.1,121.09,77.89,16.26
2017-03-12,鸡西,218.83,2.19,46.51,36.19,248.66,173.85,27.39
2017-03-13,鸡西,73.63,0.37,12.96,64.46,46.03,55.92,7.99
2017-03-14,鸡西,25.9,0.3,9.35,62.79,23.19,14.43,6.74
2017-03-15,鸡西,38.82,0.52,13.78,59.35,37.92,23.53,7.81
2017-03-16,鸡西,69.07,0.85,21.65,72.28,77.53,45.24,12.76
2017-03-17,鸡西,93.7,1.29,27.92,52.86,108.79,65.67,16.54
2017-03-18,鸡西,112.18,1.38,34.84,47.76,132.94,79.54,19.47
2017-03-19,鸡西,78.68,0.86,22.54,56.82,88.42,52.03,12.21
2017-03-20,鸡西,61.0,0.53,16.11,70.65,68.83,35.78,6.92
2017-03-21,鸡西,42.23,0.36,8.82,67.49,42.88,22.3,3.8
2017-03-22,鸡西,35.9,0.37,9.1,64.8,35.33,19.07,4.52
2017-03-23,鸡西,49.91,0.46,12.2,63.81,51.1,30.93,5.77
