time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,鹤岗,147.47,2.54,36.34,31.62,189.57,122.11,24.93
2017-01-02,鹤岗,137.28,1.7,35.43,36.61,163.06,99.08,23.23
2017-01-03,鹤岗,117.21,1.46,34.77,35.47,138.19,85.46,17.31
2017-01-04,鹤岗,96.15,1.32,27.38,39.82,108.53,69.4,15.4
2017-01-05,鹤岗,120.44,1.46,40.72,34.63,142.06,86.52,20.24
2017-01-06,鹤岗,173.0,2.25,54.21,25.84,213.11,131.87,29.32
2017-01-07,鹤岗,105.11,1.49,33.05,47.77,123.37,75.95,20.23
2017-01-08,鹤岗,158.95,2.47,51.6,26.93,199.58,122.33,27.44
2017-01-09,鹤岗,62.24,1.01,15.93,56.08,66.02,39.89,13.36
2017-01-10,鹤岗,41.51,0.56,9.52,56.3,39.16,23.53,7.29
2017-01-11,鹤岗,42.9,0.67,9.53,58.65,43.32,24.26,12.94
2017-01-12,鹤岗,42.09,0.8,7.13,62.52,44.68,20.32,12.42
2017-01-13,鹤岗,56.45,0.81,15.18,48.36,61.51,35.63,13.17
2017-01-14,鹤岗,35.66,0.58,8.85,55.7,37.23,16.38,10.18
2017-01-15,鹤岗,38.05,0.5,12.14,57.66,41.62,17.42,10.88
2017-01-16,鹤岗,82.37,1.08,24.37,49.36,106.17,58.79,14.74
2017-01-17,鹤岗,94.1,1.5,28.77,42.18,118.88,65.2,16.81
2017-01-18,鹤岗,151.62,1.92,37.25,31.35,175.9,111.62,20.83
2017-01-19,鹤岗,105.52,1.21,19.79,49.34,120.77,74.96,18.35
2017-01-20,鹤岗,111.35,1.19,21.08,47.23,130.2,80.64,16.69
2017-01-21,鹤岗,112.43,1.23,21.9,45.98,129.15,82.09,17.77
2017-01-22,鹤岗,62.6,0.78,13.48,52.35,65.81,39.66,13.82
2017-01-23,鹤岗,51.87,0.7,11.05,55.0,55.16,32.35,12.58
2017-01-24,鹤岗,49.57,0.53,10.97,63.8,54.64,28.08,10.64
2017-01-25,鹤岗,78.86,0.94,24.24,58.11,89.1,52.8,16.58
2017-01-26,鹤岗,114.11,1.71,35.73,39.67,132.45,83.45,28.58
2017-01-27,鹤岗,53.06,0.45,7.9,64.64,56.83,30.19,10.52
2017-01-28,鹤岗,48.51,0.55,10.2,60.63,48.36,31.76,10.67
2017-01-29,鹤岗,63.28,0.83,15.19,56.18,71.88,43.39,8.54
2017-01-30,鹤岗,41.71,0.58,8.14,63.66,39.77,22.29,7.45
2017-01-31,鹤岗,59.98,0.78,17.71,60.64,59.4,39.2,10.3
2017-02-01,鹤岗,46.8,0.44,7.45,63.75,47.02,27.18,8.77
2017-02-02,鹤岗,47.49,0.62,11.59,62.0,48.15,27.19,11.09
2017-02-03,鹤岗,49.09,0.64,14.42,69.45,49.55,29.22,14.35
2017-02-04,鹤岗,111.1,1.46,32.26,60.75,129.93,80.58,19.52
2017-02-05,鹤岗,66.66,0.76,18.58,59.84,78.05,41.06,12.58
2017-02-06,鹤岗,36.49,0.45,5.53,68.34,29.95,20.69,5.12
2017-02-07,鹤岗,34.75,0.46,7.76,67.91,32.94,16.06,6.44
2017-02-08,鹤岗,37.67,0.5,7.85,67.41,34.3,21.01,6.67
2017-02-09,鹤岗,31.73,0.45,8.13,65.72,28.81,16.0,8.58
2017-02-10,鹤岗,34.91,0.38,10.53,63.29,31.56,14.58,9.52
2017-02-11,鹤岗,65.09,0.7,15.84,59.79,69.84,43.16,11.06
2017-02-12,鹤岗,69.83,0.94,22.27,53.91,76.54,47.67,11.32
2017-02-13,鹤岗,54.44,0.86,17.84,60.27,60.45,33.27,10.04
2017-02-14,鹤岗,40.9,0.49,9.78,78.67,37.08,21.81,8.79
2017-02-15,鹤岗,84.38,0.99,34.06,60.11,93.69,59.66,17.55
2017-02-16,鹤岗,91.03,0.82,21.13,75.16,94.44,64.26,14.07
2017-02-17,鹤岗,42.99,0.41,9.52,68.98,43.25,24.35,6.07
2017-02-18,鹤岗,37.36,0.46,8.85,65.08,33.52,20.27,6.96
2017-02-19,鹤岗,55.14,0.68,19.26,58.57,58.17,33.99,11.88
2017-02-20,鹤岗,35.7,0.46,8.67,67.69,31.6,19.08,7.41
2017-02-21,鹤岗,51.83,0.8,19.24,68.14,58.54,29.72,11.3
2017-02-22,鹤岗,68.35,1.02,26.38,69.47,67.2,46.6,13.34
2017-02-23,鹤岗,43.4,0.37,8.2,84.46,38.49,25.46,5.92
2017-02-24,鹤岗,50.79,0.59,15.96,79.5,50.42,31.64,10.64
2017-02-25,鹤岗,38.19,0.31,7.4,83.75,34.53,20.1,5.94
2017-02-26,鹤岗,60.42,0.7,23.34,68.76,71.84,36.55,11.28
2017-02-27,鹤岗,93.67,1.34,32.68,62.27,116.57,62.97,15.51
2017-02-28,鹤岗,91.32,0.89,36.02,53.85,102.12,63.89,14.6
2017-03-01,鹤岗,46.41,0.52,12.83,74.46,44.85,30.36,6.88
2017-03-02,鹤岗,50.8,0.65,17.15,66.65,51.66,30.67,9.16
2017-03-03,鹤岗,52.72,0.74,15.1,66.57,54.6,27.35,8.09
2017-03-04,鹤岗,35.34,0.41,6.68,71.8,32.33,17.92,5.02
2017-03-05,鹤岗,35.42,0.35,8.69,75.21,30.82,18.89,7.03
2017-03-06,鹤岗,32.52,0.39,8.11,71.92,30.33,15.43,6.35
2017-03-07,鹤岗,39.48,0.43,8.59,82.12,37.26,20.74,10.37
2017-03-08,鹤岗,33.13,0.33,7.41,82.3,27.11,16.59,7.26
2017-03-09,鹤岗,33.95,0.35,9.49,71.79,30.81,18.21,7.73
2017-03-10,鹤岗,39.48,0.46,9.88,75.12,37.6,21.47,7.44
2017-03-11,鹤岗,65.1,0.76,21.24,81.58,70.06,41.45,13.32
2017-03-12,鹤岗,47.82,0.42,11.26,88.57,46.73,28.45,8.13
2017-03-13,鹤岗,40.71,0.41,12.35,80.36,35.86,26.22,7.12
2017-03-14,鹤岗,38.88,0.46,14.29,70.33,36.52,21.32,7.43
2017-03-15,鹤岗,48.56,0.58,13.34,75.25,51.36,26.51,8.55
2017-03-16,鹤岗,48.45,0.62,14.35,88.52,50.33,28.89,6.96
2017-03-17,鹤岗,48.82,1.08,16.85,71.62,52.79,26.13,8.08
2017-03-18,鹤岗,78.25,0.98,28.76,64.33,100.65,45.5,13.4
2017-03-19,鹤岗,67.62,0.73,23.53,73.94,79.92,40.92,12.22
2017-03-20,鹤岗,56.94,0.56,17.2,74.04,63.01,30.88,7.94
2017-03-21,鹤岗,32.65,0.47,9.15,81.12,29.23,16.84,5.47
2017-03-22,鹤岗,38.29,0.48,8.89,79.72,36.86,21.23,4.52
2017-03-23,鹤岗,38.39,0.47,10.58,75.66,37.26,18.73,4.19
2017-03-24,鹤岗,35.27,0.51,10.76,77.41,32.77,17.6,4.51
2017-03-25,鹤岗,47.86,0.7,17.49,73.57,52.39,24.51,7.9
2017-03-26,鹤岗,54.58,0.71,18.65,78.16,66.26,26.93,7.52
2017-03-27,鹤岗,54.53,0.71,16.51,77.57,66.17,28.98,6.25
2017-03-28,鹤岗,70.95,0.84,22.52,74.51,81.04,42.54,7.64
2017-03-29,鹤岗,72.77,0.89,24.05,75.55,86.89,49.14,8.57
2017-03-30,鹤岗,42.61,0.5,12.65,87.28,40.27,17.26,4.89
2017-03-31,鹤岗,46.81,0.59,13.84,80.94,55.32,22.74,8.41
2017-04-01,鹤岗,51.01,0.6,15.32,94.19,51.26,25.94,8.24
2017-04-02,鹤岗,58.69,0.6,16.97,86.99,68.4,32.36,9.06
2017-04-03,鹤岗,58.63,0.62,18.69,74.99,60.58,33.98,7.29
2017-04-04,鹤岗,137.87,1.26,37.08,93.93,181.64,96.56,16.01
2017-04-05,鹤岗,144.2,1.27,37.64,95.02,207.48,97.1,16.91
2017-04-06,鹤岗,60.88,0.47,17.7,62.91,70.29,33.54,7.42
2017-04-07,鹤岗,62.09,0.74,18.69,77.08,66.93,37.52,7.3
2017-04-08,鹤岗,60.12,0.81,11.76,79.09,65.08,30.66,5.16
2017-04-09,鹤岗,37.15,0.55,9.25,81.25,33.42,14.63,4.56
2017-04-10,鹤岗,93.66,0.81,21.03,87.97,124.03,50.29,9.46
2017-04-11,鹤岗,40.23,0.42,9.87,81.54,40.22,17.62,4.69
2017-04-12,鹤岗,46.71,0.99,12.98,68.35,50.67,21.75,6.15
2017-04-13,鹤岗,56.11,0.85,18.44,69.31,64.81,30.02,9.37
2017-04-14,鹤岗,93.67,1.0,27.41,81.59,122.35,62.7,11.92
2017-04-15,鹤岗,82.29,0.61,19.98,76.16,117.82,38.95,7.97
