time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,黑河,66.76,0.65,21.28,43.04,62.44,47.65,34.15
2017-01-02,黑河,77.63,0.76,24.15,31.82,73.11,56.48,44.42
2017-01-03,黑河,111.64,0.98,30.72,20.56,104.38,83.51,40.78
2017-01-04,黑河,80.79,0.62,21.92,32.76,78.36,59.32,42.97
2017-01-05,黑河,104.56,0.86,30.43,25.78,99.67,78.14,49.35
2017-01-06,黑河,107.03,0.85,26.42,31.43,100.21,80.28,39.31
2017-01-07,黑河,127.55,0.95,25.74,39.68,118.53,97.52,58.43
2017-01-08,黑河,94.64,0.67,25.51,50.79,87.23,70.22,49.24
2017-01-09,黑河,29.67,0.2,11.97,49.41,28.34,16.62,15.87
2017-01-10,黑河,31.94,0.5,12.12,49.46,30.73,18.78,18.74
2017-01-11,黑河,27.51,0.57,11.35,55.06,26.19,16.61,18.51
2017-01-12,黑河,33.44,0.29,10.36,56.17,34.9,12.28,16.51
2017-01-13,黑河,29.4,0.35,15.6,51.6,28.16,16.85,15.47
2017-01-14,黑河,26.42,0.29,10.14,58.1,24.86,11.99,15.15
2017-01-15,黑河,26.76,0.42,7.81,51.02,25.29,14.38,11.25
2017-01-16,黑河,29.21,0.56,13.3,48.13,30.62,17.38,20.62
2017-01-17,黑河,36.11,0.67,19.11,40.18,36.03,23.61,32.08
2017-01-18,黑河,37.94,0.7,16.56,41.88,35.53,26.05,28.7
2017-01-19,黑河,46.74,0.77,22.26,42.49,46.94,31.93,43.21
2017-01-20,黑河,56.24,0.84,25.56,42.15,53.03,39.57,49.47
2017-01-21,黑河,36.9,0.59,14.85,49.5,34.15,22.25,30.33
2017-01-22,黑河,41.97,0.72,19.26,49.61,41.82,26.96,28.89
2017-01-23,黑河,40.1,0.72,20.96,45.48,41.75,23.09,25.57
2017-01-24,黑河,53.71,0.76,23.83,44.54,52.47,36.24,32.1
2017-01-25,黑河,80.67,0.86,24.69,46.58,70.05,58.89,45.69
2017-01-26,黑河,91.1,0.84,21.82,60.67,86.44,65.35,35.42
2017-01-27,黑河,30.33,0.45,7.65,60.89,29.2,17.28,13.28
2017-01-28,黑河,39.48,0.48,8.7,61.38,39.52,25.35,15.88
2017-01-29,黑河,34.23,0.51,10.8,58.35,32.38,19.72,21.2
2017-01-30,黑河,32.36,0.51,10.44,59.67,30.78,17.78,21.31
