time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,齐齐哈尔,234.7,2.67,57.7,10.7,175.67,187.1,35.0
2017-01-02,齐齐哈尔,,,,,,,
2017-01-03,齐齐哈尔,,,,,,,
2017-01-04,齐齐哈尔,180.2,2.2,53.17,25.97,169.75,143.45,62.9
2017-01-05,齐齐哈尔,125.47,1.4,40.13,32.28,94.6,94.29,74.49
2017-01-06,齐齐哈尔,174.44,1.78,46.73,27.49,141.08,138.98,76.45
2017-01-07,齐齐哈尔,248.6,2.11,73.7,27.7,242.5,198.9,86.1
2017-01-08,齐齐哈尔,197.5,1.46,40.15,41.85,129.38,166.1,50.65
2017-01-09,齐齐哈尔,56.31,0.86,14.44,51.97,30.09,36.98,24.85
2017-01-10,齐齐哈尔,47.81,1.03,22.73,40.71,38.46,30.5,40.04
2017-01-11,齐齐哈尔,44.17,0.95,22.96,45.61,36.47,27.23,34.86
2017-01-12,齐齐哈尔,38.54,0.84,18.23,46.02,32.41,22.41,28.59
2017-01-13,齐齐哈尔,31.01,0.77,14.88,48.14,28.0,15.38,30.81
2017-01-14,齐齐哈尔,35.02,0.81,17.62,45.85,30.16,19.01,41.33
2017-01-15,齐齐哈尔,43.31,1.15,28.23,36.5,38.38,27.5,46.57
2017-01-16,齐齐哈尔,101.02,1.71,49.15,17.97,93.51,75.82,88.83
2017-01-17,齐齐哈尔,221.94,2.42,61.06,13.18,185.6,176.97,67.75
2017-01-18,齐齐哈尔,178.56,1.93,49.36,19.43,131.92,139.17,46.57
2017-01-19,齐齐哈尔,70.08,1.19,28.74,32.93,53.93,48.54,45.87
2017-01-20,齐齐哈尔,56.83,1.08,26.89,36.84,48.74,38.81,49.08
2017-01-21,齐齐哈尔,90.42,1.35,31.6,28.72,81.68,66.62,54.97
2017-01-22,齐齐哈尔,63.46,1.2,27.83,36.67,51.55,43.97,54.57
2017-01-23,齐齐哈尔,59.01,1.13,28.69,39.98,50.69,40.67,39.24
2017-01-24,齐齐哈尔,89.05,1.53,35.57,31.83,78.81,64.84,51.58
2017-01-25,齐齐哈尔,118.4,1.91,37.72,26.5,108.64,89.9,43.06
2017-01-26,齐齐哈尔,101.84,1.72,25.02,41.34,87.96,75.24,38.62
2017-01-27,齐齐哈尔,39.49,0.96,14.64,53.16,31.1,24.25,37.89
2017-01-28,齐齐哈尔,77.52,1.14,20.99,47.28,68.11,55.63,52.69
